REGION6,hhSize,prop,prop_crowded,prop_ag_workers,population
1,1,0.28758853617970087,0.027878249312313096,0.0072060722232625924,96782538
1,2,0.33603961329007226,0.027878249312313096,0.0072060722232625924,96782538
1,3,0.1597911978931149,0.027878249312313096,0.0072060722232625924,96782538
1,4,0.12868886098869262,0.027878249312313096,0.0072060722232625924,96782538
1,5,0.055250367004062016,0.027878249312313096,0.0072060722232625924,96782538
1,6,0.020163832176780652,0.027878249312313096,0.0072060722232625924,96782538
1,7,0.012477592467576269,0.027878249312313096,0.0072060722232625924,96782538
2,1,0.28554445118149446,0.025610708994833285,0.010253048665344757,53145757
2,2,0.3506676103041985,0.025610708994833285,0.010253048665344757,53145757
2,3,0.15791376527873213,0.025610708994833285,0.010253048665344757,53145757
2,4,0.12092445806282227,0.025610708994833285,0.010253048665344757,53145757
2,5,0.054557771876357505,0.025610708994833285,0.010253048665344757,53145757
2,6,0.019476940352968253,0.025610708994833285,0.010253048665344757,53145757
2,7,0.010915002943426845,0.025610708994833285,0.010253048665344757,53145757
3,1,0.3018105571583215,0.018464383567786544,0.015718492352504176,68857396
3,2,0.3484656344143799,0.018464383567786544,0.015718492352504176,68857396
3,3,0.14257076363727708,0.018464383567786544,0.015718492352504176,68857396
3,4,0.11954395958255584,0.018464383567786544,0.015718492352504176,68857396
3,5,0.055527836158267,0.018464383567786544,0.015718492352504176,68857396
3,6,0.02009925897719418,0.018464383567786544,0.015718492352504176,68857396
3,7,0.011981990072005066,0.018464383567786544,0.015718492352504176,68857396
4,1,0.2634452800658956,0.045207205325076584,0.009719322824149022,42498584
4,2,0.3235484585968295,0.045207205325076584,0.009719322824149022,42498584
4,3,0.15831741706456437,0.045207205325076584,0.009719322824149022,42498584
4,4,0.1366288976684638,0.045207205325076584,0.009719322824149022,42498584
4,5,0.07167362818178764,0.045207205325076584,0.009719322824149022,42498584
4,6,0.02875134728011469,0.045207205325076584,0.009719322824149022,42498584
4,7,0.01763497114234469,0.045207205325076584,0.009719322824149022,42498584
5,1,0.26426773399208175,0.031722025754647006,0.02121876878302336,27601217
5,2,0.3513916317425982,0.031722025754647006,0.02121876878302336,27601217
5,3,0.15061201520802514,0.031722025754647006,0.02121876878302336,27601217
5,4,0.12788071289548272,0.031722025754647006,0.02121876878302336,27601217
5,5,0.061334381564805106,0.031722025754647006,0.02121876878302336,27601217
5,6,0.026998640290766436,0.031722025754647006,0.02121876878302336,27601217
5,7,0.017514884306240333,0.031722025754647006,0.02121876878302336,27601217
6,1,0.23633400470767166,0.08342556500473115,0.021855094657951886,39356104
6,2,0.303036502422969,0.08342556500473115,0.021855094657951886,39356104
6,3,0.16746304812135365,0.08342556500473115,0.021855094657951886,39356104
6,4,0.15313728342977534,0.08342556500473115,0.021855094657951886,39356104
6,5,0.07907500058232052,0.08342556500473115,0.021855094657951886,39356104
6,6,0.034165887977321445,0.08342556500473115,0.021855094657951886,39356104
6,7,0.02678827275858865,0.08342556500473115,0.021855094657951886,39356104
