r0,sar_crowded,fold_diff,gamma,beta,target_final_size,simulated_final_size,iterations
1.2,0.2,1,0.1,0.07892492675781249,0.31369833146170056,0.31361680405891434,13
1.5,0.2,1,0.1,0.10709497070312499,0.5828116437565659,0.582334492803684,12
2,0.2,1,0.1,0.15563037109375,0.7968121299824948,0.7964092134379205,11
3,0.2,1,0.1,0.25465234375,0.9404797906997701,0.9403088768886583,8
1.2,0.2,2,0.1,0.07892492675781249,0.31369833146170056,0.3136168039459858,13
1.5,0.2,2,0.1,0.10709497070312499,0.5828116437565659,0.582334492668751,12
2,0.2,2,0.1,0.15563037109375,0.7968121299824948,0.7964092123985463,11
3,0.2,2,0.1,0.25465234375,0.9404797906997701,0.9403083848151268,8
1.2,0.2,3,0.1,0.07892492675781249,0.31369833146170056,0.3136168038618233,13
1.5,0.2,3,0.1,0.10709497070312499,0.5828116437565659,0.5823344925681058,12
2,0.2,3,0.1,0.15563037109375,0.7968121299824948,0.7964092116524789,11
3,0.2,3,0.1,0.25465234375,0.9404797906997701,0.9403087215348404,8
1.2,0.3,1,0.1,0.0781932373046875,0.31369833146170056,0.3135275003885826,13
1.5,0.3,1,0.1,0.10636328125,0.5828116437565659,0.58293703572437094,8
2,0.3,1,0.1,0.15489868164062498,0.7968121299824948,0.7968659781162712,12
3,0.3,1,0.1,0.25465234375,0.9404797906997701,0.9409524452109035,8
1.2,0.3,2,0.1,0.0780712890625,0.31369833146170056,0.31411491562362714,10
1.5,0.3,2,0.1,0.10611938476562499,0.5828116437565659,0.5823481107315533,12
2,0.3,2,0.1,0.15465478515624997,0.7968121299824948,0.7965796086733293,11
3,0.3,2,0.1,0.2536767578125,0.9404797906997701,0.9403719084310364,10
1.2,0.3,3,0.1,0.07794934082031249,0.31369833146170056,0.31404296012110944,13
1.5,0.3,3,0.1,0.10611938476562499,0.5828116437565659,0.5831003151211662,12
2,0.3,3,0.1,0.15465478515624997,0.7968121299824948,0.7968550058377006,11
3,0.3,3,0.1,0.2536767578125,0.9404797906997701,0.9404312841446226,10
1.2,0.4,1,0.1,0.07758349609375,0.31369833146170056,0.31368110347500416,11
1.5,0.4,1,0.1,0.10563159179687501,0.5828116437565659,0.5826173085906817,12
2,0.4,1,0.1,0.1541669921875,0.7968121299824948,0.7968610831018316,10
3,0.4,1,0.1,0.25270117187499996,0.9404797906997701,0.9401343850541654,9
1.2,0.4,2,0.1,0.07727862548828125,0.31369833146170056,0.3134919168332423,14
1.5,0.4,2,0.1,0.1053876953125,0.5828116437565659,0.5827698472851982,10
2,0.4,2,0.1,0.153923095703125,0.7968121299824948,0.796818456062077,12
3,0.4,2,0.1,0.25270117187499996,0.9404797906997701,0.9402677362814192,9
1.2,0.4,3,0.1,0.077095703125,0.31369833146170056,0.31376407447265664,9
1.5,0.4,3,0.1,0.105143798828125,0.5828116437565659,0.582382151071654,12
2,0.4,3,0.1,0.15367919921875,0.7968121299824948,0.7965873414276061,11
3,0.4,3,0.1,0.25270117187499996,0.9404797906997701,0.9403620331580703,9
1.2,0.5,1,0.1,0.077095703125,0.31369833146170056,0.3139946796589679,9
1.5,0.5,1,0.1,0.105143798828125,0.5828116437565659,0.5830912435481215,12
2,0.5,1,0.1,0.15367919921875,0.7968121299824948,0.7971387952676801,11
3,0.5,1,0.1,0.25270117187499996,0.9404797906997701,0.9405490980373091,9
1.2,0.5,2,0.1,0.07672985839843749,0.31369833146170056,0.3141286318364731,13
1.5,0.5,2,0.1,0.10477795410156249,0.5828116437565659,0.5828774386342429,13
2,0.5,2,0.1,0.15319140625,0.7968121299824948,0.7965490321884398,8
3,0.5,2,0.1,0.25270117187499996,0.9404797906997701,0.9407014926948623,9
1.2,0.5,3,0.1,0.07642498779296876,0.31369833146170056,0.31357006871238846,14
1.5,0.5,3,0.1,0.10453405761718748,0.5828116437565659,0.5828169283542585,13
2,0.5,3,0.1,0.15319140625,0.7968121299824948,0.7970872527586945,8
3,0.5,3,0.1,0.25270117187499996,0.9404797906997701,0.9408092410640901,9
1.2,0.6,1,0.1,0.07666888427734375,0.31369833146170056,0.31381386722225957,14
1.5,0.6,1,0.1,0.10465600585937498,0.5828116437565659,0.5828240359299481,12
2,0.6,1,0.1,0.15319140625,0.7968121299824948,0.7970945720934641,8
3,0.6,1,0.1,0.25270117187499996,0.9404797906997701,0.9408785208822716,9
1.2,0.6,2,0.1,0.0762420654296875,0.31369833146170056,0.3138669492594115,13
1.5,0.6,2,0.1,0.1042901611328125,0.5828116437565659,0.5828707802251247,13
