"","State","FY","Category","Value","REGION6","C09WEEKS.[0.286,118)","C09WEEKS.[118,235)","C09WEEKS.[235,352)","C09WEEKS.[352,470)","C09WEEKS.[470,587]","FWRDAYS.[1,73.8)","FWRDAYS.[73.8,147)","FWRDAYS.[147,219)","FWRDAYS.[219,292)","FWRDAYS.[292,365]","FWWEEKS.[0.143,10.5)","FWWEEKS.[10.5,20.9)","FWWEEKS.[20.9,31.3)","FWWEEKS.[31.3,41.7)","FWWEEKS.[41.7,52.1]","FTC.0","FTC.1","GENDER.0","GENDER.1","INTLSHTL.0","INTLSHTL.1","MARRIED.0","MARRIED.1","FAMPOV.0","FAMPOV.1","SPOUSE.0","SPOUSE.1","SPOUSEFW.0","SPOUSEFW.1","SPOUSENF.0","SPOUSENF.1","YOUTH.0","YOUTH.1","BLWAGE.0","BLWAGE.1","CROWDED1.0","CROWDED1.1","CROWDED2.0","CROWDED2.1","D11.1","D11.2","D11.3","D11.4","D11.96","B17CODE.3","B17CODE.4","B17CODE.97","B17CODE.2","B17CODE.6","B17CODE.5","B17CODE.7","HHFAMGRD.1","HHFAMGRD.2","HHFAMGRD.3","HHFAMGRD.4","HHFAMGRD.5","HHFAMGRD.6","HHFAMGRD.7","HHFAMGRD.8","HHFAMGRD.9","HHFAMGRD.10","HHGRDKID.0","HHGRDKID.1","HHGRDKID.2","HHGRDKID.3","HHKID.0","HHKID.1","HHKID.2","HHKID.3","HHKID.4","HHKID.5","HHKID.6","HHKID.8","HHKID.7","HHOTHFAM.0","HHOTHFAM.1","HHPARENT.0","HHPARENT.2","HHPARENT.1","HHSIB.0","HHSIB.1","HHSIB.2","HHSIB.4","HHYTH018.0","HHYTH018.1","HHYTH018.2","HHYTH018.3","HHYTH018.4","HHYTH018.5","HHYTH018.6","HHYTH018.7","K018USFW.0","K018USFW.1","K018USFW.2","K018USFW.3","K018USNF.0","K018USNF.1","K018USNF.2","K018USNF.3","CROP.1","CROP.2","CROP.3","CROP.4","CROP.5","D22.0","D22.1","D22.95","D23.0","D23.1","D23.95","D26.0","D26.1","D26.95","D30.1","D30.4","D30.5","D30.6","D30.7","D30.8","D30.9","D30.97","D33A.3","D33A.5","D33A.10","D33A.11","D33A.12","D33A.97","D35x.1","D35x.2","D35x.3","D37A.1","D37A.2","D37A.3","D37A.4","D37A.5","D37A.6","E01x.0","E01x.1","E01x.7","G01.0","G01.2","G01.3","G01.4","G01.5","G01.6","G01.7","G01.8","G01.9","G01.10","G01.11","G01.12","G01.13","G01.14","G01.15","G01.95","G01.96","G01.1","RegionName","CV...._NOT SPECIFIED"
"1","ALABAMA","2012","Non-Migrant","42,969",2,0.887668364867362,0.0622412805448775,0.0233404802043291,0.0267498743834316,NA,0.14861414350526,0.0500515419462191,0.267071024908996,0.390437851914233,0.143825437725292,0.0287859219689076,0.160940894607122,0.0414135562303996,0.161431310817488,0.607428316376083,1,NA,0.607667422545298,0.392332577454702,1,NA,0.480305255869181,0.519694744130819,0.595497012822321,0.404502987177679,0.448185411050282,0.551814588949718,0.858749364759232,0.141250635240768,0.882504526375119,0.117495473624881,0.972519188409279,0.0274808115907213,0.984143428115831,0.015856571884169,0.736453170013324,0.263546829986676,0.870827695557137,0.129172304442863,0.783978298233334,0.0836848343898466,0.0364911358038126,0.0958457315730071,NA,0.70103724322676,0.242377386136378,NA,NA,0.0351734444060747,0.0214119262307872,NA,0.306256667239736,0.122332490527454,0.0363566110129039,0.337458736737367,0.135739815481184,0.0302818600571387,0.0124704203937496,0.00155565134576323,0.0175477472047043,NA,0.982255884007379,0.0177441159926209,NA,NA,0.510276340381863,0.0908029770219538,0.232563896358882,0.128937513941323,0.00740110469752305,NA,0.0124704203937496,NA,0.0175477472047043,1,NA,0.986310453442058,0.0136895465579416,NA,0.984780098200559,0.00253386425419014,0.0126860375452509,NA,0.51253687651985,0.0844342284030964,0.244395730963951,0.126070186770873,0.00254480974377526,NA,0.0124704203937496,0.0175477472047043,0.99444230736161,0.00555769263838982,NA,NA,0.873274431926698,0.126725568073302,NA,NA,0.0675581715399298,0.155785541324019,0.667806611359961,0.105638446938516,0.00321122883757375,0.272624560044826,0.486547841218045,0.240827598737129,0.285969514767495,0.42626468215646,0.287765803076045,0.564718760384042,0.388666484447326,0.0466147551686318,0.496955313775902,0.042073260493347,0.0159126675161116,NA,NA,0.439987182961813,NA,0.00507157525282587,0.0125408593433828,0.0249666303859529,0.0946560367204482,0.350641866779565,0.517194606770651,NA,0.863380416446229,0.034754740214592,0.101864843339179,0.0997442675565444,0.428096986977733,0.412426542210368,0.0420753842188463,0.00934320544236227,0.00831361359414607,0.995139394059436,0.0048606059405638,NA,0.00359963502976933,0.0124834292772235,0.0126992713560577,0.0220708608538698,0.0804044769964591,0.0404039571684923,0.138869268617024,0.0381239762950353,0.104671431731028,0.275204178484843,0.0750399141649637,0.0109748634931997,0.0203330056619408,0.0216615196777826,0.00135508079204357,0.142105130400267,NA,NA,"SOUTHEAST","4.6"
"2","ALABAMA","2012","Non-Migrant","32,948",2,0.887668364867362,0.0622412805448775,0.0233404802043291,0.0267498743834316,NA,0.14861414350526,0.0500515419462191,0.267071024908996,0.390437851914233,0.143825437725292,0.0287859219689076,0.160940894607122,0.0414135562303996,0.161431310817488,0.607428316376083,1,NA,0.607667422545298,0.392332577454702,1,NA,0.480305255869181,0.519694744130819,0.595497012822321,0.404502987177679,0.448185411050282,0.551814588949718,0.858749364759232,0.141250635240768,0.882504526375119,0.117495473624881,0.972519188409279,0.0274808115907213,0.984143428115831,0.015856571884169,0.736453170013324,0.263546829986676,0.870827695557137,0.129172304442863,0.783978298233334,0.0836848343898466,0.0364911358038126,0.0958457315730071,NA,0.70103724322676,0.242377386136378,NA,NA,0.0351734444060747,0.0214119262307872,NA,0.306256667239736,0.122332490527454,0.0363566110129039,0.337458736737367,0.135739815481184,0.0302818600571387,0.0124704203937496,0.00155565134576323,0.0175477472047043,NA,0.982255884007379,0.0177441159926209,NA,NA,0.510276340381863,0.0908029770219538,0.232563896358882,0.128937513941323,0.00740110469752305,NA,0.0124704203937496,NA,0.0175477472047043,1,NA,0.986310453442058,0.0136895465579416,NA,0.984780098200559,0.00253386425419014,0.0126860375452509,NA,0.51253687651985,0.0844342284030964,0.244395730963951,0.126070186770873,0.00254480974377526,NA,0.0124704203937496,0.0175477472047043,0.99444230736161,0.00555769263838982,NA,NA,0.873274431926698,0.126725568073302,NA,NA,0.0675581715399298,0.155785541324019,0.667806611359961,0.105638446938516,0.00321122883757375,0.272624560044826,0.486547841218045,0.240827598737129,0.285969514767495,0.42626468215646,0.287765803076045,0.564718760384042,0.388666484447326,0.0466147551686318,0.496955313775902,0.042073260493347,0.0159126675161116,NA,NA,0.439987182961813,NA,0.00507157525282587,0.0125408593433828,0.0249666303859529,0.0946560367204482,0.350641866779565,0.517194606770651,NA,0.863380416446229,0.034754740214592,0.101864843339179,0.0997442675565444,0.428096986977733,0.412426542210368,0.0420753842188463,0.00934320544236227,0.00831361359414607,0.995139394059436,0.0048606059405638,NA,0.00359963502976933,0.0124834292772235,0.0126992713560577,0.0220708608538698,0.0804044769964591,0.0404039571684923,0.138869268617024,0.0381239762950353,0.104671431731028,0.275204178484843,0.0750399141649637,0.0109748634931997,0.0203330056619408,0.0216615196777826,0.00135508079204357,0.142105130400267,NA,NA,"SOUTHEAST","4.2"
"3","ALABAMA","2012","Migrant","2,032",2,1,NA,NA,NA,NA,0.0115636535774769,0.769697299979987,0.0269336978040714,0.064072567736697,0.127732780901768,0.0115636535774769,0.596799417100914,0.195560267397763,0.0415267076956245,0.154549954228222,0.808194651361535,0.191805348638465,0.385381605126487,0.614618394873513,0.881279439134755,0.118720560865245,0.814433834655099,0.185566165344901,0.826587945075728,0.173412054924272,0.814433834655099,0.185566165344901,0.894974813766768,0.105025186233232,0.998298387509613,0.00170161249038679,1,NA,0.984033402387279,0.015966597612721,0.880217840682298,0.119782159317702,0.915344355414733,0.084655644585267,0.813450256502187,0.184148092431724,NA,0.00240165106608867,NA,0.917683224156238,0.00834497404187208,NA,NA,0.0739718018018902,NA,NA,0.268338659486671,0.59421097109252,0.00170161249038679,0.015966597612721,0.0890585886205112,0.0191599171197136,0.0115636535774769,NA,NA,NA,1,NA,NA,NA,0.351641962807701,0.540139531452074,NA,0.0890585886205112,0.0191599171197136,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0.341857690997697,0.549923803262078,NA,0.0890585886205112,0.0191599171197136,NA,NA,NA,0.951272006001286,0.0487279939987136,NA,NA,0.998298387509613,0.00170161249038679,NA,NA,0.00256970079499486,0.184148092431724,0.712113609693548,0.101168597079733,NA,0.0454354320929579,0.361143915842045,0.593420652064997,0.0454354320929579,0.301758238703491,0.652806329203551,0.197984093352025,0.799888891044712,0.00212701560326372,0.115858262417695,NA,NA,NA,NA,0.884141737582305,NA,NA,0.031933195225442,NA,0.0730919910077902,0.570587117273058,0.32438769649371,NA,0.894974813766768,0.0487279939987136,0.0562971922345186,0.0243639970090766,0.185416445445835,0.718461267114409,0.0345028960204369,0.0372553944102428,NA,1,NA,NA,0.0139653046435655,NA,0.00510483747116036,NA,0.0340602108287057,0.0851551872484058,0.11178838826959,0.0989983335512792,0.559299448571788,NA,0.0487279939987136,NA,0.0243639970090766,NA,NA,0.0185362984077159,NA,NA,"SOUTHEAST","17.4"
"4","ALABAMA","2017","Non-Migrant","26,136",2,1,NA,NA,NA,NA,0.119474885800755,0.0458706318507482,0.263607279017887,0.40043446231709,0.170612741013521,0.11670891657983,0.016629084705208,0.150740164360295,0.111707844679986,0.604213989674681,1,NA,0.640102804104698,0.359897195895302,1,NA,0.394113712435282,0.605886287564718,0.734114685680015,0.265885314319985,0.414962529266307,0.585037470733693,0.792707810266067,0.207292189733933,0.778199122096055,0.221800877903945,0.93901399965844,0.0609860003415604,1,NA,0.789712003430558,0.210287996569442,0.910221801098686,0.0897781989013137,0.87649955489762,NA,0.00254238114946224,0.120958063952918,NA,0.847275937320513,0.14118037323794,NA,NA,0.0115436894415472,NA,NA,0.260785824843711,0.160368826550468,0.153259923373217,0.193113364411029,0.13630118021408,0.0236872052945502,0.0649593569400012,0.00752431837294386,NA,NA,0.999539005129846,NA,0.000460994870154018,NA,0.443364598569487,0.165844836558337,0.198127508866989,0.0995301338056414,0.0281735652595443,0.0649593569400012,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0.474362662113198,0.192084547299097,0.172100708167997,0.077562006873929,0.0747778745664224,0.0091122009793562,NA,NA,0.993265259471951,0.0067347405280486,NA,NA,0.961377744589744,0.0110961728207425,0.0275260825895133,NA,0.156296152014731,0.0974653745395247,0.501460294955113,0.222273586442776,0.0225045920478546,0.0401297906154395,0.875754340120777,0.0841158692637834,0.0800718758602769,0.7839274993269,0.136000624812823,0.432455275950036,0.549890661781837,0.0176540622681274,0.375363025604428,0.0164052651807272,0.0038310166006549,0.00221277537505489,NA,0.598094062271897,NA,0.00409385496723811,0.0183126257780971,0.00254238114946224,0.0508880562196738,0.337109334614537,0.57271067089046,0.0184369313477694,0.871239755383477,0.0147421509766457,0.114018093639877,0.107922809962576,0.466525241167422,0.34796731738768,0.0775846314823217,NA,NA,0.980589970540541,0.0194100294594585,NA,0.0471156111924938,NA,0.062506148872667,0.0718615513247616,0.00113169258692355,0.0284416358658154,0.0336621051717384,0.0597036121101679,0.058921324594908,0.129543293647398,0.184087843545087,0.148304387720444,0.0162089562952793,0.0668577263858192,0.0283559751656001,0.0632981355208977,NA,NA,"SOUTHEAST","4.6"
"5","ALABAMA","2017","Non-Migrant","43,162",2,1,NA,NA,NA,NA,0.119474885800755,0.0458706318507482,0.263607279017887,0.40043446231709,0.170612741013521,0.11670891657983,0.016629084705208,0.150740164360295,0.111707844679986,0.604213989674681,1,NA,0.640102804104698,0.359897195895302,1,NA,0.394113712435282,0.605886287564718,0.734114685680015,0.265885314319985,0.414962529266307,0.585037470733693,0.792707810266067,0.207292189733933,0.778199122096055,0.221800877903945,0.93901399965844,0.0609860003415604,1,NA,0.789712003430558,0.210287996569442,0.910221801098686,0.0897781989013137,0.87649955489762,NA,0.00254238114946224,0.120958063952918,NA,0.847275937320513,0.14118037323794,NA,NA,0.0115436894415472,NA,NA,0.260785824843711,0.160368826550468,0.153259923373217,0.193113364411029,0.13630118021408,0.0236872052945502,0.0649593569400012,0.00752431837294386,NA,NA,0.999539005129846,NA,0.000460994870154018,NA,0.443364598569487,0.165844836558337,0.198127508866989,0.0995301338056414,0.0281735652595443,0.0649593569400012,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0.474362662113198,0.192084547299097,0.172100708167997,0.077562006873929,0.0747778745664224,0.0091122009793562,NA,NA,0.993265259471951,0.0067347405280486,NA,NA,0.961377744589744,0.0110961728207425,0.0275260825895133,NA,0.156296152014731,0.0974653745395247,0.501460294955113,0.222273586442776,0.0225045920478546,0.0401297906154395,0.875754340120777,0.0841158692637834,0.0800718758602769,0.7839274993269,0.136000624812823,0.432455275950036,0.549890661781837,0.0176540622681274,0.375363025604428,0.0164052651807272,0.0038310166006549,0.00221277537505489,NA,0.598094062271897,NA,0.00409385496723811,0.0183126257780971,0.00254238114946224,0.0508880562196738,0.337109334614537,0.57271067089046,0.0184369313477694,0.871239755383477,0.0147421509766457,0.114018093639877,0.107922809962576,0.466525241167422,0.34796731738768,0.0775846314823217,NA,NA,0.980589970540541,0.0194100294594585,NA,0.0471156111924938,NA,0.062506148872667,0.0718615513247616,0.00113169258692355,0.0284416358658154,0.0336621051717384,0.0597036121101679,0.058921324594908,0.129543293647398,0.184087843545087,0.148304387720444,0.0162089562952793,0.0668577263858192,0.0283559751656001,0.0632981355208977,NA,NA,"SOUTHEAST","6.6"
"6","ALABAMA","2017","Migrant","1,864",2,1,NA,NA,NA,NA,0.249095016489233,0.0526199578674654,0.172128224167593,0.328640253054034,0.197516548421674,0.217894741975354,0.0838202323813451,0.0968544524669742,0.222883083613831,0.378547489562496,0.390022966142946,0.609977033857053,0.399112127475687,0.600887872524313,0.741740292344627,0.258259707655373,0.301368457591763,0.698631542408237,0.79291560427005,0.20708439572995,0.289165502580517,0.710834497419483,0.532737757492045,0.467262242507955,0.78892803105379,0.21107196894621,0.85052558966556,0.14947441033444,1,NA,0.501744590288214,0.498255409711786,0.818676082046675,0.181323917953325,0.978781325783636,0.021218674216364,NA,NA,NA,0.787175557399608,0.185258726371952,NA,NA,NA,0.02756571622844,NA,0.289165502580517,0.107197945598963,0.0721742524547488,0.421319733369006,0.110142565996766,NA,NA,NA,NA,NA,1,NA,NA,NA,0.39636344817948,0.0721742524547488,0.421319733369006,0.110142565996766,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0.468537700634229,NA,0.437233739013466,0.0942285603523053,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0.0787448476050579,0.0477420169690065,0.254714326069371,0.618798809356565,NA,NA,0.908653744368646,0.0913462556313539,0.0968544524669742,0.442135100036293,0.461010447496733,0.634942055013317,0.312437987119217,0.0526199578674654,0.0281169606557064,NA,0.124801098091144,NA,NA,0.84708194125315,NA,NA,0.0487504289479761,NA,0.236604721207454,0.228343213198866,0.486301636645704,NA,0.872504723446966,NA,0.127495276553034,0.13969823156428,0.198132550481919,0.387802071350065,0.274367146603736,NA,NA,0.984602826152012,0.015397173847988,NA,0.209509278707397,NA,0.0526199578674654,NA,NA,0.010609337108182,0.0880882580992092,0.0312002745138796,0.406280039929731,0.0474504174965383,0.0438502718418927,0.015397173847988,NA,0.0787448476050579,0.0162501429826587,NA,NA,NA,"SOUTHEAST","14.1"
"7","ARIZONA","2012","Non-Migrant","29,245",4,1,NA,NA,NA,NA,0.177155165865072,0.0788278553051452,0.150775368693754,0.385468014030106,0.207773596105923,0.175712439185163,0.0316064986951945,0.0438258231328353,0.0626871302099308,0.686168108776876,1,NA,0.798634502479323,0.201365497520677,1,NA,0.388816330982848,0.611183669017152,0.693870153935131,0.306129846064868,0.304939664765257,0.695060335234743,0.937219276842766,0.0627807231572341,0.750687007415943,0.249312992584057,0.899987117663432,0.100012882336568,1,NA,0.766374399501913,0.233625600498087,0.833379761414183,0.166620238585817,0.936910980026707,0.00268374962862359,NA,0.0604052703446693,NA,0.957583408264728,NA,0.0424165917352724,NA,NA,NA,NA,0.16829074422114,0.216820258915249,0.116067788786608,0.193752152610206,0.154778583222102,0.0902029002112919,0.0600875720334021,NA,NA,NA,0.967539835244593,0.0324601647554067,NA,NA,0.518043871291923,0.150832091970274,0.140785658571116,0.0927440182269525,0.0694304750830699,0.0281638848566652,NA,NA,NA,1,NA,0.934214785267871,0.065508319927751,0.000276894804377468,0.933149805257937,0.0013418748143118,0.0415505282629279,0.0239577916648231,0.500156834264954,0.131605228806435,0.160153046410631,0.147430960227202,0.060653930290778,NA,NA,NA,0.992064789418248,0.00793521058175205,NA,NA,0.920616708583736,0.0793832914162639,NA,NA,0.351663907604223,0.110030593461577,0.138706968354529,0.181720497140257,0.217878033439414,0.00465053587253766,0.812571571210357,0.182777892917105,0.00374902546900534,0.73702764688394,0.259223327647055,0.255647889957407,0.599879559683193,0.1444725503594,0.486051311045402,0.0269529419873246,0.00409674626378272,NA,NA,0.482899000703491,NA,NA,NA,NA,0.0790564893065608,0.498670693915063,0.422272816778376,NA,0.914686639385508,NA,0.0853133606144916,0.086271142275826,0.428696151493045,0.33172211272982,0.0893136795574482,0.0639969139438612,NA,0.997225803904442,0.00277419609555837,NA,0.0610688477942708,0.00785198853345033,0.0657123989599021,0.00571223426008286,0.0239721353409411,0.00144722122754498,0.0983247901083604,0.141114484715102,0.0434916355296863,0.0481767597047095,0.181320490944648,0.201438642936671,0.0363554121094901,0.028908224346774,0.0463381236361714,0.00876660985219494,NA,NA,"SOUTHWEST","23.1"
"8","ARIZONA","2012","Non-Migrant","28,429",4,1,NA,NA,NA,NA,0.177155165865072,0.0788278553051452,0.150775368693754,0.385468014030106,0.207773596105923,0.175712439185163,0.0316064986951945,0.0438258231328353,0.0626871302099308,0.686168108776876,1,NA,0.798634502479323,0.201365497520677,1,NA,0.388816330982848,0.611183669017152,0.693870153935131,0.306129846064868,0.304939664765257,0.695060335234743,0.937219276842766,0.0627807231572341,0.750687007415943,0.249312992584057,0.899987117663432,0.100012882336568,1,NA,0.766374399501913,0.233625600498087,0.833379761414183,0.166620238585817,0.936910980026707,0.00268374962862359,NA,0.0604052703446693,NA,0.957583408264728,NA,0.0424165917352724,NA,NA,NA,NA,0.16829074422114,0.216820258915249,0.116067788786608,0.193752152610206,0.154778583222102,0.0902029002112919,0.0600875720334021,NA,NA,NA,0.967539835244593,0.0324601647554067,NA,NA,0.518043871291923,0.150832091970274,0.140785658571116,0.0927440182269525,0.0694304750830699,0.0281638848566652,NA,NA,NA,1,NA,0.934214785267871,0.065508319927751,0.000276894804377468,0.933149805257937,0.0013418748143118,0.0415505282629279,0.0239577916648231,0.500156834264954,0.131605228806435,0.160153046410631,0.147430960227202,0.060653930290778,NA,NA,NA,0.992064789418248,0.00793521058175205,NA,NA,0.920616708583736,0.0793832914162639,NA,NA,0.351663907604223,0.110030593461577,0.138706968354529,0.181720497140257,0.217878033439414,0.00465053587253766,0.812571571210357,0.182777892917105,0.00374902546900534,0.73702764688394,0.259223327647055,0.255647889957407,0.599879559683193,0.1444725503594,0.486051311045402,0.0269529419873246,0.00409674626378272,NA,NA,0.482899000703491,NA,NA,NA,NA,0.0790564893065608,0.498670693915063,0.422272816778376,NA,0.914686639385508,NA,0.0853133606144916,0.086271142275826,0.428696151493045,0.33172211272982,0.0893136795574482,0.0639969139438612,NA,0.997225803904442,0.00277419609555837,NA,0.0610688477942708,0.00785198853345033,0.0657123989599021,0.00571223426008286,0.0239721353409411,0.00144722122754498,0.0983247901083604,0.141114484715102,0.0434916355296863,0.0481767597047095,0.181320490944648,0.201438642936671,0.0363554121094901,0.028908224346774,0.0463381236361714,0.00876660985219494,NA,NA,"SOUTHWEST","25.7"
"9","ARIZONA","2012","Migrant","3,629",4,1,NA,NA,NA,NA,0.0522955795488556,0.308498401542027,0.102574890878547,0.536631128030569,NA,0.0522955795488556,0.154249200771014,0.235659983996151,0.0529102691543825,0.504884966529598,0.506402557566125,0.493597442433875,0.918589216774863,0.0814107832251368,0.700142222753744,0.299857777246256,0.241847332237502,0.758152667762498,0.876600639391531,0.123399360608469,0.220683224584091,0.779316775415909,1,NA,0.753201278783063,0.246798721216937,1,NA,1,NA,0.876600639391531,0.123399360608469,0.876600639391531,0.123399360608469,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.0814107832251368,0.298812669032893,0.155145522109441,0.299094300765793,0.154249200771014,NA,0.0112875240957229,NA,NA,NA,1,NA,NA,NA,0.700905699234207,0.123399360608469,0.175694940157324,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0.700905699234207,0.246798721216937,0.0522955795488556,NA,NA,NA,NA,NA,1,NA,NA,NA,0.876600639391531,0.123399360608469,NA,NA,0.0522955795488556,0.802095843975902,0.11386241497427,0.0317461615009718,NA,0.0112875240957229,0.659049966708839,0.329662509195438,0.0112875240957229,0.659049966708839,0.329662509195438,0.0840417410498274,0.462896389146266,0.453061869803907,0.237261775582739,NA,0.123399360608469,NA,NA,0.639338863808792,NA,NA,NA,NA,0.0953292651455503,0.482458705213088,0.422212029641362,NA,0.883506627201039,NA,0.116493372798961,0.0635831036445785,0.54561139024983,0.390805506105591,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1701222815215,0.1701222815215,0.216097667929328,0.144563468261879,0.299094300765793,NA,NA,NA,NA,NA,NA,NA,"SOUTHWEST","20.4"
"10","ARIZONA","2017","Non-Migrant","21,558",4,1,NA,NA,NA,NA,NA,0.163686735174652,0.297457992315658,0.329453529801509,0.20940174270818,NA,0.123547277050917,0.135056958527164,0.220561926697164,0.520833837724755,1,NA,0.669682068307464,0.330317931692536,1,NA,0.334475091346297,0.665524908653703,0.850297483316613,0.149702516683387,0.325674987951155,0.674325012048845,0.833866627983563,0.166133372016437,0.772020825672948,0.227979174327052,0.953185705600787,0.0468142943992127,1,NA,0.864972296169521,0.135027703830479,0.923715101391039,0.0762848986089606,0.954782396715221,NA,NA,0.0452176032847789,NA,0.943549126842473,0.0538170770205765,0.00263379613695097,NA,NA,NA,NA,0.28544452601843,0.192113211556964,0.173214424974122,0.173829870858702,0.132356408917637,0.0412181591994532,NA,0.00182339847469233,NA,NA,1,NA,NA,NA,0.54043171086165,0.143858591073409,0.194289672623603,0.0882477582498622,0.0188853288857976,0.012463539830986,0.00182339847469233,NA,NA,1,NA,0.999885684760882,NA,0.000114315239118082,1,NA,NA,NA,0.594542029235074,0.150472030685041,0.173868163425757,0.0604090492936383,0.00824518752950388,0.012463539830986,NA,NA,1,NA,NA,NA,0.935876629843501,0.0641233701564991,NA,NA,0.223177495061475,0.0121862262134023,0.171165947039387,0.547930222447685,0.0455401092380515,0.0261492841269763,0.964185299914144,0.00966541595887979,0.0463250378137271,0.924962942268081,0.0287120199181919,0.215411401999561,0.772134355512252,0.0124542424881867,0.227123800513511,0.0818844763418677,0.012463539830986,0.000835161272156293,0.00195059559960578,0.671695175060252,0.0015249073738959,0.00252234400772564,0.00235058723343887,NA,0.0288227560355303,0.522115082524054,0.446711574206976,NA,0.921046830692937,0.0409625075917214,0.0379906617153416,0.0378101202147381,0.258132165442297,0.427586037088582,0.275557505299613,0.000914171954770067,NA,1,NA,NA,NA,NA,NA,NA,0.0546609091703421,0.0425466052290737,0.163634890477299,0.035006054460302,0.0415853547464884,0.0360470433340362,0.184246148798852,0.165586004848284,0.164688792645188,0.0672134619488194,0.0373169998076026,0.00551713893410649,0.00195059559960578,NA,"SOUTHWEST","(H)"
