shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/28/2024,12/22/2024,12/28/2024,Colombia,Fruits,Blueberries,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2024,N/A,I (import),"Washington, District Of Columbia",69625,,
12/28/2024,12/22/2024,12/28/2024,Guatemala,Fruits,Blackberries,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2024,N/A,I (import),"Washington, District Of Columbia",10634,,
12/28/2024,12/22/2024,12/28/2024,California-Central,Fruits,Pummelo,California-Central,No,4/5 bushel cartons,N/A,N/A,SAN JOAQUIN VALLEY CALIFORNIA,Truck,2024,N/A,D (domestic),"El Centro, California",1233560,30839,
12/28/2024,12/22/2024,12/28/2024,Appalachia,Fruits,Apples,Appalachia,No,cartons tray pack,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2024,N/A,D (domestic),"Idaho Falls, Idaho",1624960,40624,
12/28/2024,12/22/2024,12/28/2024,Spain,Vegetables,Eggplant,Spain,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2024,N/A,I (import),"Washington, District Of Columbia",1870,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Fruits,Strawberries,Mexico,No,N/A,N/A,For Processing,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",2635,,
12/28/2024,12/22/2024,12/28/2024,Guatemala,Fruits,Watermelons,Guatemala,No,N/A,RED FLESH SEEDLESS MINIATURE,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",71500,,
12/28/2024,12/22/2024,12/28/2024,Arizona,Vegetables,Broccoli,Arizona,No,cartons,CROWN CUT,N/A,WESTERN ARIZONA,Truck,2024,N/A,D (domestic),"Phoenix, Arizona",3381,147,
12/28/2024,12/22/2024,12/28/2024,Canada,Vegetables,Cucumbers,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2024,Greenhouse,I (import),"Washington, District Of Columbia",11666,,
12/28/2024,12/22/2024,12/28/2024,Guatemala,Fruits,Bananas,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH GULFPORT MISSISSIPPI,Boat,2024,N/A,I (import),"Washington, District Of Columbia",11359631,,
