shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons 12 3-lb film bags,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",999396,27761,
12/27/2025,12/21/2025,12/27/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2025,N/A,I (import),"Washington, District Of Columbia",67387,,
12/27/2025,12/21/2025,12/27/2025,Appalachia,Fruits,Apples,Appalachia,No,bushel cartons loose,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",56520,1413,
12/27/2025,12/21/2025,12/27/2025,Idaho,Fruits,Apples,Idaho,No,cartons tray pack,N/A,N/A,IDAHO,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",36880,922,
12/27/2025,12/21/2025,12/27/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons 8 5-lb film bags,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",173880,4347,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,Exp (export),"Yakima, Washington",19765000,494125,
12/27/2025,12/21/2025,12/27/2025,Appalachia,Fruits,Apples,Appalachia,No,31 lb reusable plastic containers (RPC),N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",224254,7234,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,D (domestic),"Yakima, Washington",979560,24489,
12/27/2025,12/21/2025,12/27/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons tray pack,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",1046560,26164,
12/27/2025,12/21/2025,12/27/2025,Appalachia,Fruits,Apples,Appalachia,No,bins,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",166200,277,
12/27/2025,12/21/2025,12/27/2025,New England,Fruits,Apples,New England,No,cartons tray pack,N/A,N/A,NEW ENGLAND,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",313600,7840,
12/27/2025,12/21/2025,12/27/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2025,N/A,I (import),"Washington, District Of Columbia",41912,,
12/27/2025,12/21/2025,12/27/2025,Michigan,Fruits,Apples,Michigan,No,cartons tray pack,N/A,N/A,MICHIGAN,Truck,2025,N/A,D (domestic),"Benton Harbor (St. Joseph), Michigan",4839480,120987,
12/27/2025,12/21/2025,12/27/2025,Oregon,Fruits,Apples,Oregon,No,cartons tray pack,N/A,N/A,OREGON,Truck,2025,N/A,Exp (export),"Yakima, Washington",432440,10811,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,D (domestic),"Yakima, Washington",51566160,1289154,
12/27/2025,12/21/2025,12/27/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH ALEXANDRIA BAY NEW YORK,Truck,2025,N/A,I (import),"Washington, District Of Columbia",34009,,
12/27/2025,12/21/2025,12/27/2025,New York,Fruits,Apples,New York,No,cartons tray pack,N/A,N/A,NEW YORK,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",6905080,172627,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,D (domestic),"Yakima, Washington",87360,2184,
12/27/2025,12/21/2025,12/27/2025,China,Fruits,Apples,China,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",40669,,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,D (domestic),"Yakima, Washington",12083960,302099,
12/27/2025,12/21/2025,12/27/2025,New York,Fruits,Apples,New York,No,cartons tray pack,N/A,N/A,NEW YORK,Truck,2025,N/A,Exp (export),"Idaho Falls, Idaho",40000,1000,
12/27/2025,12/21/2025,12/27/2025,California-Central,Fruits,Apples,California-Central,No,cartons tray pack,N/A,N/A,SAN JOAQUIN VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",400000,10000,
12/27/2025,12/21/2025,12/27/2025,Idaho,Fruits,Apples,Idaho,No,cartons tray pack,N/A,N/A,IDAHO,Truck,2025,N/A,Exp (export),"Idaho Falls, Idaho",41160,1029,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,Exp (export),"Yakima, Washington",135520,3388,
12/27/2025,12/21/2025,12/27/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,Exp (export),"Yakima, Washington",257200,6430,
12/27/2025,12/21/2025,12/27/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH HOULTON MAINE,Truck,2025,N/A,I (import),"Washington, District Of Columbia",234199,,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,D (domestic),"Yakima, Washington",78800,1970,
12/20/2025,12/14/2025,12/20/2025,California-Central,Fruits,Apples,California-Central,No,cartons tray pack,N/A,N/A,SAN JOAQUIN VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",520000,13000,
12/20/2025,12/14/2025,12/20/2025,New York,Fruits,Apples,New York,No,cartons tray pack,N/A,N/A,NEW YORK,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",8668440,216711,
