shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Avocados,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",52404,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Avocados,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",20328357,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Avocados,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",228571,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Avocados,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",15935682,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Avocados,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",124630,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Avocados,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",24,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Avocados,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1242751,,
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Avocados,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH WILMINGTON DELAWARE,Boat,2025,N/A,I (import),"Washington, District Of Columbia",47457,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Avocados,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1322900,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Avocados,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",435845,,
