shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",101552,,
12/27/2025,12/21/2025,12/27/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",64152,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",41532,,
12/27/2025,12/21/2025,12/27/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",28512,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",104720,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2587409,,
12/27/2025,12/21/2025,12/27/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Air,2025,N/A,I (import),"Washington, District Of Columbia",51480,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",437764,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH SAN JUAN PUERTO RICO,Air,2025,N/A,I (import),"Washington, District Of Columbia",4464,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",26015,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH SAN JUAN PUERTO RICO,Air,2025,N/A,I (import),"Washington, District Of Columbia",9672,,
12/20/2025,12/14/2025,12/20/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Air,2025,N/A,I (import),"Washington, District Of Columbia",38896,,
12/20/2025,12/14/2025,12/20/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",273652,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Air,2025,N/A,I (import),"Washington, District Of Columbia",18348,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH DALLAS-FORT WORTH TEXAS,Air,2025,N/A,I (import),"Washington, District Of Columbia",3989,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",11686,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",201198,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",64603,,
12/20/2025,12/14/2025,12/20/2025,Argentina,Fruits,Cherries,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",95920,,
12/20/2025,12/14/2025,12/20/2025,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1187219,,
