shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",237804,,
12/20/2025,12/14/2025,12/20/2025,Israel,Fruits,Grapefruit,Israel,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",77028,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",393008,,
12/13/2025,12/07/2025,12/13/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",28987,,
12/13/2025,12/07/2025,12/13/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",484283,,
12/06/2025,11/30/2025,12/06/2025,Israel,Fruits,Grapefruit,Israel,No,N/A,N/A,N/A,IMPORTS THROUGH NEWARK-ELIZABETH NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",33733,,
12/06/2025,11/30/2025,12/06/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",604525,,
11/29/2025,11/23/2025,11/29/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",313061,,
11/29/2025,11/23/2025,11/29/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",35409,,
11/29/2025,11/23/2025,11/29/2025,Israel,Fruits,Grapefruit,Israel,No,N/A,N/A,N/A,IMPORTS THROUGH NEWARK-ELIZABETH NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",32978,,
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",11926,,
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",326183,,
11/15/2025,11/09/2025,11/15/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",7097,,
11/15/2025,11/09/2025,11/15/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",194511,,
11/15/2025,11/09/2025,11/15/2025,Peru,Fruits,Grapefruit,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",50688,,
11/08/2025,11/02/2025,11/08/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",12417,,
11/08/2025,11/02/2025,11/08/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",53267,,
11/01/2025,10/26/2025,11/01/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",156118,,
11/01/2025,10/26/2025,11/01/2025,Guatemala,Fruits,Grapefruit,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",174,,
11/01/2025,10/26/2025,11/01/2025,Peru,Fruits,Grapefruit,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",83985,,
11/01/2025,10/26/2025,11/01/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",9277,,
10/25/2025,10/19/2025,10/25/2025,Mexico,Fruits,Grapefruit,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",160835,,
10/25/2025,10/19/2025,10/25/2025,Guatemala,Fruits,Grapefruit,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",7,,
10/25/2025,10/19/2025,10/25/2025,Guatemala,Fruits,Grapefruit,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1230,,
10/25/2025,10/19/2025,10/25/2025,Peru,Fruits,Grapefruit,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",585420,,
10/18/2025,10/12/2025,10/18/2025,Peru,Fruits,Grapefruit,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",208395,,
10/11/2025,10/05/2025,10/11/2025,South Africa,Fruits,Grapefruit,South Africa,No,N/A,N/A,N/A,IMPORTS THROUGH SAVANNAH GEORGIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",174460,,
10/11/2025,10/05/2025,10/11/2025,South Africa,Fruits,Grapefruit,South Africa,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",120780,,
10/11/2025,10/05/2025,10/11/2025,Peru,Fruits,Grapefruit,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",297924,,
10/11/2025,10/05/2025,10/11/2025,South Africa,Fruits,Grapefruit,South Africa,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Boat,2025,N/A,I (import),"Washington, District Of Columbia",287430,,
10/04/2025,09/28/2025,10/04/2025,South Africa,Fruits,Grapefruit,South Africa,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Boat,2025,N/A,I (import),"Washington, District Of Columbia",310530,,
10/04/2025,09/28/2025,10/04/2025,Peru,Fruits,Grapefruit,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",931689,,
