shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2466101,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,Yes,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",3010854,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,RED VARIETIES,N/A,IMPORTS THROUGH SAVANNAH GEORGIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1054240,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,RED VARIETIES,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1921700,,
12/27/2025,12/21/2025,12/27/2025,Chile,Fruits,Grapes,Chile,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",43890,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,RED VARIETIES,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",49500,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,BLACK VARIETIES,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",315700,,
12/27/2025,12/21/2025,12/27/2025,California-Central,Fruits,Grapes,California-Central,No,19 lb cartons,N/A,N/A,KERN DISTRICT CALIFORNIA,Truck,2025,N/A,Exp (export),"Fresno, California",381064,20056,
12/27/2025,12/21/2025,12/27/2025,California-Central,Fruits,Grapes,California-Central,No,19 lb cartons,N/A,N/A,KERN DISTRICT CALIFORNIA,Truck,2025,N/A,D (domestic),"Fresno, California",3368377,177283,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,RED VARIETIES,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",17639472,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH SAVANNAH GEORGIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",73920,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",49500,,
12/27/2025,12/21/2025,12/27/2025,South Korea,Fruits,Grapes,South Korea,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",208582,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,BLACK VARIETIES,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2295370,,
12/27/2025,12/21/2025,12/27/2025,South Korea,Fruits,Grapes,South Korea,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",46673,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",207900,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",416900,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,RED VARIETIES,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",320760,,
12/27/2025,12/21/2025,12/27/2025,Brazil,Fruits,Grapes,Brazil,No,N/A,BLACK VARIETIES,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",53130,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",247500,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",110880,,
12/27/2025,12/21/2025,12/27/2025,Brazil,Fruits,Grapes,Brazil,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",53130,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Grapes,Peru,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH SAVANNAH GEORGIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1096953,,
