shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",199690,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2141,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",358358,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2185,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",297209,,
12/20/2025,12/14/2025,12/20/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2853,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",745028,,
12/20/2025,12/14/2025,12/20/2025,Guatemala,Fruits,Lemons,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",15,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",584342,,
12/20/2025,12/14/2025,12/20/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",2844,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",225518,,
12/13/2025,12/07/2025,12/13/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",586064,,
12/13/2025,12/07/2025,12/13/2025,Ecuador,Fruits,Lemons,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",447,,
12/13/2025,12/07/2025,12/13/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",91946,,
