shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",616546,,
12/27/2025,12/21/2025,12/27/2025,Arizona,Vegetables,"Lettuce, Iceberg",Arizona,No,cartons,N/A,N/A,WESTERN ARIZONA,Truck,2025,N/A,D (domestic),"Phoenix, Arizona",22591350,451827,
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH SAN LUIS ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",370607,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",320317,,
12/27/2025,12/21/2025,12/27/2025,California-Imperial Val,Vegetables,"Lettuce, Iceberg",California-Imperial Val,No,cartons,N/A,N/A,IMPERIAL VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",499000,9980,
12/27/2025,12/21/2025,12/27/2025,Peru,Vegetables,"Lettuce, Iceberg",Peru,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",900,,
12/27/2025,12/21/2025,12/27/2025,California-Imperial Val,Vegetables,"Lettuce, Iceberg",California-Imperial Val,Yes,cartons,N/A,N/A,IMPERIAL VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",155000,3100,
12/27/2025,12/21/2025,12/27/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2025,Greenhouse,I (import),"Washington, District Of Columbia",4413,,
12/27/2025,12/21/2025,12/27/2025,Florida,Vegetables,"Lettuce, Iceberg",Florida,No,cartons,N/A,N/A,FLORIDA,Truck,2025,N/A,D (domestic),"Orlando (Oviedo), Florida",1103750,22075,
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",34592,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH CALEXICO CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",114960,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH ROMA TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",158250,,
12/27/2025,12/21/2025,12/27/2025,California-South,Vegetables,"Lettuce, Iceberg",California-South,No,cartons,N/A,N/A,COACHELLA VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",1825000,36500,
12/27/2025,12/21/2025,12/27/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",16517,,
12/27/2025,12/21/2025,12/27/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2025,Greenhouse,I (import),"Washington, District Of Columbia",4035,,
12/27/2025,12/21/2025,12/27/2025,Netherlands,Vegetables,"Lettuce, Iceberg",Netherlands,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,Greenhouse,I (import),"Washington, District Of Columbia",130,,
12/20/2025,12/14/2025,12/20/2025,California-South,Vegetables,"Lettuce, Iceberg",California-South,No,cartons,N/A,N/A,COACHELLA VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",1664500,33290,
12/20/2025,12/14/2025,12/20/2025,Peru,Vegetables,"Lettuce, Iceberg",Peru,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",1569,,
12/20/2025,12/14/2025,12/20/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2025,Greenhouse,I (import),"Washington, District Of Columbia",8143,,
12/20/2025,12/14/2025,12/20/2025,Guatemala,Vegetables,"Lettuce, Iceberg",Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",5370,,
12/20/2025,12/14/2025,12/20/2025,Guatemala,Vegetables,"Lettuce, Iceberg",Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",4424,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",526658,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH SAN LUIS ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",737859,,
12/20/2025,12/14/2025,12/20/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1593,,
12/20/2025,12/14/2025,12/20/2025,Netherlands,Vegetables,"Lettuce, Iceberg",Netherlands,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",220,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",86317,,
12/20/2025,12/14/2025,12/20/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2025,Greenhouse,I (import),"Washington, District Of Columbia",1928,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",64372,,
12/20/2025,12/14/2025,12/20/2025,California-Imperial Val,Vegetables,"Lettuce, Iceberg",California-Imperial Val,No,cartons,N/A,N/A,IMPERIAL VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",1337000,26740,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1639122,,
12/20/2025,12/14/2025,12/20/2025,California-Imperial Val,Vegetables,"Lettuce, Iceberg",California-Imperial Val,Yes,cartons,N/A,N/A,IMPERIAL VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",280000,5600,
12/20/2025,12/14/2025,12/20/2025,Florida,Vegetables,"Lettuce, Iceberg",Florida,No,cartons,N/A,N/A,FLORIDA,Truck,2025,N/A,D (domestic),"Orlando (Oviedo), Florida",817900,16358,
12/20/2025,12/14/2025,12/20/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2025,N/A,I (import),"Washington, District Of Columbia",21267,,
12/20/2025,12/14/2025,12/20/2025,California-Central,Vegetables,"Lettuce, Iceberg",California-Central,No,cartons,N/A,N/A,SANTA MARIA CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",550000,11000,
12/20/2025,12/14/2025,12/20/2025,Arizona,Vegetables,"Lettuce, Iceberg",Arizona,No,cartons,N/A,N/A,WESTERN ARIZONA,Truck,2025,N/A,D (domestic),"Phoenix, Arizona",31949250,638985,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH CALEXICO CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",354461,,
12/20/2025,12/14/2025,12/20/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH ROMA TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",519774,,
12/13/2025,12/07/2025,12/13/2025,Arizona,Vegetables,"Lettuce, Iceberg",Arizona,No,cartons,N/A,N/A,WESTERN ARIZONA,Truck,2025,N/A,D (domestic),"Phoenix, Arizona",30712050,614241,
12/13/2025,12/07/2025,12/13/2025,California-South,Vegetables,"Lettuce, Iceberg",California-South,No,cartons,N/A,N/A,COACHELLA VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",2056000,41120,
12/13/2025,12/07/2025,12/13/2025,California-Imperial Val,Vegetables,"Lettuce, Iceberg",California-Imperial Val,Yes,cartons,N/A,N/A,IMPERIAL VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"El Centro, California",87500,1750,
12/13/2025,12/07/2025,12/13/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",115577,,
12/13/2025,12/07/2025,12/13/2025,Mexico,Vegetables,"Lettuce, Iceberg",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",822374,,
12/13/2025,12/07/2025,12/13/2025,Canada,Vegetables,"Lettuce, Iceberg",Canada,No,N/A,N/A,N/A,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2025,Greenhouse,I (import),"Washington, District Of Columbia",1672,,
12/13/2025,12/07/2025,12/13/2025,Peru,Vegetables,"Lettuce, Iceberg",Peru,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",1647,,
