shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Limes,Mexico,No,N/A,SEEDED TYPES,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1248344,,
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Limes,Colombia,No,N/A,SEEDLESS TYPE,N/A,IMPORTS THROUGH SAN JUAN PUERTO RICO,Boat,2025,N/A,I (import),"Washington, District Of Columbia",134490,,
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Limes,Colombia,No,N/A,SEEDLESS TYPE,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",52360,,
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Limes,Colombia,No,N/A,SEEDLESS TYPE,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",618444,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Limes,Mexico,No,N/A,SEEDED TYPES,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",90552,,
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Limes,Colombia,No,N/A,SEEDLESS TYPE,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",880270,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Limes,Mexico,Yes,N/A,SEEDLESS TYPE,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",188434,,
12/27/2025,12/21/2025,12/27/2025,Guatemala,Fruits,Limes,Guatemala,Yes,N/A,SEEDLESS TYPE,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",38832,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Limes,Mexico,No,N/A,SEEDED TYPES,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",194808,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Limes,Mexico,No,N/A,SEEDLESS TYPE,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",47901,,
