shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Mangoes,Peru,Yes,N/A,N/A,N/A,IMPORTS THROUGH NORFOLK VIRGINIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",47463,,
12/27/2025,12/21/2025,12/27/2025,Ecuador,Fruits,Mangoes,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH PORT HUENEME CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",47652,,
12/27/2025,12/21/2025,12/27/2025,Vietnam,Fruits,Mangoes,Vietnam,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",1100,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Mangoes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",6970,,
12/27/2025,12/21/2025,12/27/2025,Ecuador,Fruits,Mangoes,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH SAN DIEGO CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",118800,,
12/27/2025,12/21/2025,12/27/2025,Grenada,Fruits,Mangoes,Grenada,No,N/A,N/A,N/A,IMPORTS THROUGH NEW ORLEANS LOUISIANA,Air,2025,N/A,I (import),"Washington, District Of Columbia",3280,,
12/27/2025,12/21/2025,12/27/2025,Ecuador,Fruits,Mangoes,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",140547,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Mangoes,Peru,Yes,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",41712,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Mangoes,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",142096,,
12/27/2025,12/21/2025,12/27/2025,Ecuador,Fruits,Mangoes,Ecuador,Yes,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",222717,,
12/27/2025,12/21/2025,12/27/2025,Vietnam,Fruits,Mangoes,Vietnam,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Air,2025,N/A,I (import),"Washington, District Of Columbia",2200,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Mangoes,Peru,Yes,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",39600,,
