shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Oranges,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1159196,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Oranges,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",65732,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Oranges,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",3472,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Oranges,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",66240,,
12/27/2025,12/21/2025,12/27/2025,Jamaica,Fruits,Oranges,Jamaica,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",8206,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Oranges,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",415948,,
12/27/2025,12/21/2025,12/27/2025,Colombia,Fruits,Oranges,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH SAN JUAN PUERTO RICO,Boat,2025,N/A,I (import),"Washington, District Of Columbia",48435,,
12/27/2025,12/21/2025,12/27/2025,Peru,Fruits,Oranges,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",56320,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Oranges,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",348889,,
12/27/2025,12/21/2025,12/27/2025,Dominican Republic,Fruits,Oranges,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",78027,,
