shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/27/2025,12/21/2025,12/27/2025,Egypt,Fruits,Strawberries,Egypt,No,N/A,N/A,Frozen,IMPORTS THROUGH PORT HURON MICHIGAN,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1280,,
12/27/2025,12/21/2025,12/27/2025,Argentina,Fruits,Strawberries,Argentina,No,N/A,N/A,Frozen,IMPORTS THROUGH SEATTLE-TACOMA WASHINGTON,Boat,2025,N/A,I (import),"Washington, District Of Columbia",152592,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Strawberries,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",2065792,,
12/27/2025,12/21/2025,12/27/2025,Guatemala,Fruits,Strawberries,Guatemala,No,N/A,N/A,Frozen,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",35565,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Strawberries,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",3422118,,
12/27/2025,12/21/2025,12/27/2025,Argentina,Fruits,Strawberries,Argentina,No,N/A,N/A,Frozen,IMPORTS THROUGH NEWARK-ELIZABETH NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",152592,,
12/27/2025,12/21/2025,12/27/2025,Egypt,Fruits,Strawberries,Egypt,No,N/A,N/A,Frozen,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",49885,,
12/27/2025,12/21/2025,12/27/2025,Japan,Fruits,Strawberries,Japan,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",60,,
12/27/2025,12/21/2025,12/27/2025,Mexico,Fruits,Strawberries,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",451015,,
12/27/2025,12/21/2025,12/27/2025,Guatemala,Fruits,Strawberries,Guatemala,No,N/A,N/A,Frozen,IMPORTS THROUGH HOUSTON TEXAS,Boat,2025,N/A,I (import),"Washington, District Of Columbia",71852,,
