STATE_NAME,REGION6
Alabama,2
Alabama,2
Alabama,2
Alabama,2
Alabama,2
Alabama,2
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arkansas,2
Arkansas,2
Arkansas,2
Arkansas,2
Arkansas,2
Arkansas,2
California,6
California,6
California,6
California,6
California,6
California,6
Colorado,5
Colorado,5
Colorado,5
Colorado,5
Colorado,5
Colorado,5
Connecticut,1
Connecticut,1
Connecticut,1
Connecticut,1
Connecticut,1
Connecticut,1
Delaware,1
Delaware,1
Delaware,1
Delaware,1
Delaware,1
Delaware,1
Florida,2
Florida,2
Florida,2
Florida,2
Florida,2
Florida,2
Georgia,2
Georgia,2
Georgia,2
Georgia,2
Georgia,2
Georgia,2
Idaho,5
Idaho,5
Idaho,5
Idaho,5
Idaho,5
Idaho,5
Illinois,3
Illinois,3
Illinois,3
Illinois,3
Illinois,3
Illinois,3
Indiana,3
Indiana,3
Indiana,3
Indiana,3
Indiana,3
Indiana,3
Iowa,3
Iowa,3
Iowa,3
Iowa,3
Iowa,3
Iowa,3
Kansas,3
Kansas,3
Kansas,3
Kansas,3
Kansas,3
Kansas,3
Kentucky,1
Kentucky,1
Kentucky,1
Kentucky,1
Kentucky,1
Kentucky,1
Louisiana,2
Louisiana,2
Louisiana,2
Louisiana,2
Louisiana,2
Louisiana,2
Maine,1
Maine,1
Maine,1
Maine,1
Maine,1
Maine,1
Maryland,1
Maryland,1
Maryland,1
Maryland,1
Maryland,1
Maryland,1
Massachusetts,1
Massachusetts,1
Massachusetts,1
Massachusetts,1
Massachusetts,1
Massachusetts,1
Michigan,3
Michigan,3
Michigan,3
Michigan,3
Michigan,3
Michigan,3
Minnesota,3
Minnesota,3
Minnesota,3
Minnesota,3
Minnesota,3
Minnesota,3
Mississippi,2
Mississippi,2
Mississippi,2
Mississippi,2
Mississippi,2
Mississippi,2
Missouri,3
Missouri,3
Missouri,3
Missouri,3
Missouri,3
Missouri,3
Montana,5
Montana,5
Montana,5
Montana,5
Montana,5
Montana,5
Nebraska,3
Nebraska,3
Nebraska,3
Nebraska,3
Nebraska,3
Nebraska,3
Nevada,5
Nevada,5
Nevada,5
Nevada,5
Nevada,5
Nevada,5
New Hampshire,1
New Hampshire,1
New Hampshire,1
New Hampshire,1
New Hampshire,1
New Hampshire,1
New Jersey,1
New Jersey,1
New Jersey,1
New Jersey,1
New Jersey,1
New Jersey,1
New Mexico,4
New Mexico,4
New Mexico,4
New Mexico,4
New Mexico,4
New Mexico,4
New York,1
New York,1
New York,1
New York,1
New York,1
New York,1
North Carolina,1
North Carolina,1
North Carolina,1
North Carolina,1
North Carolina,1
North Carolina,1
North Dakota,3
North Dakota,3
North Dakota,3
North Dakota,3
North Dakota,3
North Dakota,3
Ohio,3
Ohio,3
Ohio,3
Ohio,3
Ohio,3
Ohio,3
Oklahoma,4
Oklahoma,4
Oklahoma,4
Oklahoma,4
Oklahoma,4
Oklahoma,4
Oregon,5
Oregon,5
Oregon,5
Oregon,5
Oregon,5
Oregon,5
Pennsylvania,1
Pennsylvania,1
Pennsylvania,1
Pennsylvania,1
Pennsylvania,1
Pennsylvania,1
Rhode Island,1
Rhode Island,1
Rhode Island,1
Rhode Island,1
Rhode Island,1
Rhode Island,1
South Carolina,2
South Carolina,2
South Carolina,2
South Carolina,2
South Carolina,2
South Carolina,2
South Dakota,3
South Dakota,3
South Dakota,3
South Dakota,3
South Dakota,3
South Dakota,3
Tennessee,1
Tennessee,1
Tennessee,1
Tennessee,1
Tennessee,1
Tennessee,1
Texas,4
Texas,4
Texas,4
Texas,4
Texas,4
Texas,4
Utah,5
Utah,5
Utah,5
Utah,5
Utah,5
Utah,5
Vermont,1
Vermont,1
Vermont,1
Vermont,1
Vermont,1
Vermont,1
Virginia,1
Virginia,1
Virginia,1
Virginia,1
Virginia,1
Virginia,1
Washington,5
Washington,5
Washington,5
Washington,5
Washington,5
Washington,5
West Virginia,1
West Virginia,1
West Virginia,1
West Virginia,1
West Virginia,1
West Virginia,1
Wisconsin,3
Wisconsin,3
Wisconsin,3
Wisconsin,3
Wisconsin,3
Wisconsin,3
Wyoming,5
Wyoming,5
Wyoming,5
Wyoming,5
Wyoming,5
Wyoming,5
