,Public  Access Data -  2022,,,,,,
Variable    name,Labels,,,,,,
A05,A5 What is YOUR/THEIR marital status? [DO NOT READ CHOICES.  MARK ONLY ONE RESPONSE],,,,,,
A07,A7 Where were YOU/THEY born? [DO NOT READ CHOICES MARK ONE RESPONSE.],,,,,,
A08,"A8 IF FOREIGN BORN: In what year did YOU/THEY first enter the U.S. to live or work? (If born in the U.S., mark N/A; if never entered the U.S. mark N/E)",,,,,,
A08MONTH,"A8MONTH IF FOREIGN BORN: In what month did YOU/THEY first enter the U.S. to live or work? (If born in the U.S., mark N/A; if never entered the U.S. mark N/E)",,,,,,
A09,"A9 What is the highest grade in school YOU/THEY completed?  (If completed ""GED"" enter 12)",,,,,,
A10,A10 In what country did YOU/THEY finish YOUR/THEIR highest grade in school?,,,Variables that were dropped in FY 2018,,,
A11,A11 Have YOU/THEY attended school in the U.S. within the last 12 months,,,,,,
A15,"A15 Other than those you already mentioned, how many people live with you now?",,,,,,
A15A,"A15A Out of those [TOTAL IN A15], how many of them are 18 or older?",,,,,,
A15B,"A15B Out of those [TOTAL IN A15], how many of them are 17 or younger?",,,,,,
A15C,"A15C Out of those [TOTAL IN A15], how many of them do you not know their age?",,,,,,
A16A,"A16A Out of the adults [IN A15a], how many are currently doing farm work (FW)?",,,,,,
A16B,"A16B Out of the children [IN A15b], how many are currently doing farm work (FW)?",,,,,,
A16C,"A16C Out of the [IN A15c], how many are currently doing farm work (FW)?",,,,,,
A17Ax,"A17A Out of the adults [IN A15a], how many are currently doing non-farmwork (NF)",,,,,,
A17Bx,"A17B Out of the children [IN A15b], how many are currently doing non-farmwork?",,,,,,
A17Cx,"A17C Out of the [IN A15c], how many are currently doing non-farmwork (NF)?",,,,,,
A18Ax,"A18A Out of the adults [IN A15a], how many are currently not working (NW)?",,,,,,
A18Bx,"A18B Out of the children [IN A15b], how many are currently not working (NW)?",,,,,,
A18Cx,"A18C Out of the [IN A15c], how many are currently not working (NW)?",,,,,,
A20A,"A20A Out of those [TOTAL IN A15], how many of them are adult relatives 18 years or older?",,,,,,
A20B,"A20B Out of those [TOTAL IN A15], how many of them are children 17 years or younger?",,,,,,
A20C,"A20C Out of those [TOTAL IN A15], how many of them are relatives of an age unknown?",,,,,,
A21A,A21A Does the farm worker have health insurance?,,,AYUDAPUB,,was dropped,
A21B,A21B Does the spouse have health insurance?,,,,,,
A21c2,A21C2 Do the children have health insurance?,,,,,,
A21Cx,A21C Do the children have health insurance?,,,,,,
A22Cx,A22Cx Type of insurance for the children?,,,,,,
A23A1,"A23A1 [For the farmworker who has insurance] Who pays, the farmworker pays? [MARK Al I THAT APPLY.]",,,,,,
A23A2,"A23A2 [For the farmworker who has insurance] Who pays, the spouse? [MARK Al I THAT APPLY.]",,,,,,
A23A3,"A23A3 [For the farmworker who has insurance] Who pays, the employer? [MARK Al I THAT APPLY.]",,,,,,
A23A4,"A23A4 [For the farmworker who has insurance] Who pays, the spouse's employer? [MARK Al I THAT APPLY.]",,,,,,
A23A5,"A23A5 [For the farmworker who has insurance] Who pays, the government? [MARK Al I THAT APPLY.]",,,,,,
A23A6,"A23A6 [For the farmworker who has insurance] Who pays, other? [MARK Al I THAT APPLY.]",,,,,,
A23A7,"A23A7 [For the farmworker who has insurance] Who pays, Parent ? [MARK Al I THAT APPLY.]",,,,,,
A23B1,"A23B1 [For the spouse who has insurance] Who pays, the farmworker pays? [MARK Al I THAT APPLY.]",,,,,,
A23B2,"A23B2 [For the spouse who has insurance] Who pays, the spouse? [MARK Al I THAT APPLY.]",,,,,,
A23B3,"A23B3 [For the spouse who has insurance] Who pays, the employer? [MARK Al I THAT APPLY.]",,,,,,
A23B4,"A23B4 [For the spouse who has insurance] Who pays, the spouse's employer? [MARK Al I THAT APPLY.]",,,,,,
A23B5,"A23B5 [For the spouse who has insurance] Who pays, the government? [MARK Al I THAT APPLY.]",,,,,,
A23B6,"A23B6 [For the spouse who has insurance] Who pays, other? [MARK Al I THAT APPLY.]",,,,,,
