r0,sar_crowded,fold_diff,gamma,beta,target_final_size,simulated_final_size,iterations
1.2,0.2,2,0.2,0.15784985351562497,0.31369833146170056,0.31361656708625996,13
1.5,0.2,2,0.2,0.21418994140624997,0.5828116437565659,0.5823409165368817,12
2,0.2,2,0.2,0.3112607421875,0.7968121299824948,0.7964063640233292,11
3,0.2,2,0.2,0.5093046875,0.9404797906997701,0.9403087523646207,8
1.2,0.3,2,0.2,0.156142578125,0.31369833146170056,0.31411472308103466,10
1.5,0.3,2,0.2,0.21223876953124998,0.5828116437565659,0.5823478479437091,12
2,0.3,2,0.2,0.30930957031249995,0.7968121299824948,0.7965784836583307,11
3,0.3,2,0.2,0.507353515625,0.9404797906997701,0.9403702586116709,10
1.2,0.4,1,0.2,0.1551669921875,0.31369833146170056,0.31368100753817924,11
1.5,0.4,1,0.2,0.21126318359375001,0.5828116437565659,0.5826171551363389,12
2,0.4,1,0.2,0.308333984375,0.7968121299824948,0.7968578055391662,10
3,0.4,1,0.2,0.5054023437499999,0.9404797906997701,0.9401329789124828,9
1.2,0.4,2,0.1,0.07727862548828125,0.31369833146170056,0.3134919168332396,14
1.5,0.4,2,0.1,0.1053876953125,0.5828116437565659,0.5827698472852151,10
2,0.4,2,0.1,0.153923095703125,0.7968121299824948,0.7968184560613123,12
3,0.4,2,0.1,0.25270117187499996,0.9404797906997701,0.9402677362828892,9
1.2,0.4,2,0.2,0.1545572509765625,0.31369833146170056,0.3134917457745274,14
1.5,0.4,2,0.2,0.210775390625,0.5828116437565659,0.5827695713182912,10
2,0.4,2,0.2,0.30784619140625,0.7968121299824948,0.7968132040731777,12
3,0.4,2,0.2,0.5054023437499999,0.9404797906997701,0.9402688748777978,9
1.2,0.4,2,0.3333333333333333,0.2575954182942708,0.31369833146170056,0.31349113298130576,14
1.5,0.4,2,0.3333333333333333,0.35129231770833336,0.5828116437565659,0.582770531507916,10
2,0.4,2,0.3333333333333333,0.5130769856770834,0.7968121299824948,0.79681429565510975,12
3,0.4,2,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9402689213157019,9
1.2,0.4,3,0.2,0.15419140625,0.31369833146170056,0.3137639375685314,9
1.5,0.4,3,0.2,0.21028759765625,0.5828116437565659,0.5823818933449931,12
2,0.4,3,0.2,0.3073583984375,0.7968121299824948,0.7965842132850821,11
3,0.4,3,0.2,0.5054023437499999,0.9404797906997701,0.9403623780162885,9
1.2,0.5,2,0.2,0.15345971679687498,0.31369833146170056,0.31412845412784174,13
1.5,0.5,2,0.2,0.20955590820312497,0.5828116437565659,0.5828772245450462,13
2,0.5,2,0.2,0.3063828125,0.7968121299824948,0.7965493170764106,8
3,0.5,2,0.2,0.5054023437499999,0.9404797906997701,0.9407021691007421,9
1.2,0.6,2,0.2,0.152484130859375,0.31369833146170056,0.31386682427603096,13
1.5,0.6,2,0.2,0.208580322265625,0.5828116437565659,0.5828706569703039,13
2,0.6,2,0.2,0.30540722656249997,0.7968121299824948,0.7965518877834604,11
3,0.6,2,0.2,0.5034511718749999,0.9404797906997701,0.9403670435772187,10
