commodity,lbs_total,lbs_adjusted,pct_loss,peakday,or_symp_obesity,obs_A,p_symp_A,sens_type,sens_value,annual_value_usd,dollar_loss_usd
"Lettuce, Iceberg",1597405223.8095257,1591260718.3923264,0.38465539774220625,172,1.5,0.4,0.4999999999999999,obs_A,0.4,1245105000,4789363.590058098
Oranges,3529907542.857151,3516693367.456936,0.37434905134992036,59,1.5,0.4,0.4999999999999999,obs_A,0.4,852507000,3191351.867191666
Strawberries,1750956728.7142851,1743006550.4104245,0.45404767425054615,165,1.5,0.4,0.4999999999999999,obs_A,0.4,3456522000,15694257.750958461
"Lettuce, Iceberg",1597405223.8095257,1591136625.329165,0.3924238125008306,172,1.5,0.5,0.5100978886611973,obs_A,0.5,1245105000,4886088.510638466
Oranges,3529907542.857151,3516426496.9130573,0.3819093214317393,59,1.5,0.5,0.5100978886611973,obs_A,0.5,852507000,3255803.6988580776
Strawberries,1750956728.7142851,1742845990.3797274,0.4632175199734023,165,1.5,0.5,0.5100978886611973,obs_A,0.5,3456522000,16011215.485735044
"Lettuce, Iceberg",1597405223.8095257,1591012532.2660017,0.40019222725956594,172,1.5,0.6,0.5201957773223946,obs_A,0.6,1245105000,4982813.431220219
Oranges,3529907542.857151,3516159626.369174,0.38946959151370253,59,1.5,0.6,0.5201957773223946,obs_A,0.6,852507000,3320255.53052572
Strawberries,1750956728.7142851,1742685430.3490305,0.4723873656962474,165,1.5,0.6,0.5201957773223946,obs_A,0.6,3456522000,16328173.220511243
"Lettuce, Iceberg",1597405223.8095257,1590888439.2028382,0.4079606420183235,172,1.5,0.7,0.5302936659835921,obs_A,0.7,1245105000,5079538.351802247
Oranges,3529907542.857151,3515892755.8252964,0.39702986159548814,59,1.5,0.7,0.5302936659835921,obs_A,0.7,852507000,3384707.362191848
Strawberries,1750956728.7142851,1742524870.3183315,0.4815572114192146,165,1.5,0.7,0.5302936659835921,obs_A,0.7,3456522000,16645130.955291664
"Lettuce, Iceberg",1597405223.8095257,1591260718.3923264,0.38465539774220625,172,1,0.55,0.5,or_symp_obesity,1,1245105000,4789363.590058098
Oranges,3529907542.857151,3516693367.456936,0.37434905134992036,59,1,0.55,0.5,or_symp_obesity,1,852507000,3191351.867191666
Strawberries,1750956728.7142851,1743006550.4104245,0.45404767425054615,165,1,0.55,0.5,or_symp_obesity,1,3456522000,15694257.750958461
"Lettuce, Iceberg",1597405223.8095257,1591074578.7975836,0.39630801988018716,172,1.5,0.55,0.5151468329917961,or_symp_obesity,1.5,1245105000,4934450.9709292045
Oranges,3529907542.857151,3516293061.64112,0.38568945647260433,59,1.5,0.55,0.5151468329917961,or_symp_obesity,1.5,852507000,3288029.6146909054
Strawberries,1750956728.7142851,1742765710.36438,0.4678024428347749,165,1.5,0.55,0.5151468329917961,or_symp_obesity,1.5,3456522000,16169694.353121419
"Lettuce, Iceberg",1597405223.8095257,1590768312.2780268,0.4154807704754515,172,3,0.55,0.5400688160287078,or_symp_obesity,3,1245105000,5173171.847228371
Oranges,3529907542.857151,3515634414.7307787,0.4043484978878409,59,3,0.55,0.5400688160287078,or_symp_obesity,3,852507000,3447099.2488886956
Strawberries,1750956728.7142851,1742369441.9467196,0.49043397970611746,165,3,0.55,0.5400688160287078,or_symp_obesity,3,3456522000,16951958.404017486
