r0,p_symp_scenario,p_symp_A,commodity,worst_peakday,pct_loss,worst_peakday_month,annual_value_usd,dollar_loss_usd
1.5,all_symptomatic,1,"Lettuce, Iceberg",191,0.6090274788884686,July,1245105000,7583031.591014267
1.5,all_symptomatic,1,Oranges,77,0.5790891150663446,March,852507000,4936775.242178643
1.5,all_symptomatic,1,Strawberries,181,0.686771439521261,June,3456522000,23738405.89676908
2,all_symptomatic,1,"Lettuce, Iceberg",152,0.9847800030079124,June,1245105000,12261545.056451667
2,all_symptomatic,1,Oranges,35,0.9800683254909126,February,852507000,8355151.079592815
2,all_symptomatic,1,Strawberries,150,1.2134609584482314,May,3456522000,41943544.99017398
3,all_symptomatic,1,"Lettuce, Iceberg",142,1.205110938767484,May,1245105000,15004896.554140883
3,all_symptomatic,1,Oranges,12,1.249196754971027,January,852507000,10649489.779900854
3,all_symptomatic,1,Strawberries,148,1.511417488886413,May,3456522000,52242478.01520641
1.5,baseline,0.5151468329917961,"Lettuce, Iceberg",191,0.3137385769543699,July,1245105000,3906374.7085877075
1.5,baseline,0.5151468329917961,Oranges,77,0.2983159236465305,March,852507000,2543164.1312013273
1.5,baseline,0.5151468329917961,Strawberries,181,0.35378813205863,June,3456522000,12228764.617995601
2,baseline,0.5151468329917961,"Lettuce, Iceberg",152,0.507306299743171,June,1245105000,6316496.103417209
2,baseline,0.5151468329917961,Oranges,35,0.5048790939922831,February,852507000,4304129.617820794
2,baseline,0.5151468329917961,Strawberries,150,0.6251105697037684,May,3456522000,21607084.366136093
3,baseline,0.5151468329917961,"Lettuce, Iceberg",142,0.6208090835099322,May,1245105000,7729724.939236342
3,baseline,0.5151468329917961,Oranges,12,0.6435197521071023,January,852507000,5486050.9330956945
3,baseline,0.5151468329917961,Strawberries,148,0.7786019327281846,May,3456522000,26912547.0971749
