REGION6,REGION_NAME,population,mean_hhsize,prop_hhsize_4plus,prop_crowded
1,East,Agricultural workers,3.8619959346176866,0.5472672497504137,0.20346439358942797
1,East,General community,2.4383747757479886,0.21658065263711154,0.027878249312313096
2,Southeast,Agricultural workers,3.8896819137784213,0.5231601220315533,0.22448576479346452
2,Southeast,General community,2.4103743219809624,0.2058741732355749,0.025610708994833285
3,Midwest,Agricultural workers,3.2586759674146215,0.4113524191828431,0.11151479928704681
3,Midwest,General community,2.3867386203876713,0.2071530447900221,0.018464383567786544
4,Southwest,Agricultural workers,3.3234290395918165,0.45074029806677823,0.14834172541660354
4,Southwest,General community,2.5863310617131425,0.2546888442727108,0.045207205325076584
5,Northwest,Agricultural workers,3.873046935201664,0.585608841696027,0.27308560060203385
5,Northwest,General community,2.521677834395591,0.23372861905729458,0.031722025754647006
6,California,Agricultural workers,4.094672820629535,0.6171102800851734,0.32796884687022687
6,California,General community,2.745233527722424,0.29316644474800596,0.08342556500473115
