region_label,REGION6,w_A,eta,m_AA,m_AC,m_CC,m_CA
East,1,0.0072060722232625924,0,0.0072060722232625924,0.9927939277767374,0.9927939277767374,0.0072060722232625924
East,1,0.0072060722232625924,0.25,0.25540455416744695,0.744595445832553,0.994595445832553,0.005404554167446944
East,1,0.0072060722232625924,0.3333333333333333,0.33813738148217504,0.661862618517825,0.9951959518511584,0.004804048148841729
East,1,0.0072060722232625924,0.5,0.5036030361116313,0.4963969638883687,0.9963969638883687,0.0036030361116312962
East,1,0.0072060722232625924,0.6666666666666666,0.6690686907410875,0.3309313092589125,0.9975979759255791,0.0024020240744208644
East,1,0.0072060722232625924,0.75,0.7518015180558156,0.24819848194418434,0.9981984819441844,0.0018015180558156481
Southeast,2,0.010253048665344757,0,0.010253048665344757,0.9897469513346553,0.9897469513346553,0.010253048665344757
Southeast,2,0.010253048665344757,0.25,0.2576897864990086,0.7423102135009915,0.9923102135009915,0.007689786499008568
Southeast,2,0.010253048665344757,0.3333333333333333,0.34016869911022984,0.6598313008897703,0.9931646342231035,0.006835365776896506
Southeast,2,0.010253048665344757,0.5,0.5051265243326724,0.49487347566732764,0.9948734756673276,0.005126524332672379
Southeast,2,0.010253048665344757,0.6666666666666666,0.6700843495551149,0.32991565044488513,0.9965823171115518,0.003417682888448253
Southeast,2,0.010253048665344757,0.75,0.7525632621663362,0.24743673783366382,0.9974367378336638,0.0025632621663361894
Midwest,3,0.015718492352504176,0,0.015718492352504176,0.9842815076474958,0.9842815076474958,0.015718492352504176
Midwest,3,0.015718492352504176,0.25,0.2617888692643781,0.7382111307356218,0.9882111307356218,0.011788869264378131
Midwest,3,0.015718492352504176,0.3333333333333333,0.34381232823500274,0.6561876717649973,0.9895210050983305,0.010478994901669451
Midwest,3,0.015718492352504176,0.5,0.5078592461762521,0.4921407538237479,0.9921407538237479,0.007859246176252088
Midwest,3,0.015718492352504176,0.6666666666666666,0.6719061641175014,0.32809383588249863,0.9947605025491653,0.0052394974508347255
Midwest,3,0.015718492352504176,0.75,0.753929623088126,0.24607037691187394,0.996070376911874,0.003929623088126044
Southwest,4,0.009719322824149022,0,0.009719322824149022,0.990280677175851,0.990280677175851,0.009719322824149022
Southwest,4,0.009719322824149022,0.25,0.25728949211811175,0.7427105078818883,0.9927105078818883,0.007289492118111767
Southwest,4,0.009719322824149022,0.3333333333333333,0.339812881882766,0.6601871181172341,0.9935204514505673,0.006479548549432682
Southwest,4,0.009719322824149022,0.5,0.5048596614120745,0.4951403385879255,0.9951403385879255,0.004859661412074511
Southwest,4,0.009719322824149022,0.6666666666666666,0.669906440941383,0.33009355905861704,0.9967602257252837,0.003239774274716341
Southwest,4,0.009719322824149022,0.75,0.7524298307060373,0.24757016929396275,0.9975701692939627,0.0024298307060372556
Northwest,5,0.02121876878302336,0,0.02121876878302336,0.9787812312169767,0.9787812312169767,0.02121876878302336
Northwest,5,0.02121876878302336,0.25,0.2659140765872675,0.7340859234127325,0.9840859234127325,0.01591407658726752
Northwest,5,0.02121876878302336,0.3333333333333333,0.3474791791886822,0.6525208208113179,0.9858541541446513,0.014145845855348909
Northwest,5,0.02121876878302336,0.5,0.5106093843915117,0.48939061560848834,0.9893906156084884,0.01060938439151168
Northwest,5,0.02121876878302336,0.6666666666666666,0.6737395895943411,0.32626041040565895,0.9929270770723255,0.007072922927674454
Northwest,5,0.02121876878302336,0.75,0.7553046921957558,0.24469530780424417,0.9946953078042442,0.00530469219575584
California,6,0.021855094657951886,0,0.021855094657951886,0.9781449053420481,0.9781449053420481,0.021855094657951886
California,6,0.021855094657951886,0.25,0.2663913209934639,0.7336086790065361,0.9836086790065361,0.016391320993463916
California,6,0.021855094657951886,0.3333333333333333,0.34790339643863455,0.6520966035613655,0.9854299368946988,0.014570063105301258
California,6,0.021855094657951886,0.5,0.5109275473289759,0.48907245267102406,0.9890724526710241,0.010927547328975943
California,6,0.021855094657951886,0.6666666666666666,0.6739516982193172,0.3260483017806827,0.9927149684473493,0.007285031552650629
California,6,0.021855094657951886,0.75,0.755463773664488,0.24453622633551203,0.994536226335512,0.0054637736644879715
