scenario,sensitivity_dim,sens_value,assortativity,sar_crowded,fold_diff,tau,tau_boost,beta,gamma,vax_eff,vax_coverage_ag,vax_coverage_comm,obesity_prev_ag,obesity_or,p_symp_A,p_symp_C
r0_1.2,r0,1.2,0.666667,0.4,2,0.05000000000000001,0.08333333333333334,0.1545572509765625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
r0_1.5,r0,1.5,0.666667,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
r0_2,r0,2,0.666667,0.4,2,0.05000000000000001,0.08333333333333334,0.30784619140625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
r0_3,r0,3,0.666667,0.4,2,0.05000000000000001,0.08333333333333334,0.5054023437499999,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
eps_0.25,eps,0.25,0.75,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
eps_0.5,eps,0.5,0.5,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
eps_0.6667,eps,0.6666666666666666,0.333333,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
eps_0.75,eps,0.75,0.25,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
eps_1,eps,1,0,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
sar_0.2,sar,0.2,0.666667,0.2,2,0.05000000000000001,0,0.21418994140624997,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
sar_0.3,sar,0.3,0.666667,0.3,2,0.05000000000000001,0.035714285714285705,0.21223876953124998,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
sar_0.5,sar,0.5,0.666667,0.5,2,0.05000000000000001,0.15,0.20955590820312497,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
sar_0.6,sar,0.6,0.666667,0.6,2,0.05000000000000001,0.24999999999999997,0.208580322265625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
fold_1,fold,1,0.666667,0.4,1,0.05000000000000001,0.08333333333333334,0.21126318359375001,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
fold_3,fold,3,0.666667,0.4,3,0.05000000000000001,0.08333333333333334,0.21028759765625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
gamma_0.3333,gamma,0.3333333333333333,0.666667,0.4,2,0.08333333333333333,0.1388888888888889,0.35129231770833336,0.3333333333333333,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
gamma_0.1,gamma,0.1,0.666667,0.4,2,0.025000000000000005,0.04166666666666667,0.1053876953125,0.1,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
seed_1,seed,1,0.666667,0.4,2,0.05000000000000001,0.08333333333333334,0.210775390625,0.2,0.6,0.4,0.5,0.55,1.5,0.5151468329917961,0.4999999999999999
