r0,subpop,REGION6,region,final_size,reff
1.5,A,1,East,0.34244528768414334,1.2242168919292709
1.5,A,2,Southeast,0.34225560340943717,1.2240526494854391
1.5,A,3,Midwest,0.23612415920271632,1.1407134957178562
1.5,A,4,Southwest,0.3324087416935429,1.2156093712515585
1.5,A,5,Northwest,0.3898038717501005,1.2672394698207303
1.5,A,6,California,0.4822882321510711,1.3650273434551736
1.5,C,1,East,0.11775764872688986,1.0639520013133594
1.5,C,2,Southeast,0.1097358689649608,1.059244210100711
1.5,C,3,Midwest,0.10653575724954224,1.057381741091622
1.5,C,4,Southwest,0.17221786059248623,1.0974777832304372
1.5,C,5,Northwest,0.15647901567031255,1.0874972525150555
1.5,C,6,California,0.24099645900470976,1.1442028542380474
2,A,1,East,0.7064608808592272,1.735049168083813
2,A,2,Southeast,0.7087847883095718,1.7405744965525818
2,A,3,Midwest,0.6506094549978418,1.6162767605661104
2,A,4,Southwest,0.6836028424119268,1.6833707459021483
2,A,5,Northwest,0.721994537115394,1.7730252086601659
2,A,6,California,0.7531756402002415,1.8575724101452713
2,C,1,East,0.5187581227545085,1.4098772431552369
2,C,2,Southeast,0.5129872295536092,1.402500670800113
2,C,3,Midwest,0.5116639222286703,1.4008246332540824
2,C,4,Southwest,0.5473125148962878,1.4480817601678895
2,C,5,Northwest,0.535168902927632,1.43147549734512
2,C,6,California,0.5806347400837033,1.4966603559364597
3,A,1,East,0.901349684358974,2.5696728884538658
3,A,2,Southeast,0.9024488435678136,2.578958767367321
3,A,3,Midwest,0.8826121970057685,2.427195405838148
3,A,4,Southwest,0.8917444830863193,2.49315918517706
3,A,5,Northwest,0.9062553463876706,2.612045990490987
3,A,6,California,0.9149247419328868,2.6933570732677583
3,C,1,East,0.8239828588856717,2.108264604363976
3,C,2,Southeast,0.8221375075831745,2.1003111107550025
3,C,3,Midwest,0.8215380642711744,2.0977481393366637
3,C,4,Southwest,0.8328205657409545,2.1477466579471494
3,C,5,Northwest,0.8286348656735684,2.1287527034905653
3,C,6,California,0.8432117580622803,2.1973829750400413
