t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,9,eps_1,eps,1
0,C,0.9990000000000002,0.0010000000000000002,0,1,9,eps_1,eps,1
1,A,0.9984851355627721,0.0012865906549715028,2.282737822565222e-4,1,9,eps_1,eps,1
1,C,0.9986503402071345,0.0011362278007603862,2.1343199210404555e-4,1,9,eps_1,eps,1
2,A,0.9978993083281333,0.0015852667813234433,5.154248905428934e-4,1,9,eps_1,eps,1
2,C,0.9982609990431316,0.0012837450966857323,4.552558601836433e-4,1,9,eps_1,eps,1
3,A,0.9972565641107837,0.0018812720419196678,8.621638472968945e-4,1,9,eps_1,eps,1
3,C,0.9978299118310918,0.0014423978088052751,7.276903601007784e-4,1,9,eps_1,eps,1
4,A,0.9965594914604675,0.002172899976538404,0.0012676085629937939,1,9,eps_1,eps,1
4,C,0.9973537897477622,0.0016131474934572164,0.0010330627587803282,1,9,eps_1,eps,1
5,A,0.9958028168173627,0.0024657755481866713,0.0017314076344505317,1,9,eps_1,eps,1
5,C,0.9968283752519111,0.0017976713218613345,0.0013739534262276387,1,9,eps_1,eps,1
6,A,0.9949777800725533,0.0027676243254581914,0.0022545956019881003,1,9,eps_1,eps,1
6,C,0.9962486531746356,0.0019980267630442285,0.0017533200623185544,1,9,eps_1,eps,1
7,A,0.9940743075931622,0.0030859352019108758,0.0028397572049267132,1,9,eps_1,eps,1
7,C,0.9956089384418428,0.0022164857860968454,0.0021745757720605997,1,9,eps_1,eps,1
8,A,0.9930821902476804,0.0034270540113683357,0.0034907557409514793,1,9,eps_1,eps,1
8,C,0.994903111067055,0.002455384398184714,0.0026415045347626697,1,9,eps_1,eps,1
9,A,0.9919908387109498,0.0037965335654490642,0.00421262772360103,1,9,eps_1,eps,1
9,C,0.9941244391352899,0.0027171802827583823,0.003158380581952035,1,9,eps_1,eps,1
10,A,0.9907889494978255,0.004199381045518942,0.005011669456655651,1,9,eps_1,eps,1
10,C,0.9932653413682059,0.00300452210049688,0.0037301365312972143,1,9,eps_1,eps,1
11,A,0.9894649063554563,0.004640118685878083,0.005894974958665412,1,9,eps_1,eps,1
11,C,0.9923177528436765,0.0033201241369408994,0.004362123019381981,1,9,eps_1,eps,1
12,A,0.9880063385033121,0.005123144815588213,0.0068705166810990505,1,9,eps_1,eps,1
12,C,0.991272906549484,0.003666850743846209,0.00506024270667018,1,9,eps_1,eps,1
13,A,0.9863996592824751,0.0056529952402694875,0.007947345477254876,1,9,eps_1,eps,1
13,C,0.9901210489290386,0.004047812850687311,0.005831138220274698,1,9,eps_1,eps,1
14,A,0.9846305688675416,0.006234163758872883,0.009135267373585396,1,9,eps_1,eps,1
14,C,0.9888517969074605,0.004466236725753723,0.0066819663667859125,1,9,eps_1,eps,1
15,A,0.9826835966712472,0.006871360600328893,0.010445042728424787,1,9,eps_1,eps,1
15,C,0.9874538537154354,0.004925566000499169,0.00762058028406459,1,9,eps_1,eps,1
16,A,0.9805422007697444,0.007569486811982083,0.011888312418273527,1,9,eps_1,eps,1
16,C,0.985915083387734,0.005429431044445772,0.008655485567820115,1,9,eps_1,eps,1
17,A,0.9781886034009325,0.008333649905117068,0.013477746693950245,1,9,eps_1,eps,1
17,C,0.9842223745071341,0.005981670924267996,0.00979595456859773,1,9,eps_1,eps,1
18,A,0.9756038806209719,0.009169141346510626,0.015226978032516866,1,9,eps_1,eps,1
18,C,0.982361706607394,0.006586307574574229,0.01105198581803132,1,9,eps_1,eps,1
19,A,0.9727678481155353,0.010081433987326891,0.0171507178971377,1,9,eps_1,eps,1
19,C,0.9803180495589014,0.0072475487303459134,0.012434401710753771,1,9,eps_1,eps,1
20,A,0.9696588494407729,0.011076179167785954,0.01926497139144139,1,9,eps_1,eps,1
20,C,0.9780751794877253,0.007969799892040717,0.013955020620234654,1,9,eps_1,eps,1
21,A,0.9662539493412714,0.012159128310403677,0.021586922348325602,1,9,eps_1,eps,1
21,C,0.9756158055222671,0.00875760793043116,0.01562658654730148,1,9,eps_1,eps,1
22,A,0.9625291574570976,0.013336030734693104,0.024134811808209318,1,9,eps_1,eps,1
22,C,0.9729217171602507,0.009615591673386142,0.017462691166362704,1,9,eps_1,eps,1
23,A,0.9584594851189349,0.01461254562089479,0.026927969260170197,1,9,eps_1,eps,1
23,C,0.9699737954060075,0.010548392191456287,0.01947781240253496,1,9,eps_1,eps,1
