t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,0.001,0,1,14,fold_1,fold,1
0,C,0.999,0.001,0,1,14,fold_1,fold,1
1,A,0.9984910872163645,0.0012814202926922256,2.2749249094377908e-4,1,14,fold_1,fold,1
1,C,0.9986524947584713,0.0011342565442355053,2.132486972943992e-4,1,14,fold_1,fold,1
2,A,0.9978891882696276,0.0015960073693351495,5.148043610374908e-4,1,14,fold_1,fold,1
2,C,0.9982663978653806,0.0012791763737119914,4.544257609075499e-4,1,14,fold_1,fold,1
3,A,0.9971969184064547,0.001935483491531409,8.675981020136209e-4,1,14,fold_1,fold,1
3,C,0.9978394520676903,0.001434880839250211,7.256670930590826e-4,1,14,fold_1,fold,1
4,A,0.9964086254536297,0.0023005542155033407,0.0012908203308671785,1,14,fold_1,fold,1
4,C,0.9973683685235601,0.0016024041446715672,0.0010292273317695287,1,14,fold_1,fold,1
5,A,0.9955126310887398,0.002697229773315382,0.001790139137943877,1,14,fold_1,fold,1
5,C,0.9968490107699475,0.0017833695398133359,0.0013676196902408825,1,14,fold_1,fold,1
6,A,0.9944938833895043,0.003133480307999639,0.0023726363024961453,1,14,fold_1,fold,1
6,C,0.9962765493396812,0.0019797362271487045,0.0017437144331691557,1,14,fold_1,fold,1
7,A,0.9933354467624952,0.003617573874463787,0.003046979363040563,1,14,fold_1,fold,1
7,C,0.9956455720948738,0.0021936491410473784,0.0021607787640775694,1,14,fold_1,fold,1
8,A,0.9920186936403576,0.004157676348870568,0.0038236300107719625,1,14,fold_1,fold,1
8,C,0.9949500088602067,0.0024274127904550047,0.0026225783493371603,1,14,fold_1,fold,1
9,A,0.9905234922290287,0.004761783845302911,0.0047147239256682015,1,14,fold_1,fold,1
9,C,0.9941831829721894,0.002683447675515014,0.0031333693522950516,1,14,fold_1,fold,1
10,A,0.9888292868348465,0.005437482026908457,0.005733231138244159,1,14,fold_1,fold,1
10,C,0.9933382109587054,0.002964149466664467,0.003697639574628816,1,14,fold_1,fold,1
11,A,0.986911728068152,0.006193321528335826,0.00689495040351246,1,14,fold_1,fold,1
11,C,0.9924068988849603,0.0032722837257605844,0.004320817389280004,1,14,fold_1,fold,1
12,A,0.9847458517856911,0.00703763226851224,0.008216515945797802,1,14,fold_1,fold,1
12,C,0.9913808081181215,0.0036106066313317227,0.005008585250546661,1,14,fold_1,fold,1
13,A,0.9823042023247237,0.007979228209760821,0.009716569465515756,1,14,fold_1,fold,1
13,C,0.9902506206630937,0.003982081480288291,0.0057672978566181265,1,14,fold_1,fold,1
14,A,0.9795573602494321,0.009027243054901971,0.01141539669566586,1,14,fold_1,fold,1
14,C,0.9890062971870618,0.004389834112519958,0.006603868700418234,1,14,fold_1,fold,1
15,A,0.9764737924544561,0.01019110054569609,0.013335106999847655,1,14,fold_1,fold,1
15,C,0.9876369809166704,0.004837175667173672,0.007525843416156111,1,14,fold_1,fold,1
16,A,0.9730191329414438,0.011480675651491086,0.01550019140706501,1,14,fold_1,fold,1
16,C,0.9861307008414845,0.005327688782034636,0.008541610376481346,1,14,fold_1,fold,1
17,A,0.9691575943200271,0.012905695775231837,0.017936709904741322,1,14,fold_1,fold,1
