t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,17,gamma_0.1,gamma,0.1
0,C,0.9990000000000002,0.0010000000000000002,0,1,17,gamma_0.1,gamma,0.1
1,A,0.998779653270397,0.0011146650733949522,1.0568165620826571e-4,1,17,gamma_0.1,gamma,0.1
1,C,0.9988648646832513,0.0010334607143215975,1.016746024265606e-4,1,17,gamma_0.1,gamma,0.1
2,A,0.9985423830378232,0.0012345032410846263,2.2311372109117846e-4,1,17,gamma_0.1,gamma,0.1
2,C,0.9987267666421153,0.001066554217387847,2.0667914049734467e-4,1,17,gamma_0.1,gamma,0.1
3,A,0.9982908900312522,0.0013564541271047718,3.526558416431261e-4,1,17,gamma_0.1,gamma,0.1
3,C,0.9985860332026545,0.0010990047036491101,3.149620936953809e-4,1,17,gamma_0.1,gamma,0.1
4,A,0.998027480221272,0.0014781282025650908,4.943915761629142e-4,1,17,gamma_0.1,gamma,0.1
4,C,0.9984429294960768,0.001130621456129558,4.2644904779409466e-4,1,17,gamma_0.1,gamma,0.1
5,A,0.9977537908015238,0.0015979979704927934,6.482112279831637e-4,1,17,gamma_0.1,gamma,0.1
5,C,0.9982976511218897,0.0011612978358300505,5.410510422809692e-4,1,17,gamma_0.1,gamma,0.1
6,A,0.9974707615992532,0.0017153440368432161,8.138943639043457e-4,1,17,gamma_0.1,gamma,0.1
6,C,0.9981503282436626,0.0011909997275041623,6.586720288346792e-4,1,17,gamma_0.1,gamma,0.1
7,A,0.9971787294248441,0.0018300988491629978,9.911717259928794e-4,1,17,gamma_0.1,gamma,0.1
7,C,0.9980010357792024,0.0012197519836015236,7.7921223719619e-4,1,17,gamma_0.1,gamma,0.1
8,A,0.9968776137832147,0.0019425791326780734,0.0011798070841081624,1,17,gamma_0.1,gamma,0.1
8,C,0.997849803910298,0.0012476136860408314,9.02582403660546e-4,1,17,gamma_0.1,gamma,0.1
9,A,0.9965670933722159,0.0020533051972663465,0.0013796014305170086,1,17,gamma_0.1,gamma,0.1
9,C,0.9976966361174828,0.0012746664322383172,0.0010286974502798178,1,17,gamma_0.1,gamma,0.1
10,A,0.9962466795577665,0.002162909853360784,0.0015904105888725456,1,17,gamma_0.1,gamma,0.1
10,C,0.9975415135268509,0.0013010056399101481,0.001157480833238159,1,17,gamma_0.1,gamma,0.1
11,A,0.9959158390338837,0.0022720049480993683,0.0018121560180157465,1,17,gamma_0.1,gamma,0.1
11,C,0.9973844051834727,0.001326727439979682,0.0012888673765474045,1,17,gamma_0.1,gamma,0.1
12,A,0.9955740062557508,0.0023811775707666713,0.002044816173483118,1,17,gamma_0.1,gamma,0.1
12,C,0.9972252709075278,0.0013519288762489862,0.0014228002162241632,1,17,gamma_0.1,gamma,0.1
13,A,0.9952206220952065,0.0024909535095754237,0.002288424395217368,1,17,gamma_0.1,gamma,0.1
