t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,1,r0_1.2,r0,1.2
0,C,0.9990000000000002,0.0010000000000000002,0,1,1,r0_1.2,r0,1.2
1,A,0.9985493826054082,0.0012281171572194707,2.2250023737287156e-4,1,1,r0_1.2,r0,1.2
1,C,0.9987185296009823,0.0010740571034201431,2.0741329559699075e-4,1,1,r0_1.2,r0,1.2
2,A,0.9980444860295172,0.0014637841250136779,4.917298454691507e-4,1,1,r0_1.2,r0,1.2
2,C,0.9984238577807644,0.0011466241616022962,4.2951805763315063e-4,1,1,r0_1.2,r0,1.2
3,A,0.9975010321908324,0.001691528672019835,8.074391371479441e-4,1,1,r0_1.2,r0,1.2
3,C,0.9981176353967921,0.0012164896518879673,6.658749513189772e-4,1,1,r0_1.2,r0,1.2
4,A,0.9969245331017906,0.0019079429515146081,0.001167523946694417,1,1,r0_1.2,r0,1.2
4,C,0.9978005282352129,0.0012835565199444622,9.159152448425526e-4,1,1,r0_1.2,r0,1.2
5,A,0.9963136685918591,0.002116320818618181,0.0015700105895214637,1,1,r0_1.2,r0,1.2
5,C,0.9974725206286882,0.0013483514796317215,0.0011791278916787498,1,1,r0_1.2,r0,1.2
6,A,0.9956645556041439,0.0023216315954296568,0.002013812800427088,1,1,r0_1.2,r0,1.2
6,C,0.9971332524672116,0.001411612027428108,0.0014551355053588767,1,1,r0_1.2,r0,1.2
7,A,0.9949729630968152,0.0025282745610333167,0.0024987623421520518,1,1,r0_1.2,r0,1.2
7,C,0.996782226952078,0.001474063985609164,0.001743709062312488,1,1,r0_1.2,r0,1.2
8,A,0.994234737247322,0.0027397857203766297,0.0030254770323012523,1,1,r0_1.2,r0,1.2
8,C,0.9964188624591634,0.0015363859523670864,0.0020447515884710206,1,1,r0_1.2,r0,1.2
9,A,0.9934459100616888,0.002958710547620572,0.0035953793906913795,1,1,r0_1.2,r0,1.2
9,C,0.9960425032450864,0.001599183792912429,0.002358312962000883,1,1,r0_1.2,r0,1.2
10,A,0.9926033937735077,0.0031865303314865504,0.004210075895006801,1,1,r0_1.2,r0,1.2
10,C,0.9956525888589842,0.0016628754127274222,0.002684535728288557,1,1,r0_1.2,r0,1.2
11,A,0.9917043769227519,0.0034242945680718773,0.00487132850917582,1,1,r0_1.2,r0,1.2
11,C,0.9952485864431572,0.0017277901808823255,0.0030236233759614074,1,1,r0_1.2,r0,1.2
12,A,0.9907463996160305,0.0036727458498447803,0.005580854534125719,1,1,r0_1.2,r0,1.2
12,C,0.9948300199172151,0.001794177640805664,0.003375802441979442,1,1,r0_1.2,r0,1.2
13,A,0.98972604949001175,0.003932776682751771,0.0063411738272364454,1,1,r0_1.2,r0,1.2
13,C,0.9943962237475923,0.0018623469512020143,0.00374142930120474,1,1,r0_1.2,r0,1.2
