t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,3,r0_3,r0,3
0,C,0.9990000000000002,0.0010000000000000002,0,1,3,r0_3,r0,3
1,A,0.9983083469285893,0.001448940362489712,2.4271270892091952e-4,1,3,r0_3,r0,3
1,C,0.9985081014838941,0.0012662355311840244,2.2566298492280104e-4,1,3,r0_3,r0,3
2,A,0.9973602206707786,0.002049810174390827,5.899691548297761e-4,1,3,r0_3,r0,3
2,C,0.9978892552144013,0.0015996519391296878,5.110928464693263e-4,1,3,r0_3,r0,3
3,A,0.9960829633431083,0.002841189258080078,0.0010758473988115034,1,3,r0_3,r0,3
3,C,0.9971119174641201,0.0020167502581268293,8.713322777533988e-4,1,3,r0_3,r0,3
4,A,0.9943798540409167,0.0038765759513375323,0.0017435700077461794,1,3,r0_3,r0,3
4,C,0.9961365207368985,0.0025383450761352335,0.0013251341869662252,1,3,r0_3,r0,3
5,A,0.9921254151614656,0.005226271726184704,0.0026483131123494854,1,3,r0_3,r0,3
5,C,0.9949140571603835,0.003190233184737708,0.0018957096548802182,1,3,r0_3,r0,3
6,A,0.9891574562561208,0.006980768533023858,0.003861775210855897,1,3,r0_3,r0,3
6,C,0.9933829406530108,0.004004745361149776,0.0026123139858392225,1,3,r0_3,r0,3
7,A,0.9852719693489667,0.009252583725101732,0.005475446925931407,1,3,r0_3,r0,3
7,C,0.9914672387200232,0.005021556309445058,0.0035112049705308926,1,3,r0_3,r0,3
8,A,0.9802127818017325,0.012180282232741231,0.007606935965525057,1,3,r0_3,r0,3
8,C,0.9890725506377478,0.006289615506047623,0.004637833856204697,1,3,r0_3,r0,3
9,A,0.9736694929061723,0.015927905375635473,0.010402601718192366,1,3,r0_3,r0,3
9,C,0.9860844549780162,0.007867700368612089,0.006047844653372296,1,3,r0_3,r0,3
10,A,0.9652632751622319,0.0206900375989988,0.014046687238770074,1,3,r0_3,r0,3
10,C,0.9823618289849548,0.00982748423914914,0.007810686775896653,1,3,r0_3,r0,3
11,A,0.9545538757383094,0.02668370975436093,0.01876241450732863,1,3,r0_3,r0,3
11,C,0.9777363755853818,0.012253116938002542,0.010010507476614016,1,3,r0_3,r0,3
12,A,0.9410379209913576,0.03414319503992091,0.024818883968721145,1,3,r0_3,r0,3
12,C,0.9720068405503385,0.015243249813762955,0.012749909635898988,1,3,r0_3,r0,3
13,A,0.9241665489572555,0.04330057636286561,0.032532874679879344,1,3,r0_3,r0,3
13,C,0.9649362437007131,0.018910814949776644,0.016152941349509245,1,3,r0_3,r0,3
14,A,0.9033765757661073,0.054357493454479225,0.042265930779413416,1,3,r0_3,r0,3
14,C,0.956250543239832,0.023381548378532218,0.020367908381635973,1,3,r0_3,r0,3
15,A,0.8781462517553095,0.06744209491015492,0.05441165333453503,1,3,r0_3,r0,3
15,C,0.9456428021792995,0.028788878263287736,0.025568319557412164,1,3,r0_3,r0,3
16,A,0.8480665900978219,0.08255511833980111,0.06937829156237689,1,3,r0_3,r0,3
16,C,0.932778284497026,0.035266828566012695,0.031954886936960546,1,3,r0_3,r0,3
17,A,0.8129350848793441,0.09950835614432489,0.08755655897633093,1,3,r0_3,r0,3
17,C,0.9173082061319042,0.04293727503749124,0.03975451883060424,1,3,r0_3,r0,3
18,A,0.7728467696311005,0.11787677409222612,0.10927645627667304,1,3,r0_3,r0,3
18,C,0.8988926411712922,0.05189176984108023,0.04921558898762668,1,3,r0_3,r0,3
19,A,0.7282666975440693,0.13697702847013807,0.134756273985793,1,3,r0_3,r0,3
19,C,0.8772326321289038,0.06216781646219375,0.060599551408902934,1,3,r0_3,r0,3
20,A,0.68005062935647,0.1558952405701716,0.16405413007335787,1,3,r0_3,r0,3
20,C,0.8521103062745768,0.07372179224891502,0.07416790147650736,1,3,r0_3,r0,3
21,A,0.6293962645027436,0.17357335179053748,0.1970303837067186,1,3,r0_3,r0,3
21,C,0.8234341375809067,0.08640250854008565,0.0901633538790082,1,3,r0_3,r0,3
22,A,0.5777269278192858,0.1889437529698075,0.2333293192109068,1,3,r0_3,r0,3
22,C,0.7912855409420742,0.09992900296652983,0.10878545609139531,1,3,r0_3,r0,3
23,A,0.52652299501365,0.2010843972933173,0.2723926076930328,1,3,r0_3,r0,3
23,C,0.7559529158660935,0.1138834608621615,0.13016362327174594,1,3,r0_3,r0,3
24,A,0.47714566399114416,0.20935013344668563,0.3135042025621699,1,3,r0_3,r0,3
24,C,0.7179412877136124,0.12772718169867453,0.15433153058771432,1,3,r0_3,r0,3
25,A,0.43070007767079843,0.2134469100262274,0.3558530123029745,1,3,r0_3,r0,3
25,C,0.6779549947974226,0.14083951204976178,0.1812054931528147,1,3,r0_3,r0,3
26,A,0.3879564823604461,0.21343426888193626,0.3986092487576174,1,3,r0_3,r0,3
