t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,11,sar_0.5,sar,0.5
0,C,0.9990000000000002,0.0010000000000000002,0,1,11,sar_0.5,sar,0.5
1,A,0.9984586482510586,0.0013111697380392548,2.3018201090176883e-4,1,11,sar_0.5,sar,0.5
1,C,0.9986820817767369,0.0011073246495021743,2.1059357376086046e-4,1,11,sar_0.5,sar,0.5
2,A,0.9978063050543466,0.0016662846716117587,5.274102740413137e-4,1,11,sar_0.5,sar,0.5
2,C,0.9983339443086603,0.0012225899984647233,4.4346569287610803e-4,1,11,sar_0.5,sar,0.5
3,A,0.9970524124962968,0.002049041528612131,8.9854597508989e-4,1,11,sar_0.5,sar,0.5
3,C,0.9979545734745889,0.0013452898507613513,7.001366746507704e-4,1,11,sar_0.5,sar,0.5
4,A,0.9961911627161493,0.002459861892833656,0.0013489753910170563,1,11,sar_0.5,sar,0.5
4,C,0.9975419793201343,0.0014758866368452688,9.82134043022882e-4,1,11,sar_0.5,sar,0.5
5,A,0.9952072427528099,0.0029076239197223675,0.0018851333274674937,1,11,sar_0.5,sar,0.5
5,C,0.9970934655776493,0.00161540395812002,0.001291130464230147,1,11,sar_0.5,sar,0.5
6,A,0.994081311277615,0.003403162250035217,0.002515526472348547,1,11,sar_0.5,sar,0.5
6,C,0.9966058547600474,0.0017651044354536523,0.0016290408044991212,1,11,sar_0.5,sar,0.5
7,A,0.9927924871378516,0.003956759955060641,0.0032507529070878957,1,11,sar_0.5,sar,0.5
7,C,0.9960756464990027,0.001926319284154343,0.0019980342168437345,1,11,sar_0.5,sar,0.5
8,A,0.9913187088013787,0.004577892407279113,0.004103398791342951,1,11,sar_0.5,sar,0.5
8,C,0.9954990463064123,0.00210040187196236,0.0024005518216276742,1,11,sar_0.5,sar,0.5
9,A,0.9896371815106632,0.005275354824859113,0.005087463664477671,1,11,sar_0.5,sar,0.5
9,C,0.9948720841461949,0.0022886873995781876,0.0028392284542275194,1,11,sar_0.5,sar,0.5
10,A,0.9877224157613259,0.0060582197421289305,0.006219364496545254,1,11,sar_0.5,sar,0.5
10,C,0.994190308787959,0.0024925988690719272,0.0033170923429696425,1,11,sar_0.5,sar,0.5
11,A,0.9855474531085101,0.0069355434179393495,0.007517003473550417,1,11,sar_0.5,sar,0.5
11,C,0.9934490296838303,0.002713574278133861,0.00383739603803594,1,11,sar_0.5,sar,0.5
12,A,0.9830825689541025,0.007916918057401292,0.009000512988495862,1,11,sar_0.5,sar,0.5
12,C,0.9926430936596173,0.0029531483700773386,0.004403757970305808,1,11,sar_0.5,sar,0.5
13,A,0.9802964314415564,0.009012019937914575,0.010691548620528523,1,11,sar_0.5,sar,0.5
13,C,0.9917670754773441,0.0032128925506984866,0.005020031971958429,1,11,sar_0.5,sar,0.5
14,A,0.9771550673726341,0.010230875607425374,0.012614057019941746,1,11,sar_0.5,sar,0.5
14,C,0.9908150693500888,0.0034944787550805502,0.0056904518948302785,1,11,sar_0.5,sar,0.5
15,A,0.9736226992318628,0.01158362244899647,0.014793678319141239,1,11,sar_0.5,sar,0.5
15,C,0.9897808055129665,0.0037996538611520083,0.006419540625881872,1,11,sar_0.5,sar,0.5
16,A,0.9696615151532371,0.013080372090846663,0.017258112755916752,1,11,sar_0.5,sar,0.5
16,C,0.9886575581453667,0.004130256741375929,0.007212185113256895,1,11,sar_0.5,sar,0.5
17,A,0.9652319152223575,0.014730974899998138,0.020037109877644472,1,11,sar_0.5,sar,0.5
17,C,0.9874381215964709,0.004488220675703491,0.008073657727825527,1,11,sar_0.5,sar,0.5
18,A,0.9602929186046452,0.01654471932100584,0.02316236207434783,1,11,sar_0.5,sar,0.5
18,C,0.9861147970201262,0.004875572003715369,0.00900963097615836,1,11,sar_0.5,sar,0.5
19,A,0.9548026962841505,0.01852996614123572,0.026667337574613526,1,11,sar_0.5,sar,0.5
19,C,0.984679380967638,0.0052944263204145895,0.010026192711947516,1,11,sar_0.5,sar,0.5
20,A,0.9487192508398277,0.02069367050124722,0.030587078658926573,1,11,sar_0.5,sar,0.5
20,C,0.9831231418612629,0.0057469841682267694,0.011129873970509626,1,11,sar_0.5,sar,0.5
21,A,0.9420011380454064,0.02304116209327242,0.03495769986132182,1,11,sar_0.5,sar,0.5
21,C,0.9814368908101525,0.006235510854094992,0.012327598335752846,1,11,sar_0.5,sar,0.5
22,A,0.9346083980512995,0.025575401841725024,0.03981620010697514,1,11,sar_0.5,sar,0.5
22,C,0.9796109064654306,0.00676233565635316,0.013626757878216371,1,11,sar_0.5,sar,0.5
23,A,0.9265036652302586,0.028296303171254405,0.04520003159848653,1,11,sar_0.5,sar,0.5
23,C,0.9776349169391764,0.00732983740733708,0.015035245653486571,1,11,sar_0.5,sar,0.5
24,A,0.917653758785514,0.031199844611446682,0.05114639660303852,1,11,sar_0.5,sar,0.5
24,C,0.9754980727076162,0.007940428503456907,0.01656149878892839,1,11,sar_0.5,sar,0.5
25,A,0.9080310099669459,0.034277840306721805,0.057691149726332526,1,11,sar_0.5,sar,0.5
25,C,0.9731890863121202,0.008596511929720527,0.01821440175815911,1,11,sar_0.5,sar,0.5
26,A,0.897614632427545,0.03751742855075375,0.06486793902170135,1,11,sar_0.5,sar,0.5
