t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,19,seed_3,seed,3
0,C,0.9990000000000002,0.0010000000000000002,0,1,19,seed_3,seed,3
1,A,0.9984733441994086,0.0012976519572500715,2.2900384334071893e-4,1,19,seed_3,seed,3
1,C,0.9986504217717703,0.0011361513302797822,2.13426897950222e-4,1,19,seed_3,seed,3
2,A,0.9978452861128155,0.0016331083011999232,5.216055859846797e-4,1,19,seed_3,seed,3
2,C,0.9982613555956231,0.0012834302400937497,4.552141642829999e-4,1,19,seed_3,seed,3
3,A,0.9971208253804883,0.001995136230867314,8.840383886446192e-4,1,19,seed_3,seed,3
3,C,0.9978307666284895,0.0014416850306535397,7.275483408576265e-4,1,19,seed_3,seed,3
4,A,0.9962945509171225,0.00238392376040045,0.0013215253224781501,1,19,seed_3,seed,3
4,C,0.9973553788207764,0.001611893514583168,0.0010327276646410757,1,19,seed_3,seed,3
5,A,0.9953534338907168,0.002806478165059616,0.0018400879442236327,1,19,seed_3,seed,3
5,C,0.9968309350156432,0.0017957541426990196,0.0013733108416597675,1,19,seed_3,seed,3
6,A,0.9942805593951628,0.003272055889695693,0.002447384715142147,1,19,seed_3,seed,3
6,C,0.9962524429379217,0.001995333301969867,0.0017522237601081789,1,19,seed_3,seed,3
7,A,0.9930570233783109,0.003790111052207151,0.003152865569482017,1,19,seed_3,seed,3
7,C,0.9956143252383388,0.002212877006074673,0.0021727977555884193,1,19,seed_3,seed,3
8,A,0.9916620627828322,0.004369937406372716,0.003967999810795363,1,19,seed_3,seed,3
8,C,0.9949103277633677,0.002450791850745392,0.0026388803858866405,1,19,seed_3,seed,3
9,A,0.9900735930888548,0.005020436329446767,0.004905970581697812,1,19,seed_3,seed,3
9,C,0.9941336626200183,0.0027115643206972132,0.0031547730592843192,1,19,seed_3,seed,3
10,A,0.9882677808755586,0.005750488783654415,0.005981730340786726,1,19,seed_3,seed,3
10,C,0.9932769217753489,0.002997794250682545,0.0037252839739682153,1,19,seed_3,seed,3
11,A,0.9862175007484943,0.006569608327294533,0.007212890924211953,1,19,seed_3,seed,3
11,C,0.9923316246219486,0.0033123469305046858,0.004356028447547415,1,19,seed_3,seed,3
12,A,0.9838954657493288,0.007486955220788802,0.008617579029882637,1,19,seed_3,seed,3
12,C,0.991289210691682,0.0036580299149709594,0.005052759393348059,1,19,seed_3,seed,3
13,A,0.9812731483288621,0.008511760628076424,0.010215091043061543,1,19,seed_3,seed,3
13,C,0.990140692230443,0.00403772056917308,0.005821587200383759,1,19,seed_3,seed,3
14,A,0.978315124163012,0.00965514248902021,0.01202973334796711,1,19,seed_3,seed,3
14,C,0.9888748502838589,0.004454944973817899,0.006670204742321417,1,19,seed_3,seed,3
15,A,0.9749867373277932,0.010927442534497105,0.014085820137710163,1,19,seed_3,seed,3
15,C,0.9874805829618784,0.004913098901138194,0.00760631813698286,1,19,seed_3,seed,3
16,A,0.9712482839042201,0.012339995852794479,0.01641172024298618,1,19,seed_3,seed,3
16,C,0.9859449803417148,0.005416057363410116,0.008638962294876883,1,19,seed_3,seed,3
17,A,0.9670621058785323,0.013902985562718014,0.01903490855874946,1,19,seed_3,seed,3
17,C,0.9842555511679313,0.005967493604146157,0.009776955227922435,1,19,seed_3,seed,3
18,A,0.9623867559069605,0.01562697248767002,0.02198627160536925,1,19,seed_3,seed,3
18,C,0.9823982251608034,0.006571464327733995,0.011030310511461012,1,19,seed_3,seed,3
19,A,0.9571798866059444,0.017521854022566535,0.025298259371489693,1,19,seed_3,seed,3
19,C,0.9803581549290387,0.00723214442046925,0.01240970065049339,1,19,seed_3,seed,3
20,A,0.9513955993530621,0.019597221056758887,0.029007179590179323,1,19,seed_3,seed,3
20,C,0.9781185767555756,0.007954123771789254,0.013927299472637336,1,19,seed_3,seed,3
21,A,0.9449894769507388,0.021860862661766605,0.03314966038749507,1,19,seed_3,seed,3
21,C,0.975662312429289,0.008741947946155279,0.01559573962455656,1,19,seed_3,seed,3
22,A,0.93791670952187145,0.0243189716939471,0.03776431878418185,1,19,seed_3,seed,3
22,C,0.9729709122672284,0.009600329833733016,0.017428757899038284,1,19,seed_3,seed,3
23,A,0.9301341644427934,0.026975392436379825,0.042890443120826495,1,19,seed_3,seed,3
23,C,0.9700251092324585,0.010533986235942363,0.01944090453159845,1,19,seed_3,seed,3
24,A,0.9216014159070262,0.029830758240120905,0.04856782585285314,1,19,seed_3,seed,3
24,C,0.9668046882981507,0.011547590829987025,0.021647720871862952,1,19,seed_3,seed,3
25,A,0.9122814982657727,0.03288192774623416,0.05483657398799318,1,19,seed_3,seed,3
25,C,0.9632883229394086,0.012645754956459454,0.024065922104131998,1,19,seed_3,seed,3
26,A,0.9021435691961585,0.03612144558671558,0.061734985217125816,1,19,seed_3,seed,3
26,C,0.9594544192409119,0.013832768787130162,0.02671281197195761,1,19,seed_3,seed,3
27,A,0.891165139931361,0.0395377256024725,0.06929713446616703,1,19,seed_3,seed,3
27,C,0.9552823336965369,0.015112304619747585,0.029605361683716233,1,19,seed_3,seed,3
28,A,0.8793276828640035,0.04311259826636657,0.07755971886963066,1,19,seed_3,seed,3
28,C,0.9507480643317863,0.01648815155675231,0.03276378411146103,1,19,seed_3,seed,3
29,A,0.8666265119523536,0.04682225210548746,0.08655123594215795,1,19,seed_3,seed,3
29,C,0.9458297725640107,0.01796295979593531,0.036207267640053394,1,19,seed_3,seed,3
30,A,0.8530682706436978,0.05063558272909708,0.09629614662720443,1,19,seed_3,seed,3
30,C,0.9405049546489557,0.01953863162700563,0.03995641372404008,1,19,seed_3,seed,3
31,A,0.8386716193526323,0.05451736531928752,0.10681101532808004,1,19,seed_3,seed,3
31,C,0.9347531958617868,0.021215912920126295,0.04403089121808708,1,19,seed_3,seed,3
32,A,0.8234667661551106,0.05842840227338522,0.11810483157150342,1,19,seed_3,seed,3
32,C,0.9285559810431424,0.022994331276536596,0.04844968768032185,1,19,seed_3,seed,3
