t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,20,vax_A_0.2,vax_A,0.2
0,C,0.9990000000000002,0.0010000000000000002,0,1,20,vax_A_0.2,vax_A,0.2
1,A,0.9985094756505583,0.001264564473867457,2.2595987557371284e-4,1,20,vax_A_0.2,vax_A,0.2
1,C,0.9987267611336758,0.0010665593754879317,2.0667949083568962e-4,1,20,vax_A_0.2,vax_A,0.2
2,A,0.9979441708752372,0.0015487002928382468,5.071288319234042e-4,1,20,vax_A_0.2,vax_A,0.2
2,C,0.9984429030516507,0.0011306449329545763,4.264520153943053e-4,1,20,vax_A_0.2,vax_A,0.2
3,A,0.9973166925607971,0.001837572875949726,8.457345632519568e-4,1,20,vax_A_0.2,vax_A,0.2
3,C,0.9981502575362642,0.0011910594136197872,6.586830501158959e-4,1,20,vax_A_0.2,vax_A,0.2
4,A,0.9966299185472923,0.0021278440101776914,0.0012422374425308314,1,20,vax_A_0.2,vax_A,0.2
4,C,0.9978496564849402,0.0012477324191986232,9.026110958616642e-4,1,20,vax_A_0.2,vax_A,0.2
5,A,0.995880014980633,0.002422776722365112,0.0016972082970024538,1,20,vax_A_0.2,vax_A,0.2
5,C,0.9975412441782038,0.001301216346111763,0.0011575394756830762,1,20,vax_A_0.2,vax_A,0.2
6,A,0.9950604512395325,0.0027274475258906705,0.0022121012345767666,1,20,vax_A_0.2,vax_A,0.2
6,C,0.9972248211928052,0.0013522695998763117,0.0014229092073185035,1,20,vax_A_0.2,vax_A,0.2
7,A,0.9941641610276534,0.003046554773074199,0.002789284199272244,1,20,vax_A_0.2,vax_A,0.2
7,C,0.996900049061557,0.0014016337269422132,0.0016983172115018234,1,20,vax_A_0.2,vax_A,0.2
8,A,0.9931838668082966,0.0033840769490420543,0.003432056242661976,1,20,vax_A_0.2,vax_A,0.2
8,C,0.9965665200462431,0.0014499899556226744,0.001983489998133531,1,20,vax_A_0.2,vax_A,0.2
9,A,0.9921117129169726,0.0037432886301631127,0.004144998452865081,1,20,vax_A_0.2,vax_A,0.2
9,C,0.996223774622389,0.0014979438772756105,0.002278281500335876,1,20,vax_A_0.2,vax_A,0.2
10,A,0.9909411890906928,0.004126354636335533,0.004932456272971289,1,20,vax_A_0.2,vax_A,0.2
10,C,0.9958714392920747,0.001545896025034511,0.002582664682890915,1,20,vax_A_0.2,vax_A,0.2
11,A,0.9896658163685552,0.00453510997952052,0.005799073651924298,1,20,vax_A_0.2,vax_A,0.2
11,C,0.9955091563820708,0.0015941667105175146,0.0028966769074122985,1,20,vax_A_0.2,vax_A,0.2
12,A,0.9882797739825869,0.004971012391391788,0.006749213626020429,1,20,vax_A_0.2,vax_A,0.2
12,C,0.9951366170744754,0.0016429898609171944,0.003220393064605859,1,20,vax_A_0.2,vax_A,0.2
13,A,0.9867746816379931,0.005436018176144745,0.007789300185862293,1,20,vax_A_0.2,vax_A,0.2
13,C,0.994753389495813,0.0016926562579393446,0.0035539542462475235,1,20,vax_A_0.2,vax_A,0.2
14,A,0.9851427889978113,0.005931696732724969,0.00892551426946359,1,20,vax_A_0.2,vax_A,0.2
14,C,0.9943590970841609,0.0017433558415507564,0.00389754707428806,1,20,vax_A_0.2,vax_A,0.2
15,A,0.9833764366627258,0.006459444055418489,0.01016411928185555,1,20,vax_A_0.2,vax_A,0.2
15,C,0.9939533856586966,0.0017952224212033595,0.004251391920100669,1,20,vax_A_0.2,vax_A,0.2
16,A,0.9814677914633011,0.007020588207840454,0.011511620328858423,1,20,vax_A_0.2,vax_A,0.2
16,C,0.9935359048921139,0.0018483612563307255,0.004615733851555403,1,20,vax_A_0.2,vax_A,0.2
17,A,0.9794087898176301,0.007616409177902689,0.012974801004467861,1,20,vax_A_0.2,vax_A,0.2
17,C,0.9931063014355335,0.0019028613371568938,0.004990837227308443,1,20,vax_A_0.2,vax_A,0.2
18,A,0.9771911674884999,0.008248121733122787,0.014560710778377978,1,20,vax_A_0.2,vax_A,0.2
18,C,0.9926642171433075,0.001958800194022709,0.0053769826626693515,1,20,vax_A_0.2,vax_A,0.2
19,A,0.9748065102679382,0.008916849434858794,0.016276640297202376,1,20,vax_A_0.2,vax_A,0.2
19,C,0.9922092886274796,0.0020162462852093806,0.005774465087311859,1,20,vax_A_0.2,vax_A,0.2
20,A,0.9722463063036977,0.009623598562921352,0.01813009513338192,1,20,vax_A_0.2,vax_A,0.2
20,C,0.9917411468803479,0.0020752608513925903,0.006183592268259731,1,20,vax_A_0.2,vax_A,0.2
21,A,0.9695020000503836,0.010369232033208747,0.020128767916407896,1,20,vax_A_0.2,vax_A,0.2
21,C,0.99125941681953,0.002135899567176548,0.006604683613294569,1,20,vax_A_0.2,vax_A,0.2
22,A,0.9665650518393651,0.01115444077768276,0.022280507382952498,1,20,vax_A_0.2,vax_A,0.2
22,C,0.9907637168422696,0.002198213887472025,0.007038069270260684,1,20,vax_A_0.2,vax_A,0.2
23,A,0.9634269951864977,0.011979734037104357,0.024593270776397513,1,20,vax_A_0.2,vax_A,0.2
23,C,0.990253659211148,0.0022622523601937877,0.007484088428657992,1,20,vax_A_0.2,vax_A,0.2
24,A,0.9600795122402671,0.01284539166680432,0.02707509609292828,1,20,vax_A_0.2,vax_A,0.2
24,C,0.989728849332111,0.0023280609619635052,0.007943089705924411,1,20,vax_A_0.2,vax_A,0.2
25,A,0.9565145259255096,0.013751395426422048,0.02973407864806868,1,20,vax_A_0.2,vax_A,0.2
25,C,0.9891888845445048,0.0023956829406180115,0.008415432514876371,1,20,vax_A_0.2,vax_A,0.2
26,A,0.9527243122308395,0.014697410952171096,0.032578276816989125,1,20,vax_A_0.2,vax_A,0.2
26,C,0.988633355195061,0.002465159894070178,0.008901484910868368,1,20,vax_A_0.2,vax_A,0.2
27,A,0.9487015900347994,0.015682776361099195,0.035615633604101395,1,20,vax_A_0.2,vax_A,0.2
27,C,0.9880618457701995,0.002536532131990083,0.0094016220978097,1,20,vax_A_0.2,vax_A,0.2
28,A,0.9444396204754086,0.016706462836858563,0.03885391668773375,1,20,vax_A_0.2,vax_A,0.2
28,C,0.9874739350715466,0.0026098382593955916,0.00991622666906045,1,20,vax_A_0.2,vax_A,0.2
29,A,0.9399323182170741,0.017767031185128186,0.042300650597798584,1,20,vax_A_0.2,vax_A,0.2
29,C,0.9868691963298151,0.0026851148194320545,0.010445688850750864,1,20,vax_A_0.2,vax_A,0.2
30,A,0.9351743760251571,0.018862593668219817,0.04596303030662325,1,20,vax_A_0.2,vax_A,0.2
30,C,0.9862471976618298,0.002762396164142024,0.01099040617402754,1,20,vax_A_0.2,vax_A,0.2
31,A,0.9301613876464708,0.019990785002498845,0.04984782735103034,1,20,vax_A_0.2,vax_A,0.2
31,C,0.9856075027896835,0.0028417143108767674,0.011550782899440523,1,20,vax_A_0.2,vax_A,0.2
32,A,0.924889971746104,0.021148738086309838,0.053961290167585475,1,20,vax_A_0.2,vax_A,0.2
32,C,0.9849496718923142,0.0029230986923692486,0.012127229415315494,1,20,vax_A_0.2,vax_A,0.2
33,A,0.919357889356269,0.02233306514764558,0.05830904549608584,1,20,vax_A_0.2,vax_A,0.2
33,C,0.9842732624771452,0.00300657582961627,0.012720161693237322,1,20,vax_A_0.2,vax_A,0.2
34,A,0.9135641608174409,0.023539844587872685,0.06289599459468674,1,20,vax_A_0.2,vax_A,0.2
34,C,0.9835778303382957,0.00309216895741194,0.013330000704293332,1,20,vax_A_0.2,vax_A,0.2
35,A,0.9075091984552612,0.024764612543410777,0.06772618900132814,1,20,vax_A_0.2,vax_A,0.2
35,C,0.9828629307645512,0.003179897580220768,0.013957171655227597,1,20,vax_A_0.2,vax_A,0.2
36,A,0.9011949068768883,0.02600236942193321,0.0728027237011786,1,20,vax_A_0.2,vax_A,0.2
36,C,0.9821281197233714,0.0032697770777464804,0.01460210319888172,1,20,vax_A_0.2,vax_A,0.2
37,A,0.8946247536276529,0.027247599572207223,0.07812764680014056,1,20,vax_A_0.2,vax_A,0.2
37,C,0.9813729550066314,0.0033618183493890476,0.015265226643979647,1,20,vax_A_0.2,vax_A,0.2
38,A,0.8878038369462897,0.02849429964457002,0.0837018634091399,1,20,vax_A_0.2,vax_A,0.2
38,C,0.9805969975362625,0.003456027419500088,0.01594697504423797,1,20,vax_A_0.2,vax_A,0.2
39,A,0.8807389485933976,0.029736017100939916,0.08952503430566218,1,20,vax_A_0.2,vax_A,0.2
39,C,0.9797998128482127,0.003552405004531896,0.016647782147253716,1,20,vax_A_0.2,vax_A,0.2
40,A,0.8734386119292055,0.030965902885726503,0.09559548518506855,1,20,vax_A_0.2,vax_A,0.2
40,C,0.9789809726458097,0.003650946093033194,0.017368081261156704,1,20,vax_A_0.2,vax_A,0.2
41,A,0.8659130860890142,0.032176778983903434,0.10191013492708276,1,20,vax_A_0.2,vax_A,0.2
41,C,0.9781400563614122,0.0037516395659969227,0.018108304072591536,1,20,vax_A_0.2,vax_A,0.2
42,A,0.8581743403195378,0.03336121860420369,0.1084644410762591,1,20,vax_A_0.2,vax_A,0.2
42,C,0.9772766527428539,0.0038544678516635703,0.018868879405479995,1,20,vax_A_0.2,vax_A,0.2
43,A,0.8502360031442852,0.034511636828352475,0.11525236002736278,1,20,vax_A_0.2,vax_A,0.2
43,C,0.9763903614901814,0.003959406605581161,0.0196502319042393,1,20,vax_A_0.2,vax_A,0.2
44,A,0.8421132852598429,0.035620390704605084,0.12226632403555161,1,20,vax_A_0.2,vax_A,0.2
44,C,0.9754807949331427,0.004066424421459647,0.020452780645396847,1,20,vax_A_0.2,vax_A,0.2
45,A,0.8338228730995697,0.03667988762029165,0.12949723928013865,1,20,vax_A_0.2,vax_A,0.2
45,C,0.9745475797185601,0.0041754825863983365,0.021276937695041548,1,20,vax_A_0.2,vax_A,0.2
46,A,0.8253827930215349,0.037682699543850964,0.13693450743461386,1,20,vax_A_0.2,vax_A,0.2
46,C,0.9735903584828178,0.004286534889869529,0.022123106627311845,1,20,vax_A_0.2,vax_A,0.2
47,A,0.8168122493669779,0.03862167979527235,0.14456607083774994,1,20,vax_A_0.2,vax_A,0.2
47,C,0.9726087914983412,0.0043995274889545265,0.022991681012704625,1,20,vax_A_0.2,vax_A,0.2
48,A,0.8081314404277242,0.03949007897454417,0.1523784805977324,1,20,vax_A_0.2,vax_A,0.2
48,C,0.9716025582861333,0.004514398830027892,0.023883042883840324,1,20,vax_A_0.2,vax_A,0.2
49,A,0.7993613558045561,0.04028165702609886,0.16035698716934563,1,20,vax_A_0.2,vax_A,0.2
49,C,0.9705713591825207,0.00463107962820549,0.02479756118927327,1,20,vax_A_0.2,vax_A,0.2
50,A,0.7905235592041773,0.04099078816432377,0.16848565263149792,1,20,vax_A_0.2,vax_A,0.2
50,C,0.9695149168423192,0.004749492906843825,0.025735590250835782,1,20,vax_A_0.2,vax_A,0.2
51,A,0.7816399608197453,0.04161255592684247,0.1767474832534129,1,20,vax_A_0.2,vax_A,0.2
51,C,0.9684329776707921,0.004869554095962227,0.026697468233247496,1,20,vax_A_0.2,vax_A,0.2
52,A,0.772732585077515,0.042142835024833625,0.1851245798976524,1,20,vax_A_0.2,vax_A,0.2
52,C,0.9673253131719023,0.004991171187955012,0.02768351564014308,1,20,vax_A_0.2,vax_A,0.2
53,A,0.7638233392791324,0.04257835751486923,0.1935983032059979,1,20,vax_A_0.2,vax_A,0.2
53,C,0.9661917212068676,0.005114244946393629,0.028694033846738107,1,20,vax_A_0.2,vax_A,0.2
54,A,0.754933788237613,0.04291676154087887,0.20214945022150807,1,20,vax_A_0.2,vax_A,0.2
54,C,0.965032027157737,0.005238669163110575,0.02972930367915292,1,20,vax_A_0.2,vax_A,0.2
55,A,0.7460849395888611,0.043156621507185,0.2107584389039545,1,20,vax_A_0.2,vax_A,0.2
55,C,0.9638460849924577,0.005364330958146437,0.03078958404939612,1,20,vax_A_0.2,vax_A,0.2
56,A,0.7372970441803934,0.04329745902439974,0.21940549679520638,1,20,vax_A_0.2,vax_A,0.2
56,C,0.9626337782294202,0.005491111116514226,0.03187511065406567,1,20,vax_A_0.2,vax_A,0.2
57,A,0.7285894154379147,0.04333973459735857,0.22807084996472635,1,20,vax_A_0.2,vax_A,0.2
57,C,0.9613950208012924,0.005618884455135833,0.032986094743572565,1,20,vax_A_0.2,vax_A,0.2
58,A,0.7199802707899288,0.04328482079378535,0.23673490841628583,1,20,vax_A_0.2,vax_A,0.2
58,C,0.9601297578197338,0.005747520213025255,0.03412272196724058,1,20,vax_A_0.2,vax_A,0.2
59,A,0.7114865973174017,0.04313495830970076,0.24537844437289807,1,20,vax_A_0.2,vax_A,0.2
59,C,0.958837966243865,0.005876882457930275,0.0352851512982033,1,20,vax_A_0.2,vax_A,0.2
60,A,0.7031240429771413,0.04289319681205215,0.2539827602108066,1,20,vax_A_0.2,vax_A,0.2
60,C,0.9575196554562249,0.0060068305030607505,0.03647351404071428,1,20,vax_A_0.2,vax_A,0.2
61,A,0.6949068339946708,0.042563322777934745,0.262529843227394,1,20,vax_A_0.2,vax_A,0.2
61,C,0.956174867750605,0.006137219328085738,0.03768791292130882,1,20,vax_A_0.2,vax_A,0.2
62,A,0.6868477182585461,0.042149776850121154,0.2710025048913325,1,20,vax_A_0.2,vax_A,0.2
62,C,0.9548036787365959,0.00626789999924533,0.03892842126415892,1,20,vax_A_0.2,vax_A,0.2
63,A,0.6789579338152432,0.041657563442555536,0.2793845027422013,1,20,vax_A_0.2,vax_A,0.2
63,C,0.9534061976657653,0.006398720084231078,0.04019508225000222,1,20,vax_A_0.2,vax_A,0.2
64,A,0.671247200958801,0.04109215537745333,0.287660643663746,1,20,vax_A_0.2,vax_A,0.2
64,C,0.9519825676843531,0.006529524058415331,0.04148790825723077,1,20,vax_A_0.2,vax_A,0.2
65,A,0.6637237359577502,0.04045939623210197,0.2958168678101474,1,20,vax_A_0.2,vax_A,0.2
65,C,0.950532966016884,0.006660153699973422,0.0428068802831418,1,20,vax_A_0.2,vax_A,0.2
66,A,0.6563942841237076,0.039765402891359346,0.30384031298493325,1,20,vax_A_0.2,vax_A,0.2
66,C,0.9490576040846673,0.006790448472370298,0.044151947442963496,1,20,vax_A_0.2,vax_A,0.2
67,A,0.6492641696812118,0.03901647057354472,0.31171935974524345,1,20,vax_A_0.2,vax_A,0.2
67,C,0.947556727562402,0.006920245893545509,0.045523026544050556,1,20,vax_A_0.2,vax_A,0.2
68,A,0.6423373597752351,0.038218982298958294,0.3194436579258065,1,20,vax_A_0.2,vax_A,0.2
68,C,0.9460306163754925,0.007049381891914419,0.04692000173259265,1,20,vax_A_0.2,vax_A,0.2
69,A,0.6356165399675368,0.03737932439656214,0.32700413563589964,1,20,vax_A_0.2,vax_A,0.2
69,C,0.944479584639755,0.007177691149980125,0.04834272421026436,1,20,vax_A_0.2,vax_A,0.2
70,A,0.6291031983570878,0.0365038095513449,0.33439299209156675,1,20,vax_A_0.2,vax_A,0.2
70,C,0.9429039805445294,0.007305007436994795,0.04979101201847444,1,20,vax_A_0.2,vax_A,0.2
71,A,0.6227977162232452,0.035598607923679235,0.34160367585307616,1,20,vax_A_0.2,vax_A,0.2
71,C,0.941304186179392,0.007431163932415934,0.05126464988819218,1,20,vax_A_0.2,vax_A,0.2
72,A,0.6166994626977217,0.034669687129341,0.3486308501729371,1,20,vax_A_0.2,vax_A,0.2
72,C,0.9396806173040344,0.007555993542248397,0.05276338915371774,1,20,vax_A_0.2,vax_A,0.2
73,A,0.6108068914169892,0.03372276133680306,0.35547034724620774,1,20,vax_A_0.2,vax_A,0.2
73,C,0.9380337230602988,0.007679329210505737,0.05428694772919642,1,20,vax_A_0.2,vax_A,0.2
74,A,0.6051176373256187,0.03276324948342607,0.36211911319095547,1,20,vax_A_0.2,vax_A,0.2
74,C,0.936363985624792,0.007801004228079517,0.055835010147128446,1,20,vax_A_0.2,vax_A,0.2
75,A,0.5996286120921057,0.03179624234397116,0.3685751455639226,1,20,vax_A_0.2,vax_A,0.2
75,C,0.9346719198001908,0.007920852541228953,0.05740722765857785,1,20,vax_A_0.2,vax_A,0.2
76,A,0.5943360968509497,0.03082647800685504,0.374837425142195,1,20,vax_A_0.2,vax_A,0.2
76,C,0.9329580725430628,0.008038709061723662,0.0590032183952139,1,20,vax_A_0.2,vax_A,0.2
77,A,0.5892358312239818,0.029858325181423163,0.38090584359459506,1,20,vax_A_0.2,vax_A,0.2
77,C,0.9312230224258893,0.008154409980415054,0.060622567593695734,1,20,vax_A_0.2,vax_A,0.2
78,A,0.5843230978066322,0.028895773653383004,0.3867811285399848,1,20,vax_A_0.2,vax_A,0.2
78,C,0.9294673790310523,0.008267793085703528,0.062264827883243286,1,20,vax_A_0.2,vax_A,0.2
79,A,0.579592801520763,0.02794243113155802,0.3924647673476789,1,20,vax_A_0.2,vax_A,0.2
79,C,0.9276917822745027,0.008378698088012794,0.0639295196374846,1,20,vax_A_0.2,vax_A,0.2
80,A,0.5750395434266323,0.027001525692763727,0.39795893088060397,1,20,vax_A_0.2,vax_A,0.2
80,C,0.9258969016571397,0.008486966950996436,0.06561613139186409,1,20,vax_A_0.2,vax_A,0.2
81,A,0.5706576887528556,0.026075913025989716,0.40326639822115434,1,20,vax_A_0.2,vax_A,0.2
81,C,0.9240834354422068,0.00859244422979624,0.06732412032799606,1,20,vax_A_0.2,vax_A,0.2
82,A,0.5664414290464594,0.025168087693274343,0.40839048326026617,1,20,vax_A_0.2,vax_A,0.2
82,C,0.922252109757365,0.008694977416264507,0.06905291282637065,1,20,vax_A_0.2,vax_A,0.2
83,A,0.5623848384637956,0.024280197659072755,0.4133349638771324,1,20,vax_A_0.2,vax_A,0.2
83,C,0.9204036776205674,0.008794417290667529,0.07080190508876494,1,20,vax_A_0.2,vax_A,0.2
84,A,0.5584819243175518,0.023414061389783494,0.4181040142926634,1,20,vax_A_0.2,vax_A,0.2
84,C,0.918538917889417,0.008890618279009924,0.07257046383157367,1,20,vax_A_0.2,vax_A,0.2
85,A,0.5547266720694812,0.02257118688448123,0.4227021410460373,1,20,vax_A_0.2,vax_A,0.2
85,C,0.9166586341341605,0.00898343881477041,0.07435792705107089,1,20,vax_A_0.2,vax_A,0.2
