t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,22,vax_C_0.3,vax_C,0.3
0,C,0.9990000000000002,0.0010000000000000002,0,1,22,vax_C_0.3,vax_C,0.3
1,A,0.9985216275473666,0.001253658850154298,2.2471360247962928e-4,1,22,vax_C_0.3,vax_C,0.3
1,C,0.9986240626090124,0.0011602346627125645,2.1570272827666593e-4,1,22,vax_C_0.3,vax_C,0.3
2,A,0.9979499545769667,0.0015459427326463087,5.041026903870665e-4,1,22,vax_C_0.3,vax_C,0.3
2,C,0.9981931387896807,0.0013413378929640117,4.655233173545731e-4,1,22,vax_C_0.3,vax_C,0.3
3,A,0.99727932966889,0.0018750392150600783,8.456311160498667e-4,1,22,vax_C_0.3,vax_C,0.3
3,C,0.9977007027655977,0.0015454645750513944,7.538326593503171e-4,1,22,vax_C_0.3,vax_C,0.3
4,A,0.9964995007437322,0.0022436298834442618,0.001256869372824464,1,22,vax_C_0.3,vax_C,0.3
4,C,0.9971388721948438,0.0017756017563467458,0.0010855260488099306,1,22,vax_C_0.3,vax_C,0.3
5,A,0.9955951407708288,0.002658309606705992,0.0017465496224647174,1,22,vax_C_0.3,vax_C,0.3
5,C,0.9964980964063425,0.002035582787529147,0.0014663208061279044,1,22,vax_C_0.3,vax_C,0.3
6,A,0.9945480090170533,0.0031274951212829465,0.0023244958616638364,1,22,vax_C_0.3,vax_C,0.3
6,C,0.9957678660224457,0.002329675335206114,0.0019024586423486115,1,22,vax_C_0.3,vax_C,0.3
7,A,0.9933358470717928,0.0036613319608060557,0.0030028209674014404,1,22,vax_C_0.3,vax_C,0.3
7,C,0.994935687677954,0.0026629261496126963,0.0024013861724335424,1,22,vax_C_0.3,vax_C,0.3
8,A,0.991934516290715,0.004270395975527257,0.00379508773375788,1,22,vax_C_0.3,vax_C,0.3
8,C,0.9939880627703325,0.003040720048880796,0.002971217180787789,1,22,vax_C_0.3,vax_C,0.3
9,A,0.9903171417243406,0.00496599215267338,0.004716866122985915,1,22,vax_C_0.3,vax_C,0.3
9,C,0.9929099126979318,0.0034689884814989233,0.0036210988205697308,1,22,vax_C_0.3,vax_C,0.3
10,A,0.9884504975351274,0.00576162425999368,0.005787878204877994,1,22,vax_C_0.3,vax_C,0.3
10,C,0.9916824977609222,0.003955011147285845,0.004362491091791515,1,22,vax_C_0.3,vax_C,0.3
11,A,0.9863000099484632,0.006670739466358767,0.007029250585178789,1,22,vax_C_0.3,vax_C,0.3
11,C,0.9902861606696249,0.0045062888301322995,0.005207550500241282,1,22,vax_C_0.3,vax_C,0.3
12,A,0.9838273179789412,0.0077078917115417445,0.008464790309516242,1,22,vax_C_0.3,vax_C,0.3
12,C,0.9886989622453043,0.0051310840168823264,0.006169953737814222,1,22,vax_C_0.3,vax_C,0.3
13,A,0.9809888329207785,0.008889197549912135,0.010121969529309115,1,22,vax_C_0.3,vax_C,0.3
13,C,0.9868958040055971,0.005838716644192294,0.007265479350209603,1,22,vax_C_0.3,vax_C,0.3
14,A,0.9777367621501636,0.010231850476104877,0.01203138737373197,1,22,vax_C_0.3,vax_C,0.3
14,C,0.984848929794056,0.0066393347981904645,0.00851173540775392,1,22,vax_C_0.3,vax_C,0.3
15,A,0.9740190074662548,0.011754011503530079,0.014226981030214508,1,22,vax_C_0.3,vax_C,0.3
15,C,0.9825277508249105,0.007543923083430057,0.009928326091658874,1,22,vax_C_0.3,vax_C,0.3
16,A,0.9697781194600048,0.013474926859074327,0.016746953680920863,1,22,vax_C_0.3,vax_C,0.3
16,C,0.9798980088649166,0.008564510957709678,0.011537480177373617,1,22,vax_C_0.3,vax_C,0.3
17,A,0.9649526686189744,0.015414370156936634,0.019632961224088794,1,22,vax_C_0.3,vax_C,0.3
17,C,0.9769224738015689,0.009713891136077105,0.013363635062354846,1,22,vax_C_0.3,vax_C,0.3
18,A,0.9594771845062676,0.017592318814045164,0.02293049667968615,1,22,vax_C_0.3,vax_C,0.3
18,C,0.9735606200156066,0.01100560812516377,0.015433771859229067,1,22,vax_C_0.3,vax_C,0.3
19,A,0.9532824318836876,0.020028446942562516,0.026689121173750763,1,22,vax_C_0.3,vax_C,0.3
19,C,0.9697684127902038,0.012453878774245686,0.017777708435549763,1,22,vax_C_0.3,vax_C,0.3
20,A,0.9462963410817768,0.02274136185583921,0.03096229706238321,1,22,vax_C_0.3,vax_C,0.3
20,C,0.965498437011987,0.014073370297930049,0.02042819269008355,1,22,vax_C_0.3,vax_C,0.3
21,A,0.9384453107176451,0.025747650179231033,0.03580703910312359,1,22,vax_C_0.3,vax_C,0.3
21,C,0.960700168751903,0.0158788940579552,0.023420937190141322,1,22,vax_C_0.3,vax_C,0.3
22,A,0.9296559025995481,0.029060721209994537,0.04128337619045787,1,22,vax_C_0.3,vax_C,0.3
22,C,0.955320405382665,0.017884999074250046,0.026794595543085553,1,22,vax_C_0.3,vax_C,0.3
23,A,0.9198566955207351,0.0326898586915351,0.047453445787729635,1,22,vax_C_0.3,vax_C,0.3
23,C,0.9493040101276436,0.020105537812956632,0.030590452059400166,1,22,vax_C_0.3,vax_C,0.3
24,A,0.9089811432034514,0.036637981790558785,0.05438087500599012,1,22,vax_C_0.3,vax_C,0.3
24,C,0.9425944119403598,0.022552900136176366,0.0348526879234641,1,22,vax_C_0.3,vax_C,0.3
25,A,0.8969709637543449,0.04089985109185594,0.06212918515380034,1,22,vax_C_0.3,vax_C,0.3
25,C,0.9351349609901732,0.02523713639382414,0.03962790261600197,1,22,vax_C_0.3,vax_C,0.3
26,A,0.8837783211921805,0.04546170952774894,0.07075996928006931,1,22,vax_C_0.3,vax_C,0.3
26,C,0.9268704504905603,0.028165420139272465,0.04496412937016748,1,22,vax_C_0.3,vax_C,0.3
27,A,0.8693697677279058,0.050299072167832075,0.08033116010426271,1,22,vax_C_0.3,vax_C,0.3
27,C,0.9177486482019678,0.03134088882528625,0.05091046297274668,1,22,vax_C_0.3,vax_C,0.3
28,A,0.8537310528022536,0.05537446072934396,0.09089448646840292,1,22,vax_C_0.3,vax_C,0.3
28,C,0.9077225092239898,0.034761189382850735,0.057516301393159344,1,22,vax_C_0.3,vax_C,0.3
29,A,0.8368712138485666,0.06063625154105094,0.1024925346103822,1,22,vax_C_0.3,vax_C,0.3
29,C,0.896752793518573,0.03841722257886633,0.0648299839025606,1,22,vax_C_0.3,vax_C,0.3
30,A,0.8188241818439089,0.06601956403726407,0.11515625411882688,1,22,vax_C_0.3,vax_C,0.3
30,C,0.8848104407618196,0.04229239625180806,0.07289716298637171,1,22,vax_C_0.3,vax_C,0.3
31,A,0.7996507056843899,0.07144678556612648,0.12890250874948353,1,22,vax_C_0.3,vax_C,0.3
31,C,0.87187898071338,0.04636168751407465,0.08175933177254457,1,22,vax_C_0.3,vax_C,0.3
32,A,0.7794396616558259,0.07682871950752453,0.14373161883664864,1,22,vax_C_0.3,vax_C,0.3
32,C,0.8579570348086677,0.05059080449317168,0.09145216069816044,1,22,vax_C_0.3,vax_C,0.3
33,A,0.7583082540782023,0.08206696709599307,0.15962477882580448,1,22,vax_C_0.3,vax_C,0.3
33,C,0.843060983906439,0.05493562144756937,0.10200339464599217,1,22,vax_C_0.3,vax_C,0.3
34,A,0.7363997737011799,0.08705761408463059,0.1765426122141895,1,22,vax_C_0.3,vax_C,0.3
34,C,0.8272269258550841,0.05934226750712646,0.11343080663778912,1,22,vax_C_0.3,vax_C,0.3
35,A,0.7138794944311015,0.09169561736798414,0.19442488820091336,1,22,vax_C_0.3,vax_C,0.3
35,C,0.8105114657726634,0.06374802121064817,0.12574051301668931,1,22,vax_C_0.3,vax_C,0.3
36,A,0.6909295540100447,0.09587956193050985,0.21319088405944503,1,22,vax_C_0.3,vax_C,0.3
36,C,0.792991814443254,0.06808276404699279,0.1389254215097544,1,22,vax_C_0.3,vax_C,0.3
37,A,0.6677428969549437,0.09951664564605459,0.23274045739900123,1,22,vax_C_0.3,vax_C,0.3
37,C,0.7747649503493597,0.07227111181947067,0.15296393783117004,1,22,vax_C_0.3,vax_C,0.3
38,A,0.6445166119463995,0.10252733837733854,0.2529560496762615,1,22,vax_C_0.3,vax_C,0.3
38,C,0.7559460221916038,0.07623495062586055,0.16781902718253602,1,22,vax_C_0.3,vax_C,0.3
39,A,0.6214448412126269,0.10484937895578685,0.2737057798315858,1,22,vax_C_0.3,vax_C,0.3
39,C,0.7366654756072446,0.07989656009549168,0.1834379642972653,1,22,vax_C_0.3,vax_C,0.3
40,A,0.5987120457399536,0.10644065002198409,0.29484730423806094,1,22,vax_C_0.3,vax_C,0.3
40,C,0.717065176576507,0.08318203064025587,0.1997527927832368,1,22,vax_C_0.3,vax_C,0.3
41,A,0.5764872425421541,0.1072806994009365,0.31623205805690924,1,22,vax_C_0.3,vax_C,0.3
41,C,0.6972938780116741,0.08602466449211171,0.2166814574962158,1,22,vax_C_0.3,vax_C,0.3
42,A,0.5549195406301644,0.10737086616526673,0.33770959320456906,1,22,vax_C_0.3,vax_C,0.3
42,C,0.6775023878349191,0.08836805622810225,0.23412955593697882,1,22,vax_C_0.3,vax_C,0.3
43,A,0.5341350815175543,0.10673310960695527,0.3591318088754902,1,22,vax_C_0.3,vax_C,0.3
43,C,0.65783874442084,0.09016861021190432,0.251992645367256,1,22,vax_C_0.3,vax_C,0.3
44,A,0.5142354012066883,0.10540773276441776,0.38035686602889374,1,22,vax_C_0.3,vax_C,0.3
44,C,0.6384436968245963,0.09139730935490288,0.27015899382050224,1,22,vax_C_0.3,vax_C,0.3
45,A,0.4952971565252811,0.1034502716275791,0.40125257184714047,1,22,vax_C_0.3,vax_C,0.3
45,C,0.6194467796081053,0.09204061254455179,0.28851260784734306,1,22,vax_C_0.3,vax_C,0.3
46,A,0.477373043909828,0.10092788092239778,0.4216990751677742,1,22,vax_C_0.3,vax_C,0.3
46,C,0.6009632118953329,0.09210044224265235,0.3069363458620147,1,22,vax_C_0.3,vax_C,0.3
47,A,0.4604936368460459,0.09791555770018197,0.44159080545377216,1,22,vax_C_0.3,vax_C,0.3
47,C,0.5830917455446184,0.0915933182764133,0.32531493617896956,1,22,vax_C_0.3,vax_C,0.3
48,A,0.44466983764352397,0.09449249686758251,0.4608376654888929,1,22,vax_C_0.3,vax_C,0.3
48,C,0.5659134796089749,0.09054877463855711,0.34353774575246787,1,22,vax_C_0.3,vax_C,0.3
49,A,0.4298956719867218,0.09073879456319604,0.4793655334500821,1,22,vax_C_0.3,vax_C,0.3
49,C,0.5494915747842362,0.08900724746853142,0.3615011777472317,1,22,vax_C_0.3,vax_C,0.3
50,A,0.4161512055174166,0.08673263852630733,0.4971161559562749,1,22,vax_C_0.3,vax_C,0.3
50,C,0.5338717449484008,0.08701764263978895,0.37911061241180966,1,22,vax_C_0.3,vax_C,0.3
51,A,0.4034054050544974,0.08254806150951287,0.51404653343599,1,22,vax_C_0.3,vax_C,0.3
51,C,0.519083367736709,0.08463478612941024,0.3962818461338811,1,22,vax_C_0.3,vax_C,0.3
52,A,0.3916188079811611,0.07825327932130013,0.5301279126975386,1,22,vax_C_0.3,vax_C,0.3
52,C,0.5051410405382603,0.08191693609045395,0.4129420233712863,1,22,vax_C_0.3,vax_C,0.3
53,A,0.38074591016662834,0.07390958631103103,0.5453445035223399,1,22,vax_C_0.3,vax_C,0.3
53,C,0.49204641207650063,0.0789234984828749,0.42903008944062493,1,22,vax_C_0.3,vax_C,0.3
54,A,0.37073722946034304,0.06957074446050995,0.5596920260791467,1,22,vax_C_0.3,vax_C,0.3
54,C,0.4797901391191614,0.07571304490615084,0.4444968159746882,1,22,vax_C_0.3,vax_C,0.3
55,A,0.3615410395130004,0.065282781318083,0.5731761791689163,1,22,vax_C_0.3,vax_C,0.3
55,C,0.4683538490664697,0.0723416856007866,0.459304465332744,1,22,vax_C_0.3,vax_C,0.3
56,A,0.35310479282326274,0.06108410605971283,0.5858111011170244,1,22,vax_C_0.3,vax_C,0.3
56,C,0.45771202407358313,0.0688618094336661,0.4734261664927515,1,22,vax_C_0.3,vax_C,0.3
57,A,0.3453761945409692,0.05700592187538,0.5976178835836503,1,22,vax_C_0.3,vax_C,0.3
57,C,0.44783367464928453,0.06532124468254648,0.4868450806681697,1,22,vax_C_0.3,vax_C,0.3
58,A,0.33830407833341364,0.05307274233704887,0.6086231793295375,1,22,vax_C_0.3,vax_C,0.3
58,C,0.4386838892572773,0.061762684412031525,0.49955342633069183,1,22,vax_C_0.3,vax_C,0.3
59,A,0.33183904014807913,0.049303031391020116,0.6188579284609007,1,22,vax_C_0.3,vax_C,0.3
59,C,0.4302251622386318,0.058223415330605585,0.5115514224307637,1,22,vax_C_0.3,vax_C,0.3
60,A,0.32593387978207544,0.045709902331993985,0.628356217885931,1,22,vax_C_0.3,vax_C,0.3
60,C,0.42241850770563016,0.0547352911653435,0.5228462011290261,1,22,vax_C_0.3,vax_C,0.3
61,A,0.320543884149108,0.04230183378205493,0.637154282068836,1,22,vax_C_0.3,vax_C,0.3
61,C,0.4152243674327629,0.051324898243581406,0.5334507343236555,1,22,vax_C_0.3,vax_C,0.3
62,A,0.3156269903401157,0.03908336391318523,0.6452896457467003,1,22,vax_C_0.3,vax_C,0.3
62,C,0.40860333753557065,0.048013854495766534,0.5433828079686627,1,22,vax_C_0.3,vax_C,0.3
63,A,0.3111438574477225,0.03605574048141556,0.652800402070862,1,22,vax_C_0.3,vax_C,0.3
63,C,0.40251673748608763,0.044819196049918124,0.5526640664639957,1,22,vax_C_0.3,vax_C,0.3
64,A,0.30705786794232515,0.0332175166496634,0.6597246154080114,1,22,vax_C_0.3,vax_C,0.3
64,C,0.39692704121116407,0.0417538184983052,0.5613191402905319,1,22,vax_C_0.3,vax_C,0.3
65,A,0.3033350754995293,0.030565087561152914,0.6660998369393178,1,22,vax_C_0.3,vax_C,0.3
65,C,0.39179818950459266,0.03882694601948263,0.5693748644759239,1,22,vax_C_0.3,vax_C,0.3
66,A,0.29994411425200224,0.028093164564351018,0.6719627211836469,1,22,vax_C_0.3,vax_C,0.3
66,C,0.3870958038764944,0.03604460474006232,0.5768595913834434,1,22,vax_C_0.3,vax_C,0.3
67,A,0.2968560822072569,0.025795186503754227,0.6773487312889891,1,22,vax_C_0.3,vax_C,0.3
67,C,0.3827873212403472,0.03341008153614958,0.583802597223504,1,22,vax_C_0.3,vax_C,0.3
68,A,0.2940444087822119,0.023663670524304813,0.6822919206934834,1,22,vax_C_0.3,vax_C,0.3
68,C,0.3788420661868976,0.030924355767879948,0.5902335780452234,1,22,vax_C_0.3,vax_C,0.3
69,A,0.2914847137066681,0.0216905070447087,0.6868247792486225,1,22,vax_C_0.3,vax_C,0.3
69,C,0.3752312744729017,0.02858649682024046,0.5961822287068574,1,22,vax_C_0.3,vax_C,0.3
70,A,0.2891546624358917,0.019867204479496643,0.6909781330846111,1,22,vax_C_0.3,vax_C,0.3
70,C,0.3719280788738198,0.0263940236989427,0.6016778974272369,1,22,vax_C_0.3,vax_C,0.3
71,A,0.28703382179988585,0.018185089371764704,0.6947810888283499,1,22,vax_C_0.3,vax_C,0.3
71,C,0.3689074667780834,0.0243432249758781,0.6067493082460387,1,22,vax_C_0.3,vax_C,0.3
72,A,0.2851035187188611,0.01663546737727043,0.6982610139038679,1,22,vax_C_0.3,vax_C,0.3
72,C,0.3661462174043853,0.022429439028839024,0.6114243435667762,1,22,vax_C_0.3,vax_C,0.3
73,A,0.28334670411581286,0.015209750281078623,0.7014435456031082,1,22,vax_C_0.3,vax_C,0.3
73,C,0.36362282503195253,0.02064729600956647,0.6157298789584814,1,22,vax_C_0.3,vax_C,0.3
74,A,0.28174782345359645,0.013899553971662067,0.7043526225747415,1,22,vax_C_0.3,vax_C,0.3
74,C,0.3613174132044767,0.01899092407266994,0.6196916627228527,1,22,vax_C_0.3,vax_C,0.3
75,A,0.2802926946207273,0.01269677201213248,0.7070105333671398,1,22,vax_C_0.3,vax_C,0.3
75,C,0.35921164359728674,0.017454123045846336,0.6233342333568679,1,22,vax_C_0.3,vax_C,0.3
76,A,0.2789683933766869,0.01159362903290239,0.7094379775904099,1,22,vax_C_0.3,vax_C,0.3
