t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,27,vax_eff_0.8,vax_eff,0.8
0,C,0.9990000000000002,0.0010000000000000002,0,1,27,vax_eff_0.8,vax_eff,0.8
1,A,0.9985831820794444,0.0011973831497255286,2.1943477082994123e-4,1,27,vax_eff_0.8,vax_eff,0.8
1,C,0.9987373042974586,0.001057015014072034,2.0568068846968173e-4,1,27,vax_eff_0.8,vax_eff,0.8
2,A,0.9981090322635615,0.001410910419432035,4.800573170065696e-4,1,27,vax_eff_0.8,vax_eff,0.8
2,C,0.9984619063706909,0.0011152071865183012,4.228864427918915e-4,1,27,vax_eff_0.8,vax_eff,0.8
3,A,0.9975792312027313,0.001636160928832326,7.84607868435911e-4,1,27,vax_eff_0.8,vax_eff,0.8
3,C,0.9981737308393858,0.0011744339430536245,6.518352175623241e-4,1,27,vax_eff_0.8,vax_eff,0.8
4,A,0.9969933371477163,0.0018714413610429535,0.0011352214912402254,1,27,vax_eff_0.8,vax_eff,0.8
4,C,0.9978725396934437,0.00123472558140168,8.927347251554579e-4,1,27,vax_eff_0.8,vax_eff,0.8
5,A,0.996348724596901,0.0021172922486921647,0.0015339831544060102,1,27,vax_eff_0.8,vax_eff,0.8
5,C,0.9975579412846769,0.0012962402587992485,0.0011458184565245918,1,27,vax_eff_0.8,vax_eff,0.8
6,A,0.9956415023023353,0.002375373693210006,0.001983124004453844,1,27,vax_eff_0.8,vax_eff,0.8
6,C,0.997229458154088,0.001359194188356299,0.001411347657556718,1,27,vax_eff_0.8,vax_eff,0.8
7,A,0.9948669365007278,0.0026477602860160883,0.0024853032132562593,1,27,vax_eff_0.8,vax_eff,0.8
7,C,0.9968865336605874,0.0014238316495861932,0.001689634689826654,1,27,vax_eff_0.8,vax_eff,0.8
8,A,0.9940198503173172,0.00293660718076825,0.0030435425019147413,1,27,vax_eff_0.8,vax_eff,0.8
8,C,0.9965285648871176,0.0014904003934980037,0.001981034719383194,1,27,vax_eff_0.8,vax_eff,0.8
9,A,0.9930946488583294,0.0032440071762316136,0.0036613439654381995,1,27,vax_eff_0.8,vax_eff,0.8
9,C,0.9961548950682115,0.001559146137466758,0.0022859587943218213,1,27,vax_eff_0.8,vax_eff,0.8
10,A,0.9920855515986774,0.0035718384365985285,0.004342609964724879,1,27,vax_eff_0.8,vax_eff,0.8
10,C,0.9957648363250817,0.0016302980668549151,0.002604865608063151,1,27,vax_eff_0.8,vax_eff,0.8
11,A,0.9909865297733996,0.003921820391347412,0.005091649835253388,1,27,vax_eff_0.8,vax_eff,0.8
11,C,0.9953576651025599,0.001704071039318679,0.0029382638581212685,1,27,vax_eff_0.8,vax_eff,0.8
12,A,0.9897915389078048,0.004295493616839,0.0059129674753559186,1,27,vax_eff_0.8,vax_eff,0.8
12,C,0.9949326533383522,0.0017806589974392573,0.0032866876642085904,1,27,vax_eff_0.8,vax_eff,0.8
13,A,0.9884941539582756,0.004694352650031107,0.006811493391693231,1,27,vax_eff_0.8,vax_eff,0.8
13,C,0.9944890264091449,0.0018602497090652165,0.003650723881788583,1,27,vax_eff_0.8,vax_eff,0.8
14,A,0.9870877043373507,0.005119829023919201,0.007792466638730065,1,27,vax_eff_0.8,vax_eff,0.8
14,C,0.9940259803877421,0.0019430217459364238,0.004030997866322287,1,27,vax_eff_0.8,vax_eff,0.8
15,A,0.9855654103465025,0.005573257372448968,0.008861332281049407,1,27,vax_eff_0.8,vax_eff,0.8
15,C,0.9935426976909636,0.00202914109423417,0.004428161214800542,1,27,vax_eff_0.8,vax_eff,0.8
16,A,0.9839202427959246,0.00605594579462281,0.010023811409452278,1,27,vax_eff_0.8,vax_eff,0.8
16,C,0.9930383297434819,0.0021187705899229437,0.004842899666594774,1,27,vax_eff_0.8,vax_eff,0.8
17,A,0.9821449739382306,0.006569158919466667,0.011285867142302598,1,27,vax_eff_0.8,vax_eff,0.8
17,C,0.992512001394611,0.0022120693352636403,0.00527592927012539,1,27,vax_eff_0.8,vax_eff,0.8
18,A,0.9802321753596763,0.007114106606975232,0.012653718033349153,1,27,vax_eff_0.8,vax_eff,0.8
18,C,0.9919628080666884,0.002309193358518445,0.005727998574792377,1,27,vax_eff_0.8,vax_eff,0.8
19,A,0.9781742411648457,0.007691934758052674,0.014133824077101804,1,27,vax_eff_0.8,vax_eff,0.8
19,C,0.991389815439852,0.002410296714204986,0.006199887845942774,1,27,vax_eff_0.8,vax_eff,0.8
20,A,0.9759634186717326,0.008303712232675986,0.015732869095590477,1,27,vax_eff_0.8,vax_eff,0.8
20,C,0.9907920593760999,0.0025155323171150126,0.006692408306784882,1,27,vax_eff_0.8,vax_eff,0.8
21,A,0.9735918442734715,0.00895041392609891,0.01745774180042887,1,27,vax_eff_0.8,vax_eff,0.8
21,C,0.9901685458156245,0.0026250524565491857,0.007206401727826751,1,27,vax_eff_0.8,vax_eff,0.8
22,A,0.9710515847424359,0.00963290036827517,0.019315514889289356,1,27,vax_eff_0.8,vax_eff,0.8
22,C,0.989518250620098,0.002739009048201544,0.007742740331701439,1,27,vax_eff_0.8,vax_eff,0.8
23,A,0.9683346858978855,0.010351910101743517,0.02131340400037084,1,27,vax_eff_0.8,vax_eff,0.8
23,C,0.9888401227587141,0.0028575537226452393,0.008302323518640938,1,27,vax_eff_0.8,vax_eff,0.8
24,A,0.9654332186470844,0.011108019259953108,0.023458762092962125,1,27,vax_eff_0.8,vax_eff,0.8
24,C,0.9881330805867399,0.002980837674306851,0.008886081738953729,1,27,vax_eff_0.8,vax_eff,0.8
25,A,0.9623393332142602,0.011901594331520054,0.025759072454219586,1,27,vax_eff_0.8,vax_eff,0.8
25,C,0.9873960074609787,0.0031090113715015757,0.009494981167519543,1,27,vax_eff_0.8,vax_eff,0.8
26,A,0.9590453533438706,0.012732781115631456,0.028221865540498877,1,27,vax_eff_0.8,vax_eff,0.8
26,C,0.9866277577567738,0.003242224357278033,0.01013001788594914,1,27,vax_eff_0.8,vax_eff,0.8
27,A,0.9555438523278172,0.013601488252419781,0.030854659419763127,1,27,vax_eff_0.8,vax_eff,0.8
27,C,0.9858271603298747,0.0033806247501584285,0.010792214919966835,1,27,vax_eff_0.8,vax_eff,0.8
28,A,0.9518277263925488,0.014507353487146064,0.03366492012030557,1,27,vax_eff_0.8,vax_eff,0.8
28,C,0.9849930179795434,0.0035243585767200125,0.011482623443735445,1,27,vax_eff_0.8,vax_eff,0.8
29,A,0.9478902783728858,0.015449707827000505,0.036660013800112926,1,27,vax_eff_0.8,vax_eff,0.8
29,C,0.984124107079688,0.003673569065179161,0.012202323855134319,1,27,vax_eff_0.8,vax_eff,0.8
30,A,0.943725312914131,0.016427543628528673,0.039847143457339855,1,27,vax_eff_0.8,vax_eff,0.8
30,C,0.983219178663552,0.0038283958950074666,0.012952425441440965,1,27,vax_eff_0.8,vax_eff,0.8
31,A,0.9393272380596605,0.017439486312107157,0.043233275628233245,1,27,vax_eff_0.8,vax_eff,0.8
31,C,0.982276960414052,0.003988974349701129,0.013734065236247888,1,27,vax_eff_0.8,vax_eff,0.8
32,A,0.9346911690956823,0.018483768414072604,0.04682506249024585,1,27,vax_eff_0.8,vax_eff,0.8
32,C,0.9812961588894336,0.004155434353072689,0.01454840675749191,1,27,vax_eff_0.8,vax_eff,0.8
33,A,0.9298130275368589,0.01955820722186814,0.05062876524127364,1,27,vax_eff_0.8,vax_eff,0.8
33,C,0.9802754616839418,0.004327899463613906,0.015396638852445283,1,27,vax_eff_0.8,vax_eff,0.8
34,A,0.9246896482941543,0.020660184041932577,0.05465016766391329,1,27,vax_eff_0.8,vax_eff,0.8
34,C,0.9792135399395443,0.004506485705556421,0.0162799743549002,1,27,vax_eff_0.8,vax_eff,0.8
35,A,0.9193188992547294,0.02178662530009101,0.05889447544517949,1,27,vax_eff_0.8,vax_eff,0.8
35,C,0.9781090514655406,0.00469130018833156,0.017199648346128638,1,27,vax_eff_0.8,vax_eff,0.8
36,A,0.9136997791604192,0.022933994817703973,0.06336622602187578,1,27,vax_eff_0.8,vax_eff,0.8
36,C,0.9769606439683666,0.004882439815502338,0.018156916216130987,1,27,vax_eff_0.8,vax_eff,0.8
37,A,0.9078324945731711,0.02409829641589504,0.06806920901093347,1,27,vax_eff_0.8,vax_eff,0.8
37,C,0.975766958244124,0.005079990074467057,0.019153051681408628,1,27,vax_eff_0.8,vax_eff,0.8
38,A,0.9017185432373562,0.025275080444824755,0.0730063763178182,1,27,vax_eff_0.8,vax_eff,0.8
38,C,0.9745266319859688,0.005284023620988744,0.020189344393041795,1,27,vax_eff_0.8,vax_eff,0.8
39,A,0.8953607967439522,0.02645945701840453,0.0781797462376438,1,27,vax_eff_0.8,vax_eff,0.8
39,C,0.9732383041708397,0.005494598695222351,0.021267097133936638,1,27,vax_eff_0.8,vax_eff,0.8
40,A,0.8887635661853187,0.027646120139432327,0.08359031367524819,1,27,vax_eff_0.8,vax_eff,0.8
40,C,0.9719006197661891,0.00571175751367884,0.02238762272013171,1,27,vax_eff_0.8,vax_eff,0.8
41,A,0.8819326442218074,0.028829383961913094,0.08923797181628061,1,27,vax_eff_0.8,vax_eff,0.8
41,C,0.9705122346570142,0.005935524691504729,0.02355224065148087,1,27,vax_eff_0.8,vax_eff,0.8
42,A,0.8748753269291872,0.03000322977562474,0.09512144329518846,1,27,vax_eff_0.8,vax_eff,0.8
42,C,0.9690718208793087,0.00616590565532708,0.024762273465363215,1,27,vax_eff_0.8,vax_eff,0.8
43,A,0.867600417910509,0.031161362547300654,0.10123821954219067,1,27,vax_eff_0.8,vax_eff,0.8
43,C,0.9675780722395061,0.006402885015604342,0.02601904274488736,1,27,vax_eff_0.8,vax_eff,0.8
44,A,0.8601182121947442,0.032297276931242194,0.10758451087401331,1,27,vax_eff_0.8,vax_eff,0.8
44,C,0.9660297103011101,0.0066464249194450814,0.02732386477944618,1,27,vax_eff_0.8,vax_eff,0.8
45,A,0.8524404562490581,0.03340433260008478,0.11415521115085722,1,27,vax_eff_0.8,vax_eff,0.8
45,C,0.9644254906756548,0.006896463424257182,0.02867804590008675,1,27,vax_eff_0.8,vax_eff,0.8
46,A,0.8445802829618114,0.034475837772378747,0.12094387926581085,1,27,vax_eff_0.8,vax_eff,0.8
46,C,0.9627642095792376,0.007152912916504434,0.030082877504257307,1,27,vax_eff_0.8,vax_eff,0.8
47,A,0.8365521227841398,0.03550513902957152,0.1279427381862888,1,27,vax_eff_0.8,vax_eff,0.8
47,C,0.9610447106428731,0.007415658584352089,0.03153963077277687,1,27,vax_eff_0.8,vax_eff,0.8
48,A,0.8283715926704397,0.03648571529449357,0.13514269203506613,1,27,vax_eff_0.8,vax_eff,0.8
48,C,0.9592658919610487,0.007684556954921035,0.03304955108403253,1,27,vax_eff_0.8,vax_eff,0.8
49,A,0.8200553642291225,0.03741127381638232,0.14253336195449506,1,27,vax_eff_0.8,vax_eff,0.8
49,C,0.9574267133435844,0.007959434515796735,0.03461385214061736,1,27,vax_eff_0.8,vax_eff,0.8
50,A,0.8116210128939348,0.038275845849463155,0.15010314125660212,1,27,vax_eff_0.8,vax_eff,0.8
50,C,0.9555262037254523,0.008240086443626728,0.03623370983092038,1,27,vax_eff_0.8,vax_eff,0.8
51,A,0.8030868508861514,0.039073879488147195,0.1578392696257019,1,27,vax_eff_0.8,vax_eff,0.8
51,C,0.953563468689865,0.008526275459719896,0.037910255850415124,1,27,vax_eff_0.8,vax_eff,0.8
52,A,0.7944717475479776,0.03980032703820554,0.16572792541381703,1,27,vax_eff_0.8,vax_eff,0.8
52,C,0.9515376980616622,0.008817730829593423,0.03964457110874381,1,27,vax_eff_0.8,vax_eff,0.8
53,A,0.7857949409852225,0.040450724425744856,0.17375433458903333,1,27,vax_eff_0.8,vax_eff,0.8
53,C,0.94944817352479,0.009114147523213998,0.04143767895199517,1,27,vax_eff_0.8,vax_eff,0.8
54,A,0.7770758450613576,0.04102126040053686,0.18190289453810568,1,27,vax_eff_0.8,vax_eff,0.8
54,C,0.9472942762123904,0.009415185553528516,0.043290538234081445,1,27,vax_eff_0.8,vax_eff,0.8
55,A,0.7683338558159137,0.0415088336414968,0.19015731054258878,1,27,vax_eff_0.8,vax_eff,0.8
55,C,0.9450754942143418,0.009720469510541771,0.045204036275117175,1,27,vax_eff_0.8,vax_eff,0.8
56,A,0.7595881613858493,0.04191109625177727,0.19850074236237264,1,27,vax_eff_0.8,vax_eff,0.8
56,C,0.942791429945361,0.010029588306890476,0.047178981747749135,1,27,vax_eff_0.8,vax_eff,0.8
57,A,0.7508575600143774,0.04222648197104544,0.20691595801457796,1,27,vax_eff_0.8,vax_eff,0.8
57,C,0.9404418073129169,0.010342095151805918,0.049216097535276095,1,27,vax_eff_0.8,vax_eff,0.8
