parset,parset_name,sens_type,sens_value,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,peak_prevalence_diff,attack_rate_diff,time_to_peak_diff,peak_prevalence_ratio,attack_rate_ratio,max_relative_infection
1,r0_1.2,r0,1.2,1,0.02885521750995395,0.0140825338248861,0.4978983771210377,0.29452613191962623,71,99,0.01477268368506785,0.20337224520141145,-28,2.049007505947697,1.690506624576559,3.4131714970949405
1,r0_1.2,r0,1.2,2,0.02873066922362767,0.01315850812743438,0.4984741146150451,0.28396003993198393,71,100,0.015572161096193289,0.21451407468306116,-29,2.1834290745868556,1.7554375423191342,3.6909773718320524
1,r0_1.2,r0,1.2,3,0.01969848691257057,0.01291124795847085,0.40264474836608344,0.282620648444099,87,102,0.006787238954099719,0.12002409992198443,-15,1.5256841922586366,1.4246826995223054,2.004004426567187
1,r0_1.2,r0,1.2,4,0.02893076652373638,0.01985958727260347,0.4711311130532174,0.34650689663985074,76,88,0.009071179251132912,0.12462421641336668,-12,1.456765748785057,1.3596586896880656,1.9976926014577951
1,r0_1.2,r0,1.2,5,0.03391036758337962,0.01794991808293228,0.5262677904736914,0.3265804165692553,68,90,0.015960449500447338,0.19968737390443614,-22,1.8891655898766115,1.6114493208201601,3.1176026868193056
1,r0_1.2,r0,1.2,6,0.04806412772629551,0.02858575540226146,0.5917680363861542,0.4040530245375386,59,76,0.019478372324034047,0.18771501184861555,-17,1.6814013500756773,1.4645801428252292,2.833658893962771
2,r0_1.5,r0,1.5,1,0.0893703978582939,0.06330188671410472,0.7205304649027112,0.5716714894815508,45,55,0.026068511144189177,0.14885897542116044,-10,1.4118125461556057,1.2603925124133106,2.6162604974761883
2,r0_1.5,r0,1.5,2,0.08921600727879689,0.06164217015550983,0.7227741663556525,0.5652545566451198,44,56,0.027573837123287058,0.1575196097105327,-12,1.447320998818248,1.2786702165577184,2.7773977973578874
2,r0_1.5,r0,1.5,3,0.07565172779734214,0.06124128981905683,0.6593744885104768,0.5639895548673314,50,56,0.014410437978285312,0.09538493364314538,-6,1.2353059189455726,1.1691253549289278,1.73532457483306
2,r0_1.5,r0,1.5,4,0.08867087662389683,0.0723722114055304,0.6941975259269758,0.6017971729355484,46,51,0.016298665218366426,0.09240035299142746,-5,1.2252061240334151,1.1535406896989917,1.7544672389443892
2,r0_1.5,r0,1.5,5,0.09657062836979266,0.0689893703817767,0.735825574108894,0.5886706165483558,43,52,0.02758125798801596,0.1471549575605382,-9,1.3997899652567558,1.2499784317813836,2.516957426318663
2,r0_1.5,r0,1.5,6,0.114101767960368,0.08447445754630209,0.7673644157985259,0.6348436998386959,39,47,0.02962731041406591,0.13252071595982995,-8,1.3507250744738621,1.2087454218943992,2.3764856595127872
3,r0_2,r0,2,1,0.18716073666251812,0.15629641389446575,0.8679879888640146,0.7919878201460128,28,33,0.03086432276805237,0.07600016871800186,-5,1.1974730065712995,1.0959612847379272,2.090270260696095
3,r0_2,r0,2,2,0.18721631859193472,0.1546459981563636,0.8695089971240454,0.7891237685024914,28,33,0.03257032043557112,0.08038522862155395,-5,1.2106121129797296,1.101866439499218,2.1888451657803554
3,r0_2,r0,2,3,0.1719245830192723,0.15411150709605223,0.8379388096473016,0.788274141726209,31,33,0.017813075923220067,0.04966466792109259,-2,1.1155856318510844,1.0630043094047636,1.5249135727477057
3,r0_2,r0,2,4,0.18522391281616885,0.16595750955497326,0.8527284696363242,0.805257225061189,29,31,0.01926640326119558,0.047471244575135185,-2,1.1160923860141057,1.0589516530839298,1.5529019761332097
3,r0_2,r0,2,5,0.19447571762328497,0.1620194515772072,0.8753164442210474,0.7990181967662258,27,32,0.032456266046077764,0.07629824745482161,-5,1.2003232681639548,1.0954899998067813,2.070391572100485
3,r0_2,r0,2,6,0.21148721312790955,0.17834183787221008,0.8885937219186165,0.8200174796333185,26,29,0.033145375255699466,0.06857624228529802,-3,1.1858530541748125,1.0836277811004258,2.0073276985497746
4,r0_3,r0,3,1,0.3319675942576179,0.30441866774999593,0.961043705572848,0.939037081463344,17,19,0.027548926507621974,0.022006624109504047,-2,1.0904968368439434,1.023435308939249,1.6723447486587866
4,r0_3,r0,3,2,0.3321572913464832,0.30336200820690606,0.9615566158266928,0.938298319217314,17,19,0.028795283139577132,0.023258296609378837,-2,1.09492053177581,1.0247877419505342,1.727573497215986
4,r0_3,r0,3,3,0.3190797508910349,0.30295313529601875,0.9523820112795232,0.9380213109280784,18,19,0.016126615595016158,0.014360700351444766,-1,1.0532313870238004,1.0153095672605095,1.3389619875466472
4,r0_3,r0,3,4,0.32937796225949284,0.3124207381954646,0.9561797052598102,0.9424507859145363,17,18,0.01695722406402822,0.013728919345273871,-1,1.0542768836728726,1.0145672533255428,1.3658421494524764
4,r0_3,r0,3,5,0.3371137377681246,0.3087854331893762,0.9631303313392158,0.9407743924801204,17,18,0.02832830457874841,0.02235593885909537,-1,1.091741065263836,1.0237633369251893,1.6835473171063127
4,r0_3,r0,3,6,0.35102660113965506,0.32102484380366314,0.9666589963107872,0.946326157242118,16,17,0.03000175733599192,0.02033283906866923,-1,1.0934561854481917,1.02148607952244,1.6662594033009928
5,eps_0.25,eps,0.25,1,0.09645995949429544,0.06325968523353419,0.7277434847776213,0.5715728249749347,42,55,0.03320027426076125,0.15617065980268663,-13,1.5248251574157639,1.273229679541772,3.139748826077756
5,eps_0.25,eps,0.25,2,0.09690610293669263,0.06157779012790749,0.73033200017432,0.56510066204544,42,56,0.035328312808785144,0.16523133812888002,-14,1.5737184256759176,1.2923927527014536,3.367138474050519
5,eps_0.25,eps,0.25,3,0.07877741069887065,0.06120295200001424,0.665187852811854,0.5638539323263205,49,56,0.01757445869885641,0.10133392048553347,-7,1.2871505070352216,1.1797166157331829,1.9471769231552873
5,eps_0.25,eps,0.25,4,0.09207248476025182,0.07234323904842982,0.6990913584721367,0.6017266305380229,44,51,0.019729245711821997,0.09736472793411377,-7,1.2727172016532788,1.1618089062255013,1.9630725863224963
5,eps_0.25,eps,0.25,5,0.1033545194299668,0.06886700089553795,0.7424369881481394,0.5884088665375617,41,52,0.03448751853442886,0.15402812161057766,-11,1.5007843827371228,1.2617705652821687,2.9971245494784546
5,eps_0.25,eps,0.25,6,0.12067286312760984,0.08435756121018978,0.7724115945723216,0.6346373669128271,37,47,0.036315301917420065,0.13777422765949443,-10,1.4304925533223385,1.217091263203887,2.7790330273983215
6,eps_0.5,eps,0.5,1,0.08248642372650858,0.0633251677487416,0.7071666022864922,0.5718396160945087,49,55,0.01916125597776698,0.13532698619198347,-6,1.3025851594076157,1.236651995390291,1.9904146635320128
6,eps_0.5,eps,0.5,2,0.0816986821020662,0.06167787858869541,0.7087027095549036,0.5655138179151803,49,56,0.020020803513370787,0.14318889163972326,-7,1.3246026609780364,1.2532014021648534,2.0761178055113656
6,eps_0.5,eps,0.5,3,0.07256951771640628,0.06126907432970319,0.6491797476715155,0.5642135394930267,53,56,0.011300443386703093,0.08496620817848888,-3,1.1844395971431325,1.1505922886126327,1.4832612383712322
6,eps_0.5,eps,0.5,4,0.08522754559262384,0.07239313847114272,0.6854524208766254,0.6019191433840632,48,51,0.012834407121481123,0.08353327749256223,-3,1.177287618585526,1.138778236928847,1.5002183658569896
6,eps_0.5,eps,0.5,5,0.08969620021004064,0.06906093706183958,0.7235140916159758,0.5891299477841162,47,52,0.020635263148201063,0.1343841438318596,-5,1.2987979026366747,1.2281061153609933,1.941089183968522
6,eps_0.5,eps,0.5,6,0.10719575540754736,0.08456647143407328,0.7578766806907788,0.6352096634852611,42,47,0.02262928397347408,0.12266701720551776,-5,1.2675916777622147,1.1931126433632475,1.879146028099959
7,eps_0.6667,eps,0.6666666666666666,1,0.079729159771102745,0.06332336643311369,0.6952459971420523,0.5719750338071706,51,55,0.016405793337989055,0.12327096333488163,-4,1.2590796140839722,1.2155180839176976,1.6740345503572602
7,eps_0.6667,eps,0.6666666666666666,2,0.07874360111844424,0.06167647426063085,0.6960978309561341,0.5657223899669144,52,56,0.017067126857813385,0.13037544098921972,-4,1.2767202091625984,1.2304583366354733,1.7251428265489086
7,eps_0.6667,eps,0.6666666666666666,3,0.07097886410354391,0.06127836902695652,0.6406412822357901,0.5643884102329288,54,56,0.009700495076587393,0.07625287200286124,-2,1.158302109384147,1.1351070833849881,1.349463416679773
7,eps_0.6667,eps,0.6666666666666666,4,0.08349002620486902,0.07240042299734624,0.677941493011258,0.602016345446887,49,51,0.01108960320752278,0.07592514756437097,-2,1.153170420122121,1.1261180832357807,1.3626999891614326
7,eps_0.6667,eps,0.6666666666666666,5,0.08677032219261499,0.06906014334755359,0.712456270093469,0.5895032415921363,49,52,0.017710178845061403,0.12295302850133272,-3,1.2564457295712923,1.2085705723504758,1.6464514755534352
7,eps_0.6667,eps,0.6666666666666666,6,0.1040709560753451,0.08458802850081555,0.7492043721564154,0.6355143605267304,44,47,0.019482927574529546,0.11369001162968506,-3,1.2303272451176905,1.178894480898049,1.6140083918639556
8,eps_0.75,eps,0.75,1,0.07878316489569016,0.06332110315795715,0.6898139691719463,0.5720317180112546,52,55,0.015462061737733013,0.11778225116069163,-3,1.2441849709908284,1.2059016090404524,1.5752529559838118
8,eps_0.75,eps,0.75,2,0.07773286822000085,0.06167392736425602,0.6903414731714198,0.5658105547955667,52,56,0.01605894085574483,0.12453091837585306,-4,1.2603845991661626,1.2200929574755766,1.6165283244068338
8,eps_0.75,eps,0.75,3,0.07036371841250359,0.0612813278666488,0.6369007375996503,0.5644614377871131,54,56,0.009082390545854795,0.07243929981253716,-2,1.1482081224744105,1.1283334785393395,1.3053984882648475
8,eps_0.75,eps,0.75,4,0.08279906941511501,0.0724026422723233,0.6745926939595153,0.6020579114684091,49,51,0.010396427142791709,0.07253478249110612,-2,1.1435918195317833,1.1204780821070768,1.3170297167365228
8,eps_0.75,eps,0.75,5,0.08569930728986061,0.06905535664274082,0.707388160048636,0.5896626937426851,50,52,0.016643950647119793,0.11772546630595093,-2,1.2410233102296115,1.1996488289919245,1.5534651280364382
8,eps_0.75,eps,0.75,6,0.1030898811366352,0.08459127258099543,0.7451764552219479,0.6356489707277795,44,47,0.01849860855563977,0.10952748449416838,-3,1.218682235072507,1.1723081284451167,1.5282925632152118
9,eps_1,eps,1,1,0.07646705392886892,0.06331740857499078,0.6754789048505128,0.5721717711784463,53,55,0.013149645353878137,0.10330713367206645,-2,1.2076781986158545,1.1805526572191685,1.3976868550324384
9,eps_1,eps,1,2,0.07532874404253408,0.06166740824702928,0.675119592469179,0.5660238210351989,54,56,0.013661335795504798,0.10909577143398008,-2,1.2215325109947832,1.1927406009776325,1.4233456482862032
9,eps_1,eps,1,3,0.06894854402346988,0.06128816366286909,0.6274054621270799,0.5646376304251507,55,56,0.007660380360600787,0.06276783170192923,-1,1.124989555940012,1.1111648043270999,1.2212944172469327
9,eps_1,eps,1,4,0.08129908907147768,0.07240750004576568,0.6659193024054715,0.6021606204991257,50,51,0.008891589025711993,0.06375868190634582,-1,1.1227992821198356,1.1058831808919967,1.2303837445065924
9,eps_1,eps,1,5,0.08324598270424875,0.06904391263542767,0.6939069665967437,0.5900542080643397,51,52,0.014202070068821085,0.10385275853240394,-1,1.2056961943019109,1.176005453588901,1.3873529175370372
9,eps_1,eps,1,6,0.10055083606866431,0.0846038066658202,0.734256444484973,0.6359909346998761,45,47,0.01594702940284412,0.09826550978509685,-2,1.188490684182024,1.1545077208238326,1.3737471756659159
10,sar_0.2,sar,0.2,1,0.07708945003718098,0.0599276254358377,0.6742132013116826,0.5615773684011595,51,57,0.017161824601343287,0.11263583291052315,-6,1.2863758488097918,1.20057046321365,1.8151715532846164
10,sar_0.2,sar,0.2,2,0.07597279937643109,0.05850012465407101,0.6723953236704264,0.5558997206820125,51,58,0.017472674722360075,0.11649560298841388,-7,1.2986775639484753,1.2095622621387356,1.8471031134163802
10,sar_0.2,sar,0.2,3,0.06955055524276249,0.05890946806010021,0.6317793610692282,0.5570781241468171,54,57,0.010641087182662282,0.07470123692241104,-3,1.1806345827432376,1.1340947233151875,1.4515150353088224
10,sar_0.2,sar,0.2,4,0.07749488823312917,0.06672168275593597,0.654848004816982,0.5862429046142299,51,54,0.010773205477193196,0.06860510020275212,-3,1.161464834701501,1.117025041433801,1.412449478732709
10,sar_0.2,sar,0.2,5,0.0797581788163564,0.06461668282095534,0.6744244384953983,0.577309681027878,50,55,0.015141495995401058,0.0971147574675203,-5,1.2343279681712573,1.1682195200583008,1.6033233628690615
10,sar_0.2,sar,0.2,6,0.08860267635638594,0.0733118011369221,0.6961878617514969,0.6077984760971971,48,51,0.015290875219463845,0.08838938565429988,-3,1.208573176246285,1.1454254808631092,1.5527888482248777
11,sar_0.3,sar,0.3,1,0.08373593564677052,0.06169051046824508,0.7015253902735887,0.5671581502757573,48,56,0.022045425178525445,0.1343672399978314,-8,1.357355207651803,1.2369131783304195,2.1890878093248656
11,sar_0.3,sar,0.3,2,0.08310076696210017,0.06014185686592064,0.7021077189987197,0.5610613427782736,48,57,0.02295891009617953,0.14104637622044613,-9,1.3817459468762958,1.2513920768841607,2.276711054288105
11,sar_0.3,sar,0.3,3,0.07291355340688692,0.06013299026560287,0.6475879191526283,0.5608935918795248,52,57,0.012780563141284049,0.08669432727310344,-5,1.2125382936194138,1.1545646599074084,1.588562951877527
11,sar_0.3,sar,0.3,4,0.08351748547421727,0.06967223813647604,0.6777487245530861,0.5949574446260198,48,53,0.013845247337741229,0.08279127992706625,-5,1.19871971545712,1.1391549608713736,1.5776427037272358
11,sar_0.3,sar,0.3,5,0.08865402011755663,0.06689785319986047,0.7104845713445729,0.5836645804785421,47,54,0.021756166917696163,0.1268199908660308,-7,1.3252147247939121,1.21728231437661,2.017043694245945
11,sar_0.3,sar,0.3,6,0.1020946869592792,0.07923076998774577,0.7388200538747238,0.6232113192176763,43,49,0.022863916971533435,0.11560873465704757,-6,1.288573706592397,1.1855048698444253,1.9391757486194443
12,sar_0.5,sar,0.5,1,0.0939689534115844,0.06469560115430255,0.733373817873755,0.57522301667908,42,54,0.02927335225728185,0.15815080119467495,-12,1.452478247902254,1.2749382354477448,3.067089404134319
12,sar_0.5,sar,0.5,2,0.09431349693077706,0.06294022774850346,0.7367087321828044,0.5685652834928742,41,55,0.03137326918227361,0.16814344868993025,-14,1.4984613228225818,1.2957328798849141,3.3180333811939904
12,sar_0.5,sar,0.5,3,0.07779679269721396,0.06218137770686217,0.6678714261669999,0.5664296029584469,49,55,0.015615414990351788,0.101441823208553,-6,1.2511268737718642,1.1790899039858176,1.8816224145574656
12,sar_0.5,sar,0.5,4,0.0927133740334716,0.0746847328126382,0.7056134151360522,0.6070166804288362,44,50,0.018028641220833405,0.09859673470721608,-6,1.2413966086758577,1.162428377812552,1.9304393103459219
12,sar_0.5,sar,0.5,5,0.10329382438397008,0.07078098693386009,0.75296583165738,0.5925111486257894,40,51,0.032512837450109994,0.1604546830315906,-11,1.4593442230537275,1.270804496090467,3.076591482937004
12,sar_0.5,sar,0.5,6,0.12424250372989236,0.08898924927008624,0.7859348765015068,0.6434230236009525,35,44,0.03525325445980612,0.14251185290055435,-9,1.396151835743787,1.221490135840926,2.840478838009334
13,sar_0.6,sar,0.6,1,0.09752309290480447,0.06586376945177012,0.7419965852608137,0.5779855305272064,39,53,0.03165932345303435,0.16401105473360733,-14,1.4806788879008426,1.2837632536994577,3.517896334682136
13,sar_0.6,sar,0.6,2,0.09847219940380374,0.0640343162159586,0.7460504635373355,0.5711537476894132,39,54,0.03443788318784513,0.17489671584792232,-15,1.5378035594493087,1.3062165249820423,3.870074248494424
13,sar_0.6,sar,0.6,3,0.07935369935700876,0.06298378621467882,0.6739285035556163,0.5683310724265962,47,55,0.01636991314232994,0.10559743112902009,-8,1.2599067811918048,1.1858026707534255,2.0209237377826885
13,sar_0.6,sar,0.6,4,0.09582876012248018,0.07658158539871228,0.7134364358354748,0.6109616284763884,42,49,0.0192471747237679,0.10247480735908643,-7,1.2513290188961215,1.1677270757815632,2.0984397873549576
13,sar_0.6,sar,0.6,5,0.10889878511358685,0.07224692688070712,0.7643483308302782,0.5954343820425645,37,50,0.036651858232879725,0.1689139487877137,-13,1.5073137338201061,1.2836818865048993,3.6760781695781573
13,sar_0.6,sar,0.6,6,0.13260615851330104,0.09268267468022268,0.7979084316532015,0.6497200656496447,32,42,0.039923483833078366,0.14818836600355678,-10,1.4307545500906604,1.2280803284956046,3.3128078927051727
14,fold_1,fold,1,1,0.08742436163214795,0.06268425922547659,0.715217861124089,0.5702059014689017,46,55,0.024740102406671363,0.14501195965518732,-9,1.39467806930095,1.2543150803624155,2.4639160558715916
14,fold_1,fold,1,2,0.08710515394114764,0.06109494656675941,0.7170373317073571,0.5638816196541043,46,56,0.02601020737438823,0.15315571205325273,-10,1.4257341864759054,1.2716096902523641,2.6013842116211565
14,fold_1,fold,1,3,0.07463943489673044,0.06080552994820751,0.655417403326856,0.5629396846091005,51,56,0.013833904948522935,0.09247771871775556,-5,1.2275106385933365,1.1642764247149695,1.675912607454599
