parset,parset_name,sens_type,sens_value,REGION6,subpop,peak_prevalence,time_to_peak,final_attack_rate,time_to_est,epidemic_duration
1,r0_1.2,r0,1.2,1,A,0.0015363046283363346,48,0.04243802198959517,8,102
1,r0_1.2,r0,1.2,1,C,5.318897219813299e-4,5,0.0069014608689045185,NA,NA
1,r0_1.2,r0,1.2,2,A,0.0015632747811476248,48,0.04365714826474686,8,105
1,r0_1.2,r0,1.2,2,C,5.259081213394199e-4,4,0.0065798450119365385,NA,NA
1,r0_1.2,r0,1.2,3,A,8.5397092994369e-4,21,0.016876463217491238,NA,NA
1,r0_1.2,r0,1.2,3,C,5.240869517052699e-4,4,0.006173749705466329,NA,NA
1,r0_1.2,r0,1.2,4,A,0.0011972312195168105,41,0.0340364204639603,14,66
1,r0_1.2,r0,1.2,4,C,5.717484394408699e-4,7,0.011102767088250044,NA,NA
1,r0_1.2,r0,1.2,5,A,0.0018543663513859595,59,0.05741173452796273,7,136
1,r0_1.2,r0,1.2,5,C,5.520027916766399e-4,6,0.010697327034627483,NA,NA
1,r0_1.2,r0,1.2,6,A,0.003910839894701422,80,0.11816465833736127,5,199
1,r0_1.2,r0,1.2,6,C,6.698247793824549e-4,75,0.029991850694660347,NA,NA
2,r0_1.5,obesity_obs_A,0.4,1,A,0.014098960556248012,68,0.24808015794309832,5,187
2,r0_1.5,obesity_obs_A,0.4,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,obesity_obs_A,0.4,2,A,0.014218647812167867,68,0.24825100316275325,5,188
2,r0_1.5,obesity_obs_A,0.4,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,obesity_obs_A,0.4,3,A,0.008726434873438249,86,0.19837730686276234,7,199
2,r0_1.5,obesity_obs_A,0.4,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,obesity_obs_A,0.4,4,A,0.013211762895186937,75,0.2355427203005447,6,174
2,r0_1.5,obesity_obs_A,0.4,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_obs_A,0.4,5,A,0.016601919059621956,66,0.2638962418726271,4,172
2,r0_1.5,obesity_obs_A,0.4,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_obs_A,0.4,6,A,0.02357246669116021,58,0.2983847184803228,4,146
2,r0_1.5,obesity_obs_A,0.4,6,C,0.011407142398086049,81,0.18145135136438942,10,152
2,r0_1.5,obesity_obs_A,0.5,1,A,0.014383700024119225,68,0.2530903295710217,5,187
2,r0_1.5,obesity_obs_A,0.5,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,obesity_obs_A,0.5,2,A,0.014505804457207967,68,0.2532646251426894,4,189
2,r0_1.5,obesity_obs_A,0.5,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,obesity_obs_A,0.5,3,A,0.008902672008960588,86,0.2023836907779791,7,199
2,r0_1.5,obesity_obs_A,0.5,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,obesity_obs_A,0.5,4,A,0.013478584716654411,75,0.24029968862964565,6,174
2,r0_1.5,obesity_obs_A,0.5,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_obs_A,0.5,5,A,0.016937207720074503,66,0.26922583160970354,4,173
2,r0_1.5,obesity_obs_A,0.5,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_obs_A,0.5,6,A,0.024048530979394453,58,0.30441082981115686,4,146
2,r0_1.5,obesity_obs_A,0.5,6,C,0.011407142398086049,81,0.18145135136438942,10,152
